file,bytes,sha256,row_count
README.md,387,50c47e3c3b5e96589e0a11d41496f1858ac5e895a49162418bbd8256506a915e,
activation_benchmark_plan.csv,3248,5b61f9f8673b35fa62a2b0e2dec09834b77b04c5363b2aaef76521602c19cd26,8.0
activation_candidates.csv,2816,d4f1e2c19ba4d1a36d07e09e66651972a9458869c2d0deb99c3d7c99ba03b27c,8.0
hypersoft_approximation.csv,30367,5e7d5571bef0aee7d54327e50f33403209e084ea37773988b50d94833a54b191,144.0
hypersoft_parameters.csv,2015,d6605bacb14843dcfdeb937f4bcc2ded9d9774bb3da785b2bac242ac3e2b6ae3,10.0
hypersoft_universe.csv,877,3886d7e940aebbfd2098681adba039edd0362885af64cfcdb6625da33ed02a85,4.0
parametric_cost_benchmark.csv,481,52d27d7de6a1a3b0d481c625b3829987a645cfdaab8b815964a4930cbc30faf3,1.0
plithogenic_appurtenance.csv,9778,9f15a1ee89ae403ba4f40b538e639b6552e9fbfe24e8855cd4650c62ac23e907,48.0
plithogenic_attributes.csv,2409,e22088e09659922acedc8bc80147390e6533f25d3d9382d11fcab5ff31de4dd0,12.0
plithogenic_contradictions.csv,6989,4d045ad3dbd70e80154d8715b4d1a9159b129fbdfac72b54f78e518421a04bc0,36.0
quantum_model_parameters.json,364,c83e3c093beb4dee3b26a8a9b317958a91d218eaa1632ca2fe9d747ad8a6065a,
quantum_order_effects.csv,234022,34f35d7500d27a6358f0a4110ae4a94325dcfb999e928ba65232d76094b3dd09,1200.0
reuse_manifest.csv,2007,25c3b1d7dd04aea4c82d054c73c3351ec0aa3e108dec532c276b6037d9565392,8.0
