attribute,attribute_value,dominant_value,value_rank,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
COST,LOW,LOW,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,79bba54ea55f55136e4209b4f634beff6f12ba7a15df6f5c7512a10e60e346af
COST,MEDIUM,LOW,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bd0d51cebfdb62431497224324cc337520754bc4aadf1a8a47f88a17fdc81dcd
COST,HIGH,LOW,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,efcde074faec97476bdc5e47dd1717049a5f18196f1e4b83d8f1ce662f942cef
SCHEDULE,FAST,FAST,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,93de1be071f3e19caab5046081595c94edde610e984c22d19ac7f31e098a9221
SCHEDULE,NORMAL,FAST,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,843245b801d08af9adc9a031c953557a3ce7d54adc2a0887426ea72749da7051
SCHEDULE,SLOW,FAST,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1711df5e17a7e3ca4fac1a5cdbe258eaaa038b928495ae84150f80a87a4c60d3
QUALITY,HIGH,HIGH,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,30223602cdd872dfe14618ac96c65b35802737b771dd392de0e5392cd4d73ebe
QUALITY,MEDIUM,HIGH,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,545146b5d62120323b921ac6514973bd4b844689020078ad80bcd2d3a63b9019
QUALITY,LOW,HIGH,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,36ffdae1e0476a2681adbcf46c4ae47a47487eaa17f815bbe246829666f7f38a
RISK,LOW,LOW,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,edc79418268b3388d1bbc29909cf1707f828a8b54d9ddf48336fb06f04091954
RISK,MEDIUM,LOW,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,40e486d6ced03dc36772c8bcbc601b451fab6f7931a541715c4189cf42e840d6
RISK,HIGH,LOW,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4f0ea1591b71807e597bc2d4efaa69251134454323d5444feefe29eaa84c23c8
