synthetic_respondent_id,question_order,response_a_yes,response_b_yes,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
Q-0001,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7196b0190018f8a1cb4b403d8885068c3326739443745e825017ce134c4c0467
Q-0002,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,17140fc4f27f2682bd20bcf119488dbf0d786f48e6930086653e4a7aeab4ce1a
Q-0003,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b9ecf6475d81c1ee4573129eef9dc26ce66541264d1890b1418a3069c734fc73
Q-0004,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,807baacb046ac8a19a7eabe1c5acefa5e5db724e145f03ae0814f05a4f2fc2b0
Q-0005,A_THEN_B,False,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,68ee004d9b9f478a18fd739f7a8f9e9d4905a934de4b3f6ce5c55aa959e072cb
Q-0006,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cef08567f54ea6a8e0685938358a906fc3e1a403bb70aca5f77dba19e1ba9743
Q-0007,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d287a53fc4905e66c794531ad5f08503036e6c4955c6a0c64e921c75e4394e72
Q-0008,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4c6d201ea3202a5cf71e0a25538bd5f70e46257a8420d18b259802d685727c25
Q-0009,A_THEN_B,True,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6053c8af43ad723916a453a73d49b338e26510733bcd0d72736aad6744fb5ab6
Q-0010,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0beaa436cf24ef51a583be8f1e4da2e32fa33eacf3b39f448247fbdb52de8a75
Q-0011,A_THEN_B,True,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3d06ded1036bc7f87d99b0d06852c4b889667570c4ca70a42a78b7fd1785683b
Q-0012,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dcbe4c4124ce2b5e6b8fe2d2724afbab57185f56233f78c229cf83cc77b6f934
Q-0013,A_THEN_B,True,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a7522c019b0148fae45c8429603335d02576f4ea5ee1e4215c4476035deb5aab
Q-0014,B_THEN_A,False,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dcd458ea76d7c9faefb27d737bc222b68db57ab55258beb8a3d593858b9222a8
Q-0015,A_THEN_B,False,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d693bf93977dbe05382b3aa19398657681e893deff39eaed5b24604445936e13
Q-0016,B_THEN_A,False,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,356c7fa306686a46900aa93e1d41630f75cb11abcd1616dbfec980b8ce2d640a
Q-0017,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,730e62c5ace182ec3a8a3ed109e2b246ae109c0e57ebed6509112df170ebe8e3
Q-0018,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,C-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2df13f8346a07fd0ad091a952cf7d6fe8427759b41958db0331c6f11eb13a70a
