scenario_id,scenario_name,ground_truth_severity,evidence_completeness,ground_truth_status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
ESC-01,Epistemic Scenario 1,0.040955,0.850702,GREEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6632902f55c9f45521ca1547128c531902f2d40576eb07c14717a476e7870f0e
ESC-02,Epistemic Scenario 2,0.1134,0.632803,GREEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b67801c1c414c91729b9df52e81eb5b90f22842009f74a601814b550e3a3dfb1
ESC-03,Epistemic Scenario 3,0.116161,0.794715,GREEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9ab57449a087c9ec2384935cee7514624da33c86e98e48e8fa18de7053f32984
ESC-04,Epistemic Scenario 4,0.200414,0.851402,GREEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3d427a7f29832aad56bd62b5b1a22e678571b5a3f0f30e88b58e3fdeb15979e1
ESC-05,Epistemic Scenario 5,0.267711,0.665332,YELLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,945cc298746a946420ce376e2dad384e7894e754337c616ac90d82466ca444fc
ESC-06,Epistemic Scenario 6,0.268497,0.710107,YELLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1c33a5155b3ddacbd4dcff46625700ae7de9b81c50a0ee5c51542052d12c63c2
ESC-07,Epistemic Scenario 7,0.268881,0.693837,YELLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8c92a012a0f4398add4d5d42cffc423e512db5d24d2838f1df30d86ac28f68b8
ESC-08,Epistemic Scenario 8,0.342899,0.776305,YELLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,782f473a971abc8da10197cb1710d6994edca4b956ff681872f6fba4c8dac87d
ESC-09,Epistemic Scenario 9,0.356965,0.848575,YELLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,00ad90f10154ccd0e7488602792700e222cdca01fb9c47a97cb45ffe04ff54ba
ESC-10,Epistemic Scenario 10,0.381283,0.70395,YELLOW,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,af6ab84f0ba3a20d9a2f92e3010682fa4585c81458052151dfeddc777d81577d
