expert_id,scenario_id,poss_green,poss_yellow,poss_amber,poss_red,max_possibility,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,1.0,0.194296,0.006114,3.1e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,584c2cfeca7eeb8f92143aafd845e9b0dd687e883e7fbc4bab1852ccc345a89d
EXP-01,ESC-02,1.0,0.361007,0.024841,0.000326,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4fac9c083964d56abba292c4b89bf0a9cf38eadb88804960fc03fee3b7ac4669
EXP-01,ESC-03,1.0,0.202157,0.006917,4e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,df5f07ce25587e847765cb8408086fada5635932d924c1d2d53b9f0de2a44a81
EXP-01,ESC-04,1.0,0.286436,0.013281,0.0001,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a04d53caee3afaef891fc6f7646ab24b0409d79730622a2a3764d1f9fc1763f8
EXP-01,ESC-05,0.633211,1.0,0.294205,0.016125,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d657ded9cd1a4b52715794eddef7b334aec6f26a90869d20ce63028f740a4a39
EXP-01,ESC-06,1.0,0.659045,0.078343,0.00168,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1f1b973295891dd4eabca13bb062642973535e43ddf1dbacb46973658badf4f7
EXP-01,ESC-07,1.0,0.675927,0.08339,0.001878,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8151c6c2d84c5c59367463df33dc0060276cea0d9eed847e6534b2f669071141
EXP-01,ESC-08,0.632494,1.0,0.271412,0.012646,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,64b07718b6aae320895086e479f706b69005a13a675c9b8a86bcf6e3812e91c0
EXP-01,ESC-09,0.911916,1.0,0.177906,0.005135,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,64927a984e1cc071740ef1fe2ac4692d1251f097409d659e4f1d541839e0ef44
EXP-01,ESC-10,1.0,0.972024,0.171191,0.005463,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bca97e1bde39e28dcf76ce0d8fff7964e337faf531f7064438d110fc83e528cc
