expert_id,expert_role,experience_years,base_reliability,bias,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,PROJECT_MANAGER,5,0.68,-0.056,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,df2ec9f9bdbcae5b7b014d258afcc322e20880d18e6ad27c968d419ade6c11db
EXP-02,SCHEDULER,7,0.7,-0.048,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9619e204f7b3ab4131b44fbdfa87da5a279bc62d8c455e24ef5ec2fa0d83963a
EXP-03,COST_ENGINEER,9,0.72,-0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f7de7d599eb7113f6b196c02bee12914f7bd371a95f12a37d3a1fda0b0d020b5
EXP-04,RISK_MANAGER,11,0.74,-0.032,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,abec3ff167fc2908d2d70cd201171cec943d51ac28a8a672c9f09819c805fa92
EXP-05,CONSTRUCTION_MANAGER,13,0.76,-0.024,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0a3909d90da8328bcf472bf6faf772b0a9938bba1229e586de4e746be8960635
EXP-06,PROJECT_MANAGER,15,0.78,-0.016,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7211345e7db9101dae6011355fd2144556758c50b3090547f4eb1fbbef0155b2
EXP-07,SCHEDULER,17,0.8,-0.008,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,acb5ca9ba03aa849ca9877d589f1cbb665d1abb2e59c51e1cda67823bd686eb4
EXP-08,COST_ENGINEER,19,0.82,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dd538c42214f655f2a18571401755a8eafcc24248570bdb722052f7b36930852
EXP-09,RISK_MANAGER,21,0.84,0.008,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,330674dd00a4460f8c6fb1905229dc11a2d59802b1e809c491347c368358e178
EXP-10,CONSTRUCTION_MANAGER,23,0.86,0.016,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bbad8e47b35e9ca799138e934e9d850d61860a9570efe7b387859bffae4826ca
EXP-11,PROJECT_MANAGER,5,0.68,0.024,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bf0f513750f3955ad053da051a53ca456c79d8600464107c634826e64f1367a3
EXP-12,SCHEDULER,7,0.7,0.032,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0a82a8b2ee4a3c342b7988e4d78d3b2187e714c4cbb7ec283b7f399b6e0c25ed
EXP-13,COST_ENGINEER,9,0.72,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d3628f4c3ad379747d271c8e3497f162ed09faa3058cfca719e18f96e90f1424
EXP-14,RISK_MANAGER,11,0.74,0.048,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,28fa6314856ecfa91625cc89faab54adef8239994c42fd0270ad52c693f18185
EXP-15,CONSTRUCTION_MANAGER,13,0.76,0.056,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,60ed557bffb0a38943f898bfb7a7f0b23ba9745ea01ed9b66bc1e2fc5923961e
