source_id,scenario_id,mass_green,mass_amber,mass_red,mass_theta,mass_sum,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.703471,0.0,0.0,0.296529,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f32e8a884752e0c89c9ef58779a0824146f7e183557b4a4f6c4b87be791380c1
EXP-01,ESC-02,0.568904,0.068163,0.0,0.362933,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c80ed9151a686fb5fc766519368d07f761c3ec223cfd78486efe23c523558d12
EXP-01,ESC-03,0.685122,0.0,0.0,0.314878,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,989da4e2cc3c666bcd02f806a6492901cfccce93a616a2e4164767fbdf2eeb2d
EXP-01,ESC-04,0.647387,0.05632,0.0,0.296293,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e673110375e38f4052fd4905627691ba294573a19a81a3d67be19fc2dd863faa
EXP-01,ESC-05,0.362198,0.283975,0.0,0.353827,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2d4fca5db37c0a6a3d8e3c25d26d2fe552384127bfc51b38473090364fa9b18d
EXP-01,ESC-06,0.496856,0.162284,0.0,0.34086,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,56cb39e0899840139d3390e1d804382940f61b41aec591bf1709dcec0424c64b
EXP-01,ESC-07,0.490026,0.164343,0.0,0.345631,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0fa68b02bdfde514fdeac690d9066b50e3dd0c2897f745830439ac3c59f4afa8
EXP-01,ESC-08,0.383815,0.295481,0.0,0.320704,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4d399bfe713dee0146ee61fa0140b820603d9524f41638c4dae52b80c9457b4b
EXP-01,ESC-09,0.452215,0.250541,0.0,0.297244,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6b844f053c5b8f5cae4bf854565c43516d761b8e2b41654e7266b2f78994384c
EXP-01,ESC-10,0.439573,0.217753,0.0,0.342674,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B2-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,08aac8c1cffafd9015ae2fcda580498b0da5ba14ec1845a5b3a5eebf2aebe8c3
