project_id,risk_event_id,risk_name,probability,low_impact_usd,most_likely_impact_usd,high_impact_usd,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CR-01,DESIGN_GROWTH,0.205,385000.0,770000.0,1540000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b71522e2ffdfb62c5c699f1c4958d3110c4a16a540be40dcde2a0cdf6bec00c8
PRJ-AIR,PRJ-AIR-CR-02,MARKET_ESCALATION,0.265,770000.0,1540000.0,3080000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,338d3c8c8987ca338c67ad67fe74d08256aa89df5b94b4db84cc9fc4e7830251
PRJ-AIR,PRJ-AIR-CR-03,PRODUCTIVITY,0.325,1155000.0,2310000.0,4620000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9f0fc995e423a19123222b0facde91624d8c02804ecf20747762d237026e6ef2
PRJ-AIR,PRJ-AIR-CR-04,PROCUREMENT,0.145,1540000.0,3080000.0,6160000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e17ad7247551ce0fd6b6617eb61719755c604ad1f02538f9e91cabbccf02a0b7
PRJ-AIR,PRJ-AIR-CR-05,WEATHER,0.205,1925000.0,3850000.0,7700000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fffa3a88e732c7313fe15d1bab6633820b825e17dd4362c7461fa79a4c04d7f5
PRJ-AIR,PRJ-AIR-CR-06,COMMISSIONING,0.265,2310000.0,4620000.0,9240000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,189310c2433b2a9349195badfcf286e57ec3708e837cc0820493a1a0f55a3b3a
PRJ-HWY,PRJ-HWY-CR-01,DESIGN_GROWTH,0.19,210000.0,420000.0,840000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,070539334ff40f6c7e117ae0e203f081634e6e647bd411b9d73e4140fdb4d781
PRJ-HWY,PRJ-HWY-CR-02,MARKET_ESCALATION,0.25,420000.0,840000.0,1680000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,02ffa46692dc692df66c3cbe829b01571ff68975835d14eabf43e925e9a1c6cb
PRJ-HWY,PRJ-HWY-CR-03,PRODUCTIVITY,0.31,630000.0,1260000.0,2520000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,20a5896ef0ad36ea54197ef9a2e64bf29d2bd9bb5e57298413ecfc2532fb5217
PRJ-HWY,PRJ-HWY-CR-04,PROCUREMENT,0.13,840000.0,1680000.0,3360000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2d8f9cbcd7970337c9209242b64fce7167bf6de292f08ce43a20ef3765503b90
PRJ-HWY,PRJ-HWY-CR-05,WEATHER,0.19,1050000.0,2100000.0,4200000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,34be803d2fe4fa6eac27133d90eeee2c17868716f15daf4bd390d2fae55a4090
PRJ-HWY,PRJ-HWY-CR-06,COMMISSIONING,0.25,1260000.0,2520000.0,5040000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,35d7e75125d397ee738955935c9b9d17e37340a8fac462feefb6383cba21dd1a
PRJ-HSP,PRJ-HSP-CR-01,DESIGN_GROWTH,0.2125,460000.0,920000.0,1840000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,116539c51e9796be99457dfee10105cfd0ff1f0fb55dc0b9f51133b97e3489fd
PRJ-HSP,PRJ-HSP-CR-02,MARKET_ESCALATION,0.2725,920000.0,1840000.0,3680000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ca681fc38ebcb36c6f7d8844e26c0850e5c89904c8309ef1319bf32cec934f53
PRJ-HSP,PRJ-HSP-CR-03,PRODUCTIVITY,0.3325,1380000.0,2760000.0,5520000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6284421cdbfbc9c0071b6ed5dccb7e329b023c9d2eb798b5fe6947ef603f1f87
PRJ-HSP,PRJ-HSP-CR-04,PROCUREMENT,0.1525,1840000.0,3680000.0,7360000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,43ff577d59432c0f9f01259e70cb97f8f4a9c6f98ccacb52aba1e38cfe559109
PRJ-HSP,PRJ-HSP-CR-05,WEATHER,0.2125,2300000.0,4600000.0,9200000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,14302af3d69772310ebaf31c9334317aad434d0dc9cb7235a20fd5a2480baebe
PRJ-HSP,PRJ-HSP-CR-06,COMMISSIONING,0.2725,2760000.0,5520000.0,11040000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ea251cfdad361ebaa505742b058ee1bd99f32d2f222d62f0825e0e86caac472d
PRJ-WTR,PRJ-WTR-CR-01,DESIGN_GROWTH,0.18,175000.0,350000.0,700000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8bfda66a37009cacea8c26b941df48edd1fe3526041c46c2ceb8e3ab1ad7e18e
PRJ-WTR,PRJ-WTR-CR-02,MARKET_ESCALATION,0.24,350000.0,700000.0,1400000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e0c6b09ffdcc946d0a5767fc46edae2d47ae6a26739f71c7a8f076b0327f3acd
PRJ-WTR,PRJ-WTR-CR-03,PRODUCTIVITY,0.3,525000.0,1050000.0,2100000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fca431a6084f3b36b54db2538345c107b307d13a7a56acd17036dc508a463f13
PRJ-WTR,PRJ-WTR-CR-04,PROCUREMENT,0.12,700000.0,1400000.0,2800000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c87acb44140be509be871c1f1d46a2f18bd04aab44db2bc858bf8fa50f2255a6
PRJ-WTR,PRJ-WTR-CR-05,WEATHER,0.18,875000.0,1750000.0,3500000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f70e3432872e30c4b185c1a62aac031c785b11fc9029aba13c003690cd2915e7
PRJ-WTR,PRJ-WTR-CR-06,COMMISSIONING,0.24,1050000.0,2100000.0,4200000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7acc4901656e9d70164cbef52d284fd809d3136f08563277db4bb197ece70e35
PRJ-RAL,PRJ-RAL-CR-01,DESIGN_GROWTH,0.2,290000.0,580000.0,1160000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,81f4cd1550763fe0c55d419dcd1d7f7d66712369b1becc34c99b709a14c3376c
PRJ-RAL,PRJ-RAL-CR-02,MARKET_ESCALATION,0.26,580000.0,1160000.0,2320000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,29d7ac09dc4b8e39a94f8b8db21c52e37a723ee49656a5e2c3a3529e3c177326
PRJ-RAL,PRJ-RAL-CR-03,PRODUCTIVITY,0.32,870000.0,1740000.0,3480000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,494015b87d55563f79aa8370e2606f0de540ec169059d085474efb758afffe3b
PRJ-RAL,PRJ-RAL-CR-04,PROCUREMENT,0.14,1160000.0,2320000.0,4640000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cdc52df685beac2e011216af1f768ab279e463420ee2c993f1c381e08095bf68
PRJ-RAL,PRJ-RAL-CR-05,WEATHER,0.2,1450000.0,2900000.0,5800000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,aceefec74293118a15a86cdd896fcbaef574b3d68143f97f090292ef65130f52
PRJ-RAL,PRJ-RAL-CR-06,COMMISSIONING,0.26,1740000.0,3480000.0,6960000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7257e3896bd06de1974e186834e8cab82f6e9b3d099f701bf01abca1aa3315ca
PRJ-DCT,PRJ-DCT-CR-01,DESIGN_GROWTH,0.1825,240000.0,480000.0,960000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9c6f4c20ae5378708b6548f7959e330217c74393e0394b1db6e00f99bfd55267
PRJ-DCT,PRJ-DCT-CR-02,MARKET_ESCALATION,0.2425,480000.0,960000.0,1920000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,404d4b4d4b62534e0fd9657cc4ff1511f2aaaa8fe111eb22297f42f26b6b2fa4
PRJ-DCT,PRJ-DCT-CR-03,PRODUCTIVITY,0.3025,720000.0,1440000.0,2880000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b96172a5c724941bcffd5c0b0a4b27fb8e7e67d82795a9332370b5025d86a991
PRJ-DCT,PRJ-DCT-CR-04,PROCUREMENT,0.1225,960000.0,1920000.0,3840000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4fca092c636a8e4872fc7fb47d94535aae5bb9feb686678fd2078d315d65259d
PRJ-DCT,PRJ-DCT-CR-05,WEATHER,0.1825,1200000.0,2400000.0,4800000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,382f84728629de1f3c6ad3301f5a84abc2bdf2fa65b4c73acbdb7ca85417013d
PRJ-DCT,PRJ-DCT-CR-06,COMMISSIONING,0.2425,1440000.0,2880000.0,5760000.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1a60e99f7868a50cbd80c7ef8ff64bc929955fc727accc130d863cd3fcbc55f7
