project_id,time_step,backlog_start,new_work,work_completed,rework_generated,backlog_end,cumulative_rework,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,1,55.0,19.448484,21.304433,1.801411,54.945462,1.801411,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,28bee55554e54dfdc0da61557a22707b7e21cbf0dda4543ceb92525fcd27eeae
PRJ-AIR,2,54.945462,16.503431,21.268867,1.221399,51.401426,3.02281,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,08202577376d2ffea4d661dcda928f2dc0a50ba98f8932c9defdc014fa94a589
PRJ-AIR,3,51.401426,15.663086,21.2333,2.033469,47.864681,5.056279,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1fcc51944a5b7265894a3e5d1ecd177cdbce02c0853fc73b5df47c6aa0e1cadc
PRJ-AIR,4,47.864681,13.449987,21.197733,1.449275,41.566209,6.505554,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bd34e6fb6e9394c46c7ad0087e5d45a66cc9b5ca052d606e384457835d022a07
PRJ-AIR,5,41.566209,13.230416,21.162167,2.143051,35.777509,8.648605,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1876ec1c141c062ed3a7c8c91de4ecae94e6dba491e32ac148d7be9f9cc591fa
PRJ-AIR,6,35.777509,15.361948,21.1266,0.796606,30.809463,9.445211,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5372cc649e8d53bf81511653c2cd43586ca82e326ed29c09ffca7ce35d8e228d
PRJ-AIR,7,30.809463,8.721385,21.091033,1.153834,19.59365,10.599046,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5acb258af4edb9e7c412e7dc0e7fc7390a51b8686527e0a92e7961dfaa4617fa
PRJ-AIR,8,19.59365,11.222402,21.055467,1.036632,10.797217,11.635677,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,02cf4a391efb7410d13d1817618fc9b2df5af855c46e6444dc55b088e779dca9
PRJ-AIR,9,10.797217,11.943675,21.0199,0.44047,2.161463,12.076148,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,275ffe97bc37347c0f27a876b3b5f6539ea23e0ab89947e087aa93ad70eea367
PRJ-AIR,10,2.161463,9.800194,11.961657,1.301354,1.301354,13.377502,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ed46a288a8d7b3b2f3f630565a55b6ca7963ebedf55b90eb007f759fa112aa4f
PRJ-AIR,11,1.301354,10.700597,12.001951,1.085293,1.085293,14.462794,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,14c6fb5af9b122d9befb83142352d233c50ac7026a428c81c9f3064cea728003
PRJ-AIR,12,1.085293,7.530861,8.616153,0.503577,0.503577,14.966371,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,02aa4f72fee160d53872038314dab55fc3aa3d5c76d0b21f4b894600b840db36
PRJ-HWY,1,59.0,17.555392,21.699773,2.542541,57.398159,2.542541,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,787d855e061ccceeea86b2111bb6bfec814c354bb2266941c511137f19a88f89
PRJ-HWY,2,57.398159,15.978779,21.663547,2.096445,53.809836,4.638986,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,75d016cdede6830432d214b1665b81d8da7b3dbd3172fe0131690c8dd7233d0b
PRJ-HWY,3,53.809836,13.854127,21.62732,2.421029,48.457672,7.060015,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3d5ac2a77587bff6f33a7933efe55bf20b51f5778fc1eb53bed40df9caac63b6
PRJ-HWY,4,48.457672,14.947637,21.591093,0.962218,42.776433,8.022232,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e960b783f88128623e72c62db62bea054ea45a77696d9394789d53a765441377
PRJ-HWY,5,42.776433,14.28524,21.554867,1.674784,37.181591,9.697016,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fcf870f645e075f16d5c9db5748aa4e1a83d57ddc58c5ec34b65052d9dbb3ef1
PRJ-HWY,6,37.181591,13.709391,21.51864,1.87498,31.247322,11.571996,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5750f61a97f8b645bc09a213ba49999a560d573a606a5b8216b0971bf941e493
PRJ-HWY,7,31.247322,10.776128,21.482413,1.710599,22.251636,13.282596,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,778cf9daebe335fdad84336d3b066bc77245c4921bf5266837cd0821f5e097fe
PRJ-HWY,8,22.251636,9.264473,21.446187,0.958936,11.028858,14.241531,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,aaaa682cd9d006537a86698da0354d2c64924b0967847ff933219101f8b53f0d
PRJ-HWY,9,11.028858,10.096585,21.125443,0.446291,0.446291,14.687822,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f7727cad056d1e8a6509c62e12ffbafdd28a7161d3c7c15a4bde3a05337f1003
PRJ-HWY,10,0.446291,10.199226,10.645517,0.98318,0.98318,15.671002,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d25fe26dbc9a0296bba07263e5428f33bed7e5e7971e83fdf4a0d1b3d3265209
PRJ-HWY,11,0.98318,9.463684,10.446864,0.411847,0.411847,16.082848,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,55126f4f5fd71db9a7028f3605fe72ec87cbf5a5e7fc237b31d86c485ef50347
PRJ-HWY,12,0.411847,10.379964,10.791811,0.0,0.0,16.082848,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c3e418c9b98551d6a98c2ab70bba6605ee8eab6d619317a4e2d528a37c6ff828
PRJ-HSP,1,63.0,19.147131,21.106763,1.477308,62.517676,1.477308,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3f5de7d5384f205fad9df8da26413d1c292d62597b2ba5a4934edbbf91c2bacb
PRJ-HSP,2,62.517676,15.994048,21.071527,2.564698,60.004896,4.042007,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fe27f0f0d913d1156ae0072a7e94344df28c62cf5695177254512359d3230478
PRJ-HSP,3,60.004896,15.870285,21.03629,1.952282,56.791173,5.994289,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,86bf13e3bef9984ca6ac4950eeddcfc8278cefe7075de514e20517f57eb9c741
PRJ-HSP,4,56.791173,15.341717,21.001053,2.126207,53.258044,8.120496,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,27a8b28ed6c2153fffba696407af25e43236c6df4c3e1265d931d0cec6f10bb2
PRJ-HSP,5,53.258044,14.226322,20.965817,1.804008,48.322556,9.924503,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c14ac53bcc79d6687c3f4889b817818d67139dbff1de95ef9c9eea040a1d22be
PRJ-HSP,6,48.322556,12.542311,20.93058,1.855559,41.789846,11.780062,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2a3e296b1605ccebc6d083b8c7cb6125129867b16b16fed9c1dd9303cb3b903e
PRJ-HSP,7,41.789846,11.806311,20.895343,2.194209,34.895022,13.974271,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4ba0098e325a83cee477f31baaf907113f6d37f57cb3982980f6c7bb183cc802
PRJ-HSP,8,34.895022,10.999552,20.860107,1.858906,26.893373,15.833177,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,02c3c500cf02ee8cd3ee8c9c1d4943694bfded2296af54cacec9a201eb958e7a
PRJ-HSP,9,26.893373,9.755893,20.82487,1.789723,17.614119,17.6229,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1881c381c555a505101434ec04e485cfa3c35cf582349f55757244ad73db8d92
PRJ-HSP,10,17.614119,9.724694,20.789633,1.388183,7.937363,19.011083,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fa757da9cb1a4d866c801970d5202b31e66540b0d9d86d8b7ebfddabd397d16f
PRJ-HSP,11,7.937363,8.021858,15.95922,0.846669,0.846669,19.857752,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,234519eab9e18fc0219ccffeacddac2846e163cba419bc95c8df7c51d7a154dc
PRJ-HSP,12,0.846669,7.432975,8.279644,0.512074,0.512074,20.369826,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1217d349b598468fb41166b317b331f219aaa974edae05d5c7cf38200c666fc8
PRJ-WTR,1,67.0,19.152033,21.963333,1.697024,65.885724,1.697024,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ce90ce5102900f98b3bef37b6c3f29ed6dd83d9885ad5cacdc8021b3e6e08af4
PRJ-WTR,2,65.885724,17.433658,21.926667,1.404393,62.797108,3.101417,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,40acfbf305bd69840755e819a1f60ea7a82fd9bd6242c15a69917e08919f3975
PRJ-WTR,3,62.797108,15.758292,21.89,1.718593,58.383993,4.82001,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e60958d9a45c218d85344da399050ccc31b8cd754854ff1d1adbfdca7b41d2bf
PRJ-WTR,4,58.383993,15.450045,21.853333,1.813264,53.793969,6.633274,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5b374cb6e6698171954d1bfb87b2422b763c20efbd9f4fc888d6f286a6aff0ee
PRJ-WTR,5,53.793969,13.652928,21.816667,1.877546,47.507777,8.51082,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,831442cee6dad7cb3827a02fee87fb1186b7165fc9fd724b66f04345cb8d51c8
PRJ-WTR,6,47.507777,12.919415,21.78,1.980859,40.628051,10.491679,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,875416fe65ff35b41bb3797cc5d74542e91e348a6f9a94e7e197bd2a84464394
PRJ-WTR,7,40.628051,13.358709,21.743333,0.945175,33.188602,11.436855,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e85a6716f46dba82e0114f8b4b185697e5dcb733c4fefdc65729fbe55a7e4718
PRJ-WTR,8,33.188602,11.031089,21.706667,1.24267,23.755694,12.679525,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,de7393e5c1efdea3d32c9ad1a37208e30abf4ad9fa622187a133f2b6f42e76a7
PRJ-WTR,9,23.755694,11.462263,21.67,0.555462,14.10342,13.234986,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,989f84953b92861d04317e78d77ecccb648e9587213c1c52acac6c2a79528654
PRJ-WTR,10,14.10342,11.545716,21.633333,0.66472,4.680523,13.899706,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4df5bdc86a4862eb77d24b134fc698c46f1598914b8f7d93625367cdf1f8c69c
PRJ-WTR,11,4.680523,9.05739,13.737913,0.503831,0.503831,14.403537,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,aec6a45a1cfe3f2497773b845eefb05ca76a09e1f9b452756c3dec69e7457341
PRJ-WTR,12,0.503831,8.955154,9.458984,0.0,0.0,14.403537,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,677a2e32db988c1a4d8c8c1fef9b9c2fa4a4b3f2b0bd29f6717d63cefe78f4ce
PRJ-RAL,1,71.0,17.03007,21.436213,2.257097,68.850954,2.257097,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,687a67729d7726250105cfeb7458b56ec7e218b9a6b0febc7c50e68d782b4d0b
PRJ-RAL,2,68.850954,15.651392,21.400427,1.506018,64.607937,3.763115,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7f018c8ac78868182bf1d004b6901106924e74dd91927c1af39345fc455e5815
PRJ-RAL,3,64.607937,16.584325,21.36464,2.404334,62.231956,6.167448,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a91d369e367f8292c0769b7844ff6851089eff43e80327cf889cc8d03f62ef2c
PRJ-RAL,4,62.231956,14.262506,21.328853,2.162013,57.327621,8.329461,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a8e0bed90611efbc37370264a7224e1ad778375da7477713339f327e56245ec0
PRJ-RAL,5,57.327621,12.818821,21.293067,2.290791,51.144166,10.620252,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c7778e80c96b820944ee0d97ecbad8d18315b22e816addc57362cd712ca15d17
PRJ-RAL,6,51.144166,12.452024,21.25728,2.228332,44.567242,12.848584,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6a51ae81c9a0440defb6060c6c9e94f4691f61902094c95cae2cada807d219d8
