project_id,claim_id,event_sequence,stage,event_day,event_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CLM-01,1,NOTICE,87,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,aac7c5aab4fd45ec881a307a5f39f9b4c32199b57ff4346f647b35c580213b3f
PRJ-AIR,PRJ-AIR-CLM-02,1,NOTICE,122,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6386e13cf3d165006e161664896643dfe682541eaa2913f16e21b9e444d071c8
PRJ-AIR,PRJ-AIR-CLM-02,2,CLAIM_SUBMITTED,140,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,85f7d2b59728545ca02296cec44e4f5b6b16855dbb1c1c1fd0692f7e88e0e096
PRJ-AIR,PRJ-AIR-CLM-03,1,NOTICE,157,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2383fe62e6b7d985cc4ec6d4ac680bf0fec5711e15c77b2e4e01b55d4b49d09a
PRJ-AIR,PRJ-AIR-CLM-03,2,CLAIM_SUBMITTED,175,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2c96d9ac64af686bd3bf78fd84a465bd1cf7f148d77a1d82148569a179409c51
PRJ-AIR,PRJ-AIR-CLM-03,3,NEGOTIATION,193,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,40f8c32624642d34bce4cdaec437d93a60577becaf7fc8d49142379e8760142d
PRJ-AIR,PRJ-AIR-CLM-04,1,NOTICE,193,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,be44244875bcbe831b7be5fc4cd02562e14ad0ca7d2194e108c98ca09727cdc4
PRJ-AIR,PRJ-AIR-CLM-04,2,CLAIM_SUBMITTED,211,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,59fba91d411509a91cd739970042e338d0107000eead4d17c02b66f6095e1795
PRJ-AIR,PRJ-AIR-CLM-04,3,NEGOTIATION,229,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8caea30e4e8a75ffd2346ef15cd2f510e40efe5986a52d7926dd262b54f2ca53
PRJ-AIR,PRJ-AIR-CLM-04,4,MEDIATION,247,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,19840888c32b349a1f8f7093103354b397d56121fc1d093118da09a638e0f42e
PRJ-AIR,PRJ-AIR-CLM-05,1,NOTICE,228,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,eadac81300c8432120919fbd937d5ae6037a4f8946e88dadf4d58840e74a45a7
PRJ-AIR,PRJ-AIR-CLM-05,2,CLAIM_SUBMITTED,246,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,07563ce1ae1b73e6437665043bb8925b028579691ac365c375e7f36cdd289bfe
PRJ-AIR,PRJ-AIR-CLM-05,3,NEGOTIATION,264,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c694562af160818e34f4874664268d08f42e09e788f27ad25c5591d441fe0a93
PRJ-AIR,PRJ-AIR-CLM-05,4,MEDIATION,282,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,954151904bc80aa83fcdd4695a8b3447c20cc75faf1cc552702b6e7330c65d0d
PRJ-AIR,PRJ-AIR-CLM-05,5,ADJUDICATION,300,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7f6a0042aee29d588f7406f82da001983cb5d69f403be5b130dc1f23977022a3
PRJ-AIR,PRJ-AIR-CLM-06,1,NOTICE,263,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,579690df10ee8aeed1df592b1c3e53ee993d5df7c124be04feda7b59f3c3dbeb
PRJ-AIR,PRJ-AIR-CLM-06,2,CLAIM_SUBMITTED,281,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f1a6e8296fcea14966a116f1b55ffe045f3cb2b9f22ef9f00e28f6667724a363
PRJ-AIR,PRJ-AIR-CLM-06,3,NEGOTIATION,299,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,498b2c62536b21b10f76e422e3be98e2a4ab10986a7f20993030c8e101983d09
PRJ-AIR,PRJ-AIR-CLM-06,4,MEDIATION,317,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,99d4963e68b9abda628277037b2dc14c859ba999fea925af3f77dafeb2c48212
PRJ-AIR,PRJ-AIR-CLM-06,5,ADJUDICATION,335,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9496899f25964010a56b636e98c5949a9d3236a5893365b7af17f3bc723a077c
PRJ-HWY,PRJ-HWY-CLM-01,1,NOTICE,76,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,56ec4ab770c657fb84b2b426a6b418ab2c25080b65c0da50406ead8ab7e4b8be
PRJ-HWY,PRJ-HWY-CLM-02,1,NOTICE,107,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,75c9e3e0eb46a4dce876b623bf90b35c2cf95b3c829850ba10fecaea3e212c4f
PRJ-HWY,PRJ-HWY-CLM-03,1,NOTICE,138,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,861bf80145e0d799a7a9ff57c82b673ca66b3150292ff050897f9735795405ea
PRJ-HWY,PRJ-HWY-CLM-03,2,CLAIM_SUBMITTED,156,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a75dc2d2423ae36e571252bc37dc66ec61920ce16b49bc98974b16a72ed2f6d3
PRJ-HWY,PRJ-HWY-CLM-04,1,NOTICE,168,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5cccb3c31a2f61a3e3dfa72ea370dd7218f85410ec30dfbf64d6f50f9bb69e06
PRJ-HWY,PRJ-HWY-CLM-04,2,CLAIM_SUBMITTED,186,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cbb6f8ae908ef37b5472795d663711742f1fd73e41a66dff3776414ce7592c44
PRJ-HWY,PRJ-HWY-CLM-04,3,NEGOTIATION,204,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2351d8e797a5d04bb90f744d591eb48cfc2d99d353c5f7f180fd9fa6a3a9cdec
PRJ-HWY,PRJ-HWY-CLM-05,1,NOTICE,199,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4379d5a5493cbe2a96819277989a42c0616e0a49ef759e0d8532fd0555525451
PRJ-HWY,PRJ-HWY-CLM-05,2,CLAIM_SUBMITTED,217,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5af1e9d743ca808f0ef868051f43159dcbdbee5cd4e59c27979c001ce9f2c325
PRJ-HWY,PRJ-HWY-CLM-05,3,NEGOTIATION,235,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4a4fb7103b069a8894bc9d8358cb0b1cf6ccf3c10544ec401524a17506d26e04
PRJ-HWY,PRJ-HWY-CLM-05,4,MEDIATION,253,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e9b484bd39882d331afa543128a3afa9b6863c06f79be3b9589f65bf75f9252f
PRJ-HWY,PRJ-HWY-CLM-06,1,NOTICE,230,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,625dd8bcf03aa1fa68c141ef91c157e06e129daa40f2b2b0edaf6d17ae00870a
PRJ-HWY,PRJ-HWY-CLM-06,2,CLAIM_SUBMITTED,248,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,61681d2a0cc4340f9192a497a49055720a6eff34e18f27bf3c656b6a130a6f9a
