project_id,period_id,buffer_id,buffer_type,chain_id,original_buffer_days,remaining_buffer_days,chain_progress_fraction,buffer_sizing_method,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-PB,PROJECT,PRJ-AIR-CC,47.85,34.141054,0.166667,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7d7327194d2ee810d4494e3779f90626be1e08895f94f69417bda43e92e54602
PRJ-AIR,P01,PRJ-AIR-FB1,FEEDING,PRJ-AIR-FC1,14.355,11.613211,0.166667,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f27430f29d1ef3846ec97d10b239cdd6d5378915b721bbb0a8c7bcd57a777ab0
PRJ-AIR,P01,PRJ-AIR-FB2,FEEDING,PRJ-AIR-FC2,16.7475,13.320263,0.166667,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f56720311f02945856003f94553d4a2d37515d6c1635a57426b857c55939683a
PRJ-AIR,P02,PRJ-AIR-PB,PROJECT,PRJ-AIR-CC,47.85,29.431214,0.333333,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b7b6cb68ed7b17d58caac6c77f6ee2447b2a3fadef53a7b51e575d8aba68a97f
PRJ-AIR,P02,PRJ-AIR-FB1,FEEDING,PRJ-AIR-FC1,14.355,10.671243,0.333333,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,140b0dbc8c85b94295f7b24704c27b33dc044ab60ba978fff87869c809d77622
PRJ-AIR,P02,PRJ-AIR-FB2,FEEDING,PRJ-AIR-FC2,16.7475,12.142804,0.333333,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ad0fa07ba6609cba46c323f505008f264815d15b85c6910ba56e3bdfc2ceafab
PRJ-AIR,P03,PRJ-AIR-PB,PROJECT,PRJ-AIR-CC,47.85,26.661388,0.5,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,46877c8a15d37ad3eb16031167dbb661594f9b99d51eab6a93a6387dbd5837ec
PRJ-AIR,P03,PRJ-AIR-FB1,FEEDING,PRJ-AIR-FC1,14.355,10.117278,0.5,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,bf3cc1387ddc98a9049903f654023124137d722dd708de2240bfc7a9bfb5a6ae
PRJ-AIR,P03,PRJ-AIR-FB2,FEEDING,PRJ-AIR-FC2,16.7475,11.450347,0.5,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a0087c7e9dbb12761acf49d37624d90563920b0e6496c0e5517f7aebbd64e6dd
PRJ-AIR,P04,PRJ-AIR-PB,PROJECT,PRJ-AIR-CC,47.85,19.825388,0.666667,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3e0cae2bccb94f960b7b01fc61e5d09fe5244054a6678701bbf738af1c640fdb
PRJ-AIR,P04,PRJ-AIR-FB1,FEEDING,PRJ-AIR-FC1,14.355,8.750078,0.666667,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,88e7ffbe7dfef14275d5ee46e1e583e1670be78916bc3c28d9a8ca3150f8ffb0
PRJ-AIR,P04,PRJ-AIR-FB2,FEEDING,PRJ-AIR-FC2,16.7475,9.741347,0.666667,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0f2d903fdaaffaded9d1c444e5f63e9f1ab1e6e597388c4d20207858bfbd3763
PRJ-AIR,P05,PRJ-AIR-PB,PROJECT,PRJ-AIR-CC,47.85,15.67122,0.833333,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7cb5a904b55fbf7ca61f30b7641259dddf74e3facb531969f98f75121ed2a45f
PRJ-AIR,P05,PRJ-AIR-FB1,FEEDING,PRJ-AIR-FC1,14.355,7.919244,0.833333,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ea14f1d30a36d91e9b9c795e6a5b706985caa3ad0b76cb34aba9a2e50b5dfd02
PRJ-AIR,P05,PRJ-AIR-FB2,FEEDING,PRJ-AIR-FC2,16.7475,8.702805,0.833333,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4daedb111e740b78b52f1b88527234a5defec3c638cb79a83368cd6d3d16416e
PRJ-AIR,P06,PRJ-AIR-PB,PROJECT,PRJ-AIR-CC,47.85,8.93416,0.98,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3fcb5c2c04c6df5d78f2ed8ef69ac0e0dff18dfb994b3e92a5fb049ed10a6c56
PRJ-AIR,P06,PRJ-AIR-FB1,FEEDING,PRJ-AIR-FC1,14.355,6.571832,0.98,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9f1862e7071d7c9bbf61fe01d6a38007fd51fb08707b13fd568505081eeba8e6
PRJ-AIR,P06,PRJ-AIR-FB2,FEEDING,PRJ-AIR-FC2,16.7475,7.01854,0.98,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,04c37f350a727577fac9018b6e8998b2f95bcf7c57c42ece2f917e1808be2454
PRJ-HWY,P01,PRJ-HWY-PB,PROJECT,PRJ-HWY-CC,41.85,35.045185,0.166667,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a38d4a26a2847fbf8f1cda98ee7cb64edf3fe1256a684f70e6e0cf06f1ec62f1
PRJ-HWY,P01,PRJ-HWY-FB1,FEEDING,PRJ-HWY-FC1,12.555,11.194037,0.166667,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3bf89ac2d3e9b5046280d1430cd6a17e7aba8c005b136fe36c27718478839e8f
PRJ-HWY,P01,PRJ-HWY-FB2,FEEDING,PRJ-HWY-FC2,14.6475,12.946296,0.166667,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,89ded12c9e25e7488d2788d860b56aafcedae3542378ee8cfdee85d97826f059
PRJ-HWY,P02,PRJ-HWY-PB,PROJECT,PRJ-HWY-CC,41.85,29.88231,0.333333,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,39e25008a16e91db4f3fe0f9b6eeff220a026ad5d9c30f0d2ca8e6c9284eb6c0
PRJ-HWY,P02,PRJ-HWY-FB1,FEEDING,PRJ-HWY-FC1,12.555,10.161462,0.333333,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7ffc9ccf490ddd4c058c678386e6f7f1ba30bd6fd6eea04605e4ac2478bfb791
PRJ-HWY,P02,PRJ-HWY-FB2,FEEDING,PRJ-HWY-FC2,14.6475,11.655577,0.333333,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5ac9ab53aa3565c2b5f57e695a68a0949a5871a3ebf6b7f48d895e17f7dd7347
PRJ-HWY,P03,PRJ-HWY-PB,PROJECT,PRJ-HWY-CC,41.85,26.329179,0.5,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,352d48da4fd7135f2bd4b325e2a4fd20b7783ec566e0511a97b86e9d4c9e311c
PRJ-HWY,P03,PRJ-HWY-FB1,FEEDING,PRJ-HWY-FC1,12.555,9.450836,0.5,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,64d15d5d678e3037d1b65c02bfc2bbd06e9c5d06fa8cd918dada06f21e5bba94
PRJ-HWY,P03,PRJ-HWY-FB2,FEEDING,PRJ-HWY-FC2,14.6475,10.767295,0.5,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ece24738f892af4137f3943989eb382a86dc65e5a619fbcb689f62f642a11804
PRJ-HWY,P04,PRJ-HWY-PB,PROJECT,PRJ-HWY-CC,41.85,21.829736,0.666667,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,64694849d7132eade893be5a7fcf429d768602b98624c20a72a568462608b594
PRJ-HWY,P04,PRJ-HWY-FB1,FEEDING,PRJ-HWY-FC1,12.555,8.550947,0.666667,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4ce02538316375081b1f778651e63ed577b4edce2b926879b8388f36c28087d6
PRJ-HWY,P04,PRJ-HWY-FB2,FEEDING,PRJ-HWY-FC2,14.6475,9.642434,0.666667,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,22f530ac3bbc6cb6595f9eecfa13198ca5f27b92fb41183d8e50d06288ea455b
PRJ-HWY,P05,PRJ-HWY-PB,PROJECT,PRJ-HWY-CC,41.85,18.416225,0.833333,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1d6513e7e99c421c98c8f8940d7f4b34352f29f2a074ceb9e93c0648ed49d989
PRJ-HWY,P05,PRJ-HWY-FB1,FEEDING,PRJ-HWY-FC1,12.555,7.868245,0.833333,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,63973a4979ee9334ea9f030ccc0a5914beaeedc0f6537621b514016a6b42da51
PRJ-HWY,P05,PRJ-HWY-FB2,FEEDING,PRJ-HWY-FC2,14.6475,8.789056,0.833333,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,82a535d91077fe5666c579671d14fdb8f6eead710f778f7a0d957e7b4d23f0bc
PRJ-HWY,P06,PRJ-HWY-PB,PROJECT,PRJ-HWY-CC,41.85,12.641758,0.98,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4e83d3a1241ef6ff48a246f16841778491718d9151961e052215cc6099b27894
PRJ-HWY,P06,PRJ-HWY-FB1,FEEDING,PRJ-HWY-FC1,12.555,6.713352,0.98,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2d273d9193eb89c0a00d7322d1f37fdf8f586e98417bbc4996f62d5c38a0ae48
PRJ-HWY,P06,PRJ-HWY-FB2,FEEDING,PRJ-HWY-FC2,14.6475,7.34544,0.98,SYNTHETIC_FEEDING_BUFFER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ccd58204792f4bd6b6cd92db3defb5106065570804d19a9d4d0e4323a50da8c5
PRJ-HSP,P01,PRJ-HSP-PB,PROJECT,PRJ-HSP-CC,46.8,32.106987,0.166667,SYNTHETIC_15_PERCENT_BASELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5efe086df4d614fecf737ae680297db4f19ba5b180c089a20c3ec3e89945dfd6
