project_id,entity_id,entity_type,priority,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-ITEM-001,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8da4b84ea4ca325c0639eaf6ce9ecc19a214f28235e290c7b73a2a5661b5db51
PRJ-AIR,PRJ-AIR-ITEM-002,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,49203cb682ac43bc1d5463fd0a3998ee00c522f0096f9c70dfd94ef129793271
PRJ-AIR,PRJ-AIR-ITEM-003,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8d49ad89d7583b860bfd8268b223478227510f06dc2486c208d1d3108e75a420
PRJ-AIR,PRJ-AIR-ITEM-004,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ada2b24683edf80a283a8785f11424ad7e58ed276f892d261b8684de1458fd78
PRJ-AIR,PRJ-AIR-ITEM-005,LONG_LEAD_ITEM,CRITICAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,10a4ee0fb4ebc87c3ccca73bffd76af1b1c7d13585186d362cea1fe642a03572
PRJ-AIR,PRJ-AIR-ITEM-006,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a9ff172384abb93d7a2f34a4e5806bc59d22ef9a63b04119a5c5a77bab0ced7d
PRJ-AIR,PRJ-AIR-ITEM-007,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,82af1431446a3d71b1cb18cadfc07f569c776190e3658aef37ce502039582875
PRJ-AIR,PRJ-AIR-ITEM-008,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2b7e5fce1eadab2b7efb9a39979b3b36be6d203117da23558a462b971c235a0d
PRJ-AIR,PRJ-AIR-ITEM-009,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5db5ecb66197cae6dd8bd39ba3e01cc6418535e0c2076d05c7e391924cc9f0f5
PRJ-AIR,PRJ-AIR-ITEM-010,LONG_LEAD_ITEM,CRITICAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,88a0fe072b72154bf158f2a833e0739caf6217ab2c2e927521679a4d68b0e6c5
