project_id,agent_id,agent_type,base_capacity_units,base_lead_time_steps,reliability,decision_rule_id,network_group,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-SUP-01,SUPPLIER,8,2,0.805,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,842233d081f4ba392aa4a8b8ed1fab7e673c49e1bacd90b76877de8c1144113d
PRJ-AIR,PRJ-AIR-SUP-02,SUPPLIER,10,3,0.825,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d1455e92fbeee34e38bd09a25f79ec7fa5e3c94877b9a569d2d2ccb43de2dc19
PRJ-AIR,PRJ-AIR-SUP-03,SUPPLIER,12,4,0.845,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,45a998bf905fccc6b3617186f2cd84147b1717f538aea00ccf7338a20cb65eb0
PRJ-AIR,PRJ-AIR-SUP-04,SUPPLIER,8,5,0.865,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7d776d13202c63896e59dbcc4736c00f17f2533a78ba7336680732071091457e
PRJ-AIR,PRJ-AIR-SUP-05,SUPPLIER,10,2,0.805,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,12298a6346aa432fa371b8567b83d404c63b46210bb9094f872912d36cbfe43c
PRJ-AIR,PRJ-AIR-SUP-06,SUPPLIER,12,3,0.825,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,186fc56967c55d10e0d4a0e9765af8ef41698f173ebb5af298ee170dc02092f2
PRJ-AIR,PRJ-AIR-SUP-07,SUPPLIER,8,4,0.845,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,44a69b6f1a8d0eb6b042abba7442ab57df8e6cf288e3317a3c2faf9b08043169
PRJ-AIR,PRJ-AIR-SUP-08,SUPPLIER,10,5,0.865,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b93a5e756f9755204a8373ccc3ee92c157ab289a9f74c0586df3f4fc69d2f026
PRJ-HWY,PRJ-HWY-SUP-01,SUPPLIER,8,2,0.814,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,04f3cad46a2adddcac3c0c23288c913ad0f8d2648fcba0e915231e157d797632
PRJ-HWY,PRJ-HWY-SUP-02,SUPPLIER,10,3,0.834,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6ec4e1c6348c8ce1dc357dd5c8de995ebf11e14339233676b17ee549d4f82ff8
PRJ-HWY,PRJ-HWY-SUP-03,SUPPLIER,12,4,0.854,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8514c5163c159ce9e569952759af4bd96860b7f2f7db20f20123584588b0550f
PRJ-HWY,PRJ-HWY-SUP-04,SUPPLIER,8,5,0.874,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,94794d2f2587ea05e4e6db75bab37fcb361996c875ef02c84e39d901fd91b694
PRJ-HWY,PRJ-HWY-SUP-05,SUPPLIER,10,2,0.814,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,244289cbb66271e03d83fe1bf6bf086bddaa7b71310cfa844b756570319ca29a
PRJ-HWY,PRJ-HWY-SUP-06,SUPPLIER,12,3,0.834,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5fc325e6e5764099a07d2f574ee64671b8067f14a73857957f1465911ca88177
PRJ-HWY,PRJ-HWY-SUP-07,SUPPLIER,8,4,0.854,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9fa3bf5afcf9d2eaf1f5c521915b2fccf71124b1daff8c3ff4774027f2b0fe92
PRJ-HWY,PRJ-HWY-SUP-08,SUPPLIER,10,5,0.874,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,696deedf520e6bd8eb4c2cd515ad90b52cf91faf54c022cd78cf4567152c58a5
PRJ-HSP,PRJ-HSP-SUP-01,SUPPLIER,8,2,0.8005,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6fa21db47b681ad71798cda4e0b94f6376868afdc33db11c31c2395311f26e57
PRJ-HSP,PRJ-HSP-SUP-02,SUPPLIER,10,3,0.8205,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6bc2a3c0a394cde22773438bccfc73c2403a744a773cff9e11dcf0f7a72092ce
PRJ-HSP,PRJ-HSP-SUP-03,SUPPLIER,12,4,0.8405,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,6670b92a955d7d7dce18d25857cf99221adfc3f598b3dbfd98dbd1599f6acdb0
PRJ-HSP,PRJ-HSP-SUP-04,SUPPLIER,8,5,0.8605,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,96a49319bd59a888819ffe7f4c04151021365f34cdc800c05bb59048ca5fae62
PRJ-HSP,PRJ-HSP-SUP-05,SUPPLIER,10,2,0.8005,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5bf7a4cfbe9d84d19d3c3f1f7263d48642be0c89dc8742fd4bd59921ad97a11e
PRJ-HSP,PRJ-HSP-SUP-06,SUPPLIER,12,3,0.8205,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,12a0831a698d35023b8474d0c39a9059b9e85b6ee90d0f76ecf7b41dabbf82e9
PRJ-HSP,PRJ-HSP-SUP-07,SUPPLIER,8,4,0.8405,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,68b0fc6ac4d238acbf80298740f7f2233ec62af61d81d2e939b7a94c80373fb6
PRJ-HSP,PRJ-HSP-SUP-08,SUPPLIER,10,5,0.8605,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,96cbdceef9b5eee5ecd470f124eb065f0a133d14317e98c06ee5c6f7e504226d
PRJ-WTR,PRJ-WTR-SUP-01,SUPPLIER,8,2,0.82,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,56e55f0349d29005a03cd8b1791476c3b4ce718a4fd190d645c48dd3db71c8a9
PRJ-WTR,PRJ-WTR-SUP-02,SUPPLIER,10,3,0.84,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,313be6d6ea9b3f3bf872d2b0dce5e06d89aff84ee2367dbc164a9513ad3d011b
PRJ-WTR,PRJ-WTR-SUP-03,SUPPLIER,12,4,0.86,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4bd0f5c1bc3b19055c5857284444049eaab4f89c3bc119d46ee084f75a3f6384
PRJ-WTR,PRJ-WTR-SUP-04,SUPPLIER,8,5,0.88,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,51819bf3b64d1b0426896089faf4650cdbe8536ef446d28e94f8e363a87a95cc
PRJ-WTR,PRJ-WTR-SUP-05,SUPPLIER,10,2,0.82,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,474d8380fbd25c13e45636a7d158929c7e7ab4f7589483c051d351b04c3bce48
PRJ-WTR,PRJ-WTR-SUP-06,SUPPLIER,12,3,0.84,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,A-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,43b04f6d046ad937d04a0ff6fe6a7ab1990a6a302d3ac1c1e330e91b0c1ede23
