decision_problem_id,project_id,reporting_period,decision_horizon_days,authority_required,budget_cap_usd,crew_capacity_increment,max_overtime_fraction,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,PRJ-AIR,P01,60,PROJECT_DIRECTOR,9625000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0bddea60f72b568af4859a59e84c16705f25bb1d877e632971bb77e2c20ab380
DP-02,PRJ-HWY,P02,60,PROJECT_DIRECTOR,5250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bcac856983dbf145135b788f11cd592d216428d633113ce0deb873519387dedb
DP-03,PRJ-HSP,P03,60,PROGRAM_EXECUTIVE,11500000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,da5ad715c1f1637b8e996e27ef9d453964dae85a1384ad670a02a5c31046205f
DP-04,PRJ-WTR,P04,60,PROJECT_DIRECTOR,4375000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,daa976ddbd0f7ee85e3783c6fe60fca197977b485db6c83019040a7cd86dd4ba
DP-05,PRJ-RAL,P05,60,PROJECT_DIRECTOR,7250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,07a81b92e5acda48bb89af0a3bfb28b14e2ab9e832cf57667f21e8ea49f5ff8e
DP-06,PRJ-DCT,P06,60,PROGRAM_EXECUTIVE,6000000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9a91845982cf0178425f9cc59bf27008b9f7c16a1ba8ebdc08a3dcd04171f418
DP-07,PRJ-AIR,P01,60,PROJECT_DIRECTOR,9625000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1ba687191b76eb8b5fbe4f89db210ac0775ae418cb75d95d3c3b8f88e178a983
DP-08,PRJ-HWY,P02,60,PROJECT_DIRECTOR,5250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a1c70b0d7c6023bde28d252da45cf2bbf8f251df60a2cc3d6dcbe7b9b1077ec1
DP-09,PRJ-HSP,P03,60,PROGRAM_EXECUTIVE,11500000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b73e562f06de8d942b9ab8c2881f7db99ec3676589ba1635c0d2ce3de768dd06
DP-10,PRJ-WTR,P04,60,PROJECT_DIRECTOR,4375000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,671a71c5719be602e0b9a9e97f2ba190ffb48e07880006f64bc8b8032c1db029
DP-11,PRJ-RAL,P05,60,PROJECT_DIRECTOR,7250000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,91845866a7c5903521ba657e05d6a6728ed4e5ebbc3acb479082162b2aeed7d3
DP-12,PRJ-DCT,P06,60,PROGRAM_EXECUTIVE,6000000.0,3,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5b3e422dc347333187494c26e4e7fa1ff132b0a3fd30f57522c31dbf007c54c9
