decision_problem_id,action_id,scenario_id,cost_delta_usd,delay_days,quality_risk,safety_risk,residual_risk,feasible,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-A0,DP-01-S0,0.0,0.216609,0.18,0.12,0.2,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,364215aab79ec71f18a349cb12815a0cd963f405477a7e4488647f180b63dfcb
DP-01,DP-01-A0,DP-01-S1,10780.0,10.967498,0.228,0.152,0.296,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4115d032116be85ed658cc2e9e71ac0bbda65e66cd42477bec6234f98785d12c
DP-01,DP-01-A0,DP-01-S2,13860.0,16.318346,0.204,0.136,0.344,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0d32ddb378cd6b5eb0aaa4c1a56b0c4e4d64ee6585c7d26bf566e85dbe2f43c7
DP-01,DP-01-A0,DP-01-S3,9240.0,9.442849,0.196,0.16,0.28,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,37797e8897c694289abe8a20171da85153b8e6d3799c390c63455fbf2abd68d3
DP-01,DP-01-A0,DP-01-S4,21560.0,21.227743,0.252,0.184,0.4,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2add2e04d66b703831813bdc283c39f69a70ecad9a08896d1ccf1b3f91f74aa0
DP-01,DP-01-A1,DP-01-S0,1280000.0,-10.926963,0.25,0.23,0.12,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ee1aae5663cd35418579953eadbb904755509a858eda9ecd0542740b1694fc4c
DP-01,DP-01-A1,DP-01-S1,1290780.0,-4.670033,0.298,0.262,0.216,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8ffdec15c06edf5384117ee0921f3eb8fdf0019edb4c9259b9725079403bda44
DP-01,DP-01-A1,DP-01-S2,1293860.0,5.195788,0.274,0.246,0.264,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aecea9a974f09296f9e530228df2382852c6c98279d8dd22c2d9378ba2db1e55
DP-01,DP-01-A1,DP-01-S3,1289240.0,1.496121,0.266,0.27,0.2,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,49b049bd94c22a3fb9d1e1c7f76a170bad1fd19faa04541ca2421e7e988f27e6
DP-01,DP-01-A1,DP-01-S4,1301560.0,13.869898,0.322,0.294,0.32,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e2e2265411083b2ee55b162234dbae0779730a98d1fa1d0710cbd6674e909252
