decision_problem_id,criterion_name,weight_factor,selected_action_id,base_selected_action_id,selection_changed,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,EXPECTED_COST_DELTA_USD,0.8,DP-01-A3,DP-01-A5,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4c7491740f35946e7caf678ce85a62bf0bb49dd8135323705bd10bbba2b56d18
DP-01,EXPECTED_COST_DELTA_USD,1.2,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0baabcf6713184f3d533077b504398ea95b7e33e28908ee66405cba5135f1aaa
DP-01,EXPECTED_DELAY_DAYS,0.8,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5727e56c1229aadf6efb300f28b66e4cea4f98752c7a1961e593cf8523c5b85a
DP-01,EXPECTED_DELAY_DAYS,1.2,DP-01-A3,DP-01-A5,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ba5a638e85a2504f6eac943f2f2c6c5e889b14b1582428f41dc0d43260a0ba48
DP-01,QUALITY_RISK,0.8,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,efa378d7379c11f2d7b4f99f82271245678dd231a8a7901b26197962342beff6
DP-01,QUALITY_RISK,1.2,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ff363572c302990ce6f6670e639f09806166a253e3bf9856ef0eb8d1b93d5bd3
DP-01,SAFETY_RISK,0.8,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9d0e5ea8a0347b5fee71d13b7b69871d019cb4dc67db7b0fa43f66648d72fb0a
DP-01,SAFETY_RISK,1.2,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9e78c4d6544ebcae17d449f31dcee03876b66d076676894e87cf10e39202bda8
DP-01,RESIDUAL_RISK,0.8,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b9d446a29b35c63a1f8975c98d4d913f4883cc34a5cef23c1328ec8b8f84d5a4
DP-01,RESIDUAL_RISK,1.2,DP-01-A5,DP-01-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d0db0f1976a03796ee40a0be455f46f9e7fa8f76c82d0f7d4d78c06c44a23e1e
DP-02,EXPECTED_COST_DELTA_USD,0.8,DP-02-A3,DP-02-A5,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5b84cfe1a67cff6c539fce1a2bf674dc378701949a2223163434f2b30cd4799f
DP-02,EXPECTED_COST_DELTA_USD,1.2,DP-02-A5,DP-02-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,584459ab74fd2e504cfc93533b8e343eee987db951af8f5cd888e6f1e83de6b1
DP-02,EXPECTED_DELAY_DAYS,0.8,DP-02-A5,DP-02-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,96531f587b911280cc74d602ee6920543273a2222291773e5432a702074a4037
DP-02,EXPECTED_DELAY_DAYS,1.2,DP-02-A3,DP-02-A5,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,109211d8684e271ed41cf3d7af01c1d76e5f014d39d097a4ee8fb464e5b4300f
DP-02,QUALITY_RISK,0.8,DP-02-A5,DP-02-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,119cfb6a1f99d08d23703f7096f62fc09d808d21d3ca68620690ce196c21ff54
DP-02,QUALITY_RISK,1.2,DP-02-A5,DP-02-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,492bed7b9bb4b2b56e29c5c0ba9c39c2802f5b99437807220f34295056d1b1f1
DP-02,SAFETY_RISK,0.8,DP-02-A5,DP-02-A5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a8a1ae162cac987fc7651f689a06b9a5569bfbfc0d84e1887865476b18d44799
