decision_problem_id,action_id,expected_cost_delta_usd,expected_delay_days,quality_risk,safety_risk,residual_risk,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-A0,8470.0,9.072184,0.204,0.142,0.28,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0b3d335e435916761bf271eb50242734ecb7ed5d3c79b45f5a050091c459a5ea
DP-01,DP-01-A1,1288470.0,-2.107878,0.274,0.252,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3ca2ef9abba03e3c0c7035ed05f067008f161f704dbe06614112621c9b287c2b
DP-01,DP-01-A2,888470.0,2.296187,0.318,0.313,0.24,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,340732ccc13e47670e583840fe5da00a71769bc73e2380ce8af1b65a58f05004
DP-01,DP-01-A3,1128470.0,-2.114471,0.242,0.199,0.18,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ba5820a0cd30aa22c879c2ea9925d2b3b99d11ea9d23022fec3b7efefc9035ae
DP-01,DP-01-A4,488470.0,2.625186,0.296,0.21,0.22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3ed5cce220a50a8cdfba341bae0c02ef48cd831b4bed2609ee0582f7dc9af3bd
DP-01,DP-01-A5,-311530.0,5.91311,0.33,0.171,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ef2823af4ff31d784fc85d556f913fac520e89f22e42e21f27be38ddd0e465b2
DP-02,DP-02-A0,4620.0,9.290574,0.2055,0.143375,0.285,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8cdfdb14647d013200c0ea789eda5d1365096fce9ed0b4ebfc047b7971380a6f
DP-02,DP-02-A1,1364620.0,-1.895565,0.2755,0.253375,0.205,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0df0c314ad0c2c500069d695b3db52d5755039f2f88c50323a500ff659b60d61
DP-02,DP-02-A2,939620.0,2.44524,0.3195,0.314375,0.245,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1aec420c6c2841a04461ea39e6f0a8851b7ad2548b49d104616ab44ef1484758
DP-02,DP-02-A3,1194620.0,-0.916201,0.2435,0.200375,0.185,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,45280a839bc9a3cda3512882ea137f4a56782fa59746c5c680dfea946c03ac54
DP-02,DP-02-A4,514620.0,3.267384,0.2975,0.211375,0.225,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b49c670485682060943102bed009371498f1b50f33180c7ad4f65ac1043839c5
DP-02,DP-02-A5,-335380.0,6.179132,0.3315,0.172375,0.255,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7b00b9dce80d2bf0a629340cbffb1bcfdddcfdbe1b97b29a2c9aa5ce88382a8b
DP-03,DP-03-A0,10120.0,9.873687,0.207,0.14475,0.29,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b949cc918fefa58da8fd7ae90ba87a84884fa1b24d734e10feaf329b8a248a9a
DP-03,DP-03-A1,1450120.0,-1.784146,0.277,0.25475,0.21,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,581717d6a2560590c8d8c653f164bffdd238ef9427098e5f71f28bbf154131bc
DP-03,DP-03-A2,1000120.0,2.852352,0.321,0.31575,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4d9b831e784871864d24215c809ddadcb1f62a8b8dd0ee284219598768f66458
DP-03,DP-03-A3,1270120.0,-0.318068,0.245,0.20175,0.19,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d89cc2f92437be39351bc33eef5af458eac38e8631974598f67d8470e17adbd4
DP-03,DP-03-A4,550120.0,2.803258,0.299,0.21275,0.23,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e6c109100fb716eba0253a769ac8953cd8c862b5722dab09c56a9db0306d9bf7
DP-03,DP-03-A5,-349880.0,6.629852,0.333,0.17375,0.26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a79b4ca09e60974e389336aece5bd2d7bc33bfe991dae224b475deaa83c4d359
DP-04,DP-04-A0,3850.0,11.667101,0.2085,0.146125,0.295,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3a89314b623c00237e62829d932435aaef09bf636adcb31f78a8862e4bee7045
DP-04,DP-04-A1,1523850.0,-1.529659,0.2785,0.256125,0.215,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,43093897d5ee37898defd88f98a3614e55654e3aee3b5bf14f1449766010fe9b
DP-04,DP-04-A2,1048850.0,2.733542,0.3225,0.317125,0.255,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b5afcd3942f3ac8870314d8402ec67ef2ba93da67857a364477b5ef19185ddfa
DP-04,DP-04-A3,1333850.0,-0.16432,0.2465,0.203125,0.195,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,39bd636ae972769b18d9f817ca4e38fcca76381b913db75fd5b6b508c452912f
