decision_problem_id,criterion_id,criterion_name,direction,owner_weight,unit,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a9cbee1fdf8260983363ded01c53d82e5933087688a5050de1d2a73dfa93bc84
DP-01,DP-01-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9ac3146b5b0f2383716580bee9818c490190cc4dd5cacce38f6f879d40f32759
DP-01,DP-01-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,727697e4bdae76910e4286b49a939a410e995298b8b47bd63199ae7eb4a2ef05
DP-01,DP-01-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4e9c2f19165544a243d7520afc34e6e8ba642c676a84fea221c58c004c1f3829
DP-01,DP-01-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6cdcbd7ca622de7e94f37f51fbde7eb723f5c0106727fcbf9de810c14ac396a3
DP-02,DP-02-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,609917e07d4440e746e9f5c7539b9f9e28fc486e2857a3547b36d50ca5172f40
DP-02,DP-02-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2a097c9db40abba118c7f8cfe7bb1277d85afa457efd25427288b2e9d3b3234e
DP-02,DP-02-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ae0155ced655f836ca907f4deeb4c2e31f3c815369ddead8b9185e0b36d843ca
DP-02,DP-02-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,974764bc89f068159c0df026cf9243b95dbd2a4477477026aaf991dd1aa372d4
DP-02,DP-02-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c3d910d0bca3ead6922f2af7e279b9011da390f256bf61ad15cd7adba06461c9
DP-03,DP-03-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,583008e52d5deaac2fa7ff956974088dec7b904b60a470639166d6b361cb3733
DP-03,DP-03-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aaf28727cba9db582d1526a8b47666aa52a9a9e692a0c0685db3074a66216ae5
DP-03,DP-03-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0e87c5362c4f0e7d0f1a899dd21b393f489e17d33ebe18e050b4013fb13d9ef2
DP-03,DP-03-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a65dffd7b4486a1de7c35fa2d292e1ee055824aa21833decdbae3aa980ce879f
DP-03,DP-03-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a5f4c7ec99a1d7bff174be760ba5920a9ee1b614203eeadcf372f72de3d003e6
DP-04,DP-04-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4ed8c86c983533410730d92ea98ae1b5c9754bf5cef0c215f108e9a8035bd305
DP-04,DP-04-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,463a17bb3261d3916fc3adebd08676e72ab20838fa97f44a4204f6bbf39daacd
DP-04,DP-04-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6841da6fa6bb56371039f6e648da77e803dea49248e928756fc5916743b2f77f
DP-04,DP-04-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d9ca2526e5a9bdee7e804e96f97e2eeb1d6226270b8a8bad9995c4e8ebc92506
DP-04,DP-04-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5f7ca964bb1373ffadcb07ede2b01606b9f29e17cf94087943c575119dd289e1
DP-05,DP-05-EXPECTED_COST_DELTA_USD,EXPECTED_COST_DELTA_USD,MIN,0.28,USD,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,77b396c426e0d695d0140363f23b2e34da6152d04f6138176cedf8e6d6a5e0e5
DP-05,DP-05-EXPECTED_DELAY_DAYS,EXPECTED_DELAY_DAYS,MIN,0.26,DAY,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,46feb2f1ad04f3137b7f553910b93eb26091ebc398f1f1abc49152e12677c6cb
DP-05,DP-05-QUALITY_RISK,QUALITY_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,86369b5b17f91746ed142bd5df02b575dfd2c79fc23cea2269a545251075ea32
DP-05,DP-05-SAFETY_RISK,SAFETY_RISK,MIN,0.14,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8a2059fa88850cebd75da07ce2acebc91f96835d91130487e2b254fe4a92e317
DP-05,DP-05-RESIDUAL_RISK,RESIDUAL_RISK,MIN,0.16,0_TO_1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B3-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e6d769c070665d00686d63976bf4c83b91b9f39ee8190a447552c4ba2eaaa536
