module_id,code_module_id,module_name,category_number,category_name,synthetic_package,primary_files,proposed_owner_action,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
1.1,A1.1,Monte Carlo EAC,1,Quantitative EVM / Cost & Performance Forecasting,A,cost_elements.csv|cost_risk_events.csv|cost_correlations.csv|cost_risk_ground_truth.csv|cost_risk_component_ground_truth.csv|monte_carlo_convergence.csv|monte_carlo_known_answer_cases.csv|monte_carlo_known_answer_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5e83819e1ae1c839fd8710f2ab26b9cdff11e73279345204b7f56b518aec7cd3
10.1,B4.1,Multi-Objective Optimization,10,Decision Optimization,B3/C,actions.csv|criteria.csv|action_scenario_outcomes.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,862b21ae3f892bfb4557f87143f2de62f73cb070f86910ca832c268d74b56905
10.2,B4.2,Linear Programming,10,Decision Optimization,B3/C,lp_models.json|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ab6dd3ff08b77f3d4e017719ca647837f9b4ef5eca365e6d27831fd0b75f0e88
10.3,B4.3,Constraint Satisfaction Analysis,10,Decision Optimization,B3,constraints.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f84aaf5c146c7074888b15645c083add082fae2f099cc1a2be1060ac58bbc9b9
10.4,B4.4,What-If Scenario Matrix,10,Decision Optimization,B3,actions.csv|scenarios.csv|action_scenario_outcomes.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c8d50e96b66cab29a191cf1aa210334b27fbb30f3f83654bc9ef700897187739
10.5,B4.5,Decision Sensitivity Matrix,10,Decision Optimization,B3/C,sensitivity_cases.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,34f33e4803e3b6442aac21de7add9bbbd44e5f1d3b8d5ab385e1411a6582d722
10.6,B4.6,Pareto Frontier Analysis,10,Decision Optimization,B3/C,alternative_criteria_matrix.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2f7d96dc49f50665a698421056f27bcf9ab0bb21c3ac38f11da51d4c61588765
10.7,B4.7,Regret Minimization Index,10,Decision Optimization,B3,payoff_matrices.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f82ae41d5468a7d618f70cf10581dfa54932296b7bbb329c69f3a82bed0d891a
2.1,A2.1,PERT Network Criticality,2,Schedule Analytics,A,schedule_activities.csv|schedule_dependencies.csv|schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e8a2622c653d5364807120e9129d3b2848eee59da2326d7b72c345e4229aa980
2.10,A2.10,Schedule Risk Analysis P80,2,Schedule Analytics,A,schedule_activities.csv|schedule_dependencies.csv|schedule_status.csv|schedule_ground_truth.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,ROOT-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,facf03dc35269c5c9a3eaf8f69f6b51a9cd4b0c5739b2ac56b8bfc2de500e0c5
