target_project_id,analog_project_id,similarity_rank,distance,analog_cost_overrun_pct,analog_schedule_overrun_pct,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,REF-0085,1,1.886738,0.153222,0.260764,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,43dbed6a0a87c421e7042d35d9f904fa94f5eeb63f88e3ea76f747422c007b12
REF-0001,REF-0277,2,2.177615,0.189851,0.217225,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,22f7fefbea70e2633c1a9d3ba1d063409f2693c9808122190104986a99cc2337
REF-0001,REF-0073,3,2.191749,0.261087,0.171359,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ff72064e80f4d505182dcde63a5df7a5b3b4cc3920a7073389e0b96852f4eb69
REF-0001,REF-0091,4,2.244964,0.099387,0.062938,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4f9ad8f7adbcd7f9fa0da0a6988858f3156fc7611f49cedf8b63538b55255658
REF-0001,REF-0301,5,2.271635,0.135309,0.023048,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4c1d2c7da21288db6a79af61b849201a70d28bdab4cc5e66bd09e81fcf0b85fa
REF-0002,REF-0308,1,1.53875,0.069111,0.178945,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2693966a7e68ffa5e037449ddd60f0de4b98feac116349b78f9534c50a4471ee
REF-0002,REF-0020,2,2.01308,0.193876,0.140033,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7d068242ccc2f0f3c44008a26ce26ca17cf4eb36489986f3f3de6982ace2f4ca
REF-0002,REF-0206,3,2.188945,0.287575,0.236011,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,be5d75f4dc8bcf30f18045b8e5560f3a33a3fddce560e278d4ff0276ad9d3d35
REF-0002,REF-0278,4,2.28353,0.249026,0.200213,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ef95348f6723378cd10b8836c641d66370fdfe34062140ce616c7d194f287afb
REF-0002,REF-0242,5,2.351027,0.149094,0.07718,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9dec3f2dec6fbdc22aa25965f244929bdf1cf0cd63d5781d34cd8a97f2add042
REF-0005,REF-0029,1,1.709301,0.262776,0.183572,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,db14d7a739bda38afd9ac408febb864051734df69103defd1c03a38aecabe7fe
REF-0005,REF-0053,2,1.791312,0.247821,0.184783,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e6b0b6c1d0eba2e4451a96431e534b33891e010e8b6bca8eb7e110520322d6ff
REF-0005,REF-0197,3,1.983057,0.155386,0.146604,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,5d99066ec23e32b23a851c1f27d8ecf28b9ec4f3a210d9fb5053598c931a0920
REF-0005,REF-0137,4,2.028727,0.083332,0.225746,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,82ab062c43d33c72b51d93ee6e45dbb812573a0305965089d52cdf865a4d10e6
