reference_project_id,known_anomaly_label,anomaly_reason,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,cef5404aaf8dacb2e9c99454603bc1447cb792b13e7deef7acd7340d462a2a78
REF-0002,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a3d1d1bb7fc0f72771e43e1fb6c22cfb122d8617bd37accb3390d739168e0c3a
REF-0003,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2ff2d78999312368ba270607d9bb9031d1cb93e7cbc9fb354d0e348e34437aee
REF-0004,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,80018ef160c4649f2cca39bcca697c774164f550b8d38ab5826507e080bf21d0
REF-0005,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f4489c123ba9b25f3614d151c721045aaab0e704e178261855d5dbc4b4709034
REF-0006,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,dd8b27c99f4e66f5ff29f007b66f7116793bee2ef88730aa22cb2cc859afab9f
REF-0007,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9ac14307731f297c35ca699037f75c4dc9d5ed7a293afd9a4ccde7acb546db9c
REF-0008,True,INJECTED_EXTREME_OVERRUN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,84b06287b8ba48245a6b2ff9b1ebd9aa0e70d33762be29093b459ff0e423ae92
REF-0009,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d104b29acf2a33d01150fdd3d67888ed238409bfa0c07e8942354e3f22d02035
REF-0010,False,NONE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,B1-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,217f7406f91f03d30c7b058d6795d0a4fae65eeadd008d17168b7078beb76043
