file,bytes,sha256,row_count
B1_reference_population/analogous_pairs.csv,26118,acbd68d6d926821630424cf2fcea7cf70c845a9abf9273b34007f79221a5a3e8,120.0
B1_reference_population/anomaly_labels.csv,68745,845ce06ad40e417f23c1643d2b1318660a56de21fa914af33705c0582d99fb08,360.0
B1_reference_population/ground_truth_model.json,859,5a38be2595f91e28e24c8544fddd097b31f595e052630ba51bee5e44b83e149a,
B1_reference_population/inflation_index.csv,362886,b8634c0dfc695be2f59bd07db51787c04dd6b2454de09a6096c8bd5302f3ca2c,1536.0
B1_reference_population/parametric_cost_training.csv,103560,5205723da9d414a0c40b31f415fd959ce3b926a93b5871427ceea03b940097b4,360.0
B1_reference_population/reference_class_membership.csv,84520,fa08918bdc1ce80ba8e4f142a33735a4636fe1b86079a75b032c19f3dbfbad84,360.0
B1_reference_population/reference_outcomes.csv,82221,a37f79806751252a76d716cd54f2a50feae993235d50e013ed6244d81faadc70,360.0
B1_reference_population/reference_project_periods.csv,670184,7aed6574f1e8c35bcdd77976314e1ee1e03b36ea56531067fbbccf2b77196a70,2880.0
B1_reference_population/reference_projects.csv,123026,2d2762cec93fba60e037d1151da3d427429bf94341ec5f3d498f41928eef641f,360.0
B1_reference_population/rough_set_decision_table.csv,77017,1e1f891888200432c4429289a7b07183a3db1d00fef131ce2cd42e6d173549fd,360.0
B1_reference_population/split_manifest.csv,71579,ce6bb5a0a2500fc6d4d7c67a5391ea978d9bac3903026125f72a9d1976bc5995,360.0
B2_expert_epistemic/belief_rules.json,7680,2e26085628e0dac2c2d8179e8defd8954c4a29b7cda05061431920ccfc95d43c,
B2_expert_epistemic/ds_mass_assignments.csv,79027,58270bc14522164c69aa4b3f581390ee6fe105b8682cad586c8fa2d0efb3bee3,360.0
B2_expert_epistemic/epistemic_ground_truth.json,5259,d0c3efa1400817778139891496b3390c6ccc58932e83729aed37c18dafa4aeff,
B2_expert_epistemic/epistemic_scenarios.csv,5519,7e5c91ca6974f6ac83b0ef2949f9c175b1d4b53d9e45ba21b17bb147c9f9ff03,24.0
B2_expert_epistemic/expert_profiles.csv,3244,9bd8ea8f2d1886b6c5213588e119c466380bd11a6ea5473c7db2877fb76e2115,15.0
B2_expert_epistemic/fuzzy_memberships.csv,102500,3b297a4984a9061b1b7fd4787814dd226053419335e2835a193df811d426d870,360.0
B2_expert_epistemic/plts_assessments.csv,79938,ed9d7568e65782b11f1749304386b587a8ab2ea17cceb7ffb62daa4ca14179ba,360.0
B2_expert_epistemic/possibility_distributions.csv,78507,aee5dce2d95246529134aeafed1351514068f2b4cb9798f03847a9d59ac7ca6a,360.0
B2_expert_epistemic/z_number_assessments.csv,91256,b84ee81b44a421bb86c1c012980304d1ed7fd338ade84642b8bdfb93e9ec35e3,360.0
B3_decision_optimization/action_scenario_outcomes.csv,84652,ac8ccc7dc30111458cc696e96090dbca3f5c7811b682572be39c6c4e8f2a1d6d,360.0
B3_decision_optimization/actions.csv,17626,1f556de0bef49afb78306a0b30eae160291c4b0870134f84ad00edf9b4c0eb24,72.0
B3_decision_optimization/alternative_criteria_matrix.csv,16247,902df15fcf72a8142be23481fb338573c3d583d86f0137bfbbe07e84ee2ce8e2,72.0
B3_decision_optimization/constraints.csv,8740,06040340d5ee3002108140476bb4c3eaf9b1b779327ce56351648f2bf7163d0e,36.0
B3_decision_optimization/criteria.csv,13933,c3b595c88b9d7402301f4a4ff4b6823161acba8d71d492af615434db353e6038,60.0
B3_decision_optimization/decision_problems.csv,2949,f8a75a751d9c57fff65a73ac5142e2c52502a7d303f90a19eca8f1b64884f303,12.0
B3_decision_optimization/ground_truth_decisions.csv,6452,3540bfb7416dc685f4d09bffc592f1eee8f66f7643957bef8bc1798716abeb66,12.0
B3_decision_optimization/lp_model_schema.json,317,e1bfa8c054a574b0c6fb1e733073bcedb4d6c9c959735821954cb457306b4816,
B3_decision_optimization/lp_models.json,24183,0da158ceb33107723a2c8bb6f3e735dc9ce75e0936975e1b7b1b74a1d33c52b7,
B3_decision_optimization/payoff_matrices.csv,75435,fe0c068bf9e671f4478ea578315747c1a2a357ad37894cd9e58eb24fdf002e2b,360.0
B3_decision_optimization/scenarios.csv,13969,0258e893c3d85e29d7d9d2d6bb56d352654fe80cca3ff7aef1f951afee2ab377,60.0
B3_decision_optimization/sensitivity_cases.csv,26572,ad780b3d34d82004a16559f2f33c50d09ba459130714acdd14d420e128f6bd49,120.0
README.md,575,689cb54a81ecf9e029f4903b526ac30f5b268cc5600654b7afe1a6b5a1d4188c,
