target_project_id,analog_project_id,similarity_rank,distance,analog_cost_overrun_pct,analog_schedule_overrun_pct,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,REF-0085,1,1.886738,0.153222,0.260764,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,65c747c6c9e5460d4d6dfd247e09bbcd28a4e85759b215f324e0d61d6821df30
REF-0001,REF-0277,2,2.177615,0.189851,0.217225,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,90479d84b3d85597ded6cba31ef695ab7fb83cce16fb6c8fef0cb5dd9f07752e
REF-0001,REF-0073,3,2.191749,0.261087,0.171359,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4e44b8b875460ce3fe0b15c60f6ac818632cb5d9e475e8ea0909a46edebf1f6d
REF-0001,REF-0091,4,2.244964,0.099387,0.062938,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2de20128b5c0d98f66607a31b4862946b3e8c6e9fc9379fa0ceac47303696460
REF-0001,REF-0301,5,2.271635,0.135309,0.023048,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b783871632a56ef17cbf1cc380ffcf0221271111ccb400539b47e9709dd8b46b
REF-0002,REF-0308,1,1.53875,0.069111,0.178945,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,11280e7b75fd77571514f4508801cf773b70faec94d4f96ec3db8aeeede6188e
REF-0002,REF-0020,2,2.01308,0.193876,0.140033,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ee9e7320f30a74817fad7be41db6b9686081b850bbb044ec0ce4c82e149c3704
REF-0002,REF-0206,3,2.188945,0.287575,0.236011,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,10e1159cf2ac6404daf3f1f0deb712dff265f42fff52629a4f232fde073ab607
REF-0002,REF-0278,4,2.28353,0.249026,0.200213,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0d1f2bafb7e369e8ba7e6676d86c6ddf3b2a5651035c481b449d7cedddd312ca
REF-0002,REF-0242,5,2.351027,0.149094,0.07718,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ddf5dee66bbced4cc9758987fff381446ecbb84d91a1c987d66d787021cfac65
