reference_project_id,split,split_unit,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fc3c59077ce474c19aaa97624bb0780773cb62d00603fb14f38c359749070a68
REF-0002,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a088e699340328de15b982f018cdfff234e187f2aa59301bd45153090cb12486
REF-0003,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5569bc380ea862290ba437b4e471c3f6ed82bdf721e468ac15cb9eea6c30d840
REF-0004,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,487509302690442ff756909e4c8cd4571b5d0b1972a894fbd5e5fd0bae552ec5
REF-0005,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a64591a592e829f9885cd87b98866ed7e3a5477064c88bb33df8254d186c385a
REF-0006,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b9578501b6f2815469a045a9b35bbac2f126de6b822b3db8d114583e89847e1c
REF-0007,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fa913ef36636cefdb90bf2a3d8feedd945d41aec8c92fdbd3dd770cbec0ecc47
REF-0008,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,61d1a73d696075bc4f7633a0ee2695f8aad81ce58187e7437fd0cf7a191d37ef
REF-0009,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0e7e5cb560a536815e2f332c8fdbde1642744615ab8a68c7df7e5280d613372e
REF-0010,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,894d27385e34af08b1b732d1929bafb77ac632248fbd196f263538a321687967
REF-0011,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5a263ad90fbaac8ac7b4ee3be2e74e539636b3eaa60109fe91ac373a02e1ef05
REF-0012,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7bc2233a02394d31d3bdfa92ddc09a2c5fee92b8185e42e79c5e26bf363ec174
REF-0013,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,161497b4d6cc1aee9a456acd28363a6c2e39cd1e0b04ae2ebd8d626bdfce6b2f
REF-0014,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,aa0b39a368e746b3afa439e8d67d015679412fe6a610323fe67e0a4c45a7e56c
REF-0015,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6392069cb6edee564360f3b8fe08b5a98405b4448887424f3d4171f09bd4b361
REF-0016,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2a30eeda1a7a78a2b0a6903156315e62166c57c35f9c367d035bed5c9b256298
REF-0017,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0ea4689630637c0f194ab0d4fdb1021a9ba956e2fd0b3e5953dee021ba471c7a
REF-0018,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c48dffd8846dfb11371a68481189fa9e18c7f41bcc5f279fdb071e5706684f53
REF-0019,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,984687da8ce6faafdd49f6621fd82b94196a13d220950241e9bd4f7959e2d8ac
REF-0020,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,83b885d8c743bec3661fffe4585440c8b3a447cf5161d9c886893f45fdd9e7d8
REF-0021,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,452bc38b62e3aa57ededde243a658fe9d9da407ca2ce471a4a4032847e9174ac
REF-0022,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2d4bf0a9089192964f99ab64d0f1ffb4f4d2854902d4a4b881a80f5528ac510e
REF-0023,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b895131bdac9359088c54aa8c028da5c2adc2a7d9a40b9e4492c4ab7de584cfc
REF-0024,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,90b2f660fba2a40a361eb1708b8400c9d4c5be7160c4e6980ed9e457066bc01b
REF-0025,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,951cc1e16c58fd0112e5b1e7470a378ae04e3edba6cdd614e997b6e5b301c60d
REF-0026,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4e44a22d123d4d543d54d90de001b958c3d7580bd97d7267cacdef6579590cb0
REF-0027,VALIDATION,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,eef655971e6c001988973204429803e2669ccca89cda3ebd0881d112e36d4db7
REF-0028,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9f2439e4cbbf26bc9f4998a8e0b654909f7a93d7cbd17969b4b541eea1b888ee
REF-0029,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a753d6e8c92eabf19776e7bb0a4de999738ad80baa1f536a6f8eca1241c151d6
REF-0030,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cf1fd9ba849179cfab000d37c6a20fffa2b56cbbe5ec676755bebb5180711050
REF-0031,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d4cab201d599aeb0f9ce64fe1e15a5bacd4e41136199f2a78fcb05e23b09447a
REF-0032,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a9d905b8842895fe6e8306c465ed3e56224f4873cf1a0238fd86c88cb4d3d00f
REF-0033,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2242515ca72c1bb784bc9633313fb9ce4648214a3f7beb9222e54718d67dc451
REF-0034,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,72119af3a10dade24dba177b7bf9d6c052d7958abcec1533676c9a2c5cf2edcc
REF-0035,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cd37ef767f8e9ecdfab51be7550d6e1178966a057230ae04c8c9a634812cb029
REF-0036,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,583f2681f1e955dfe3f22f4d183ee20561d065e874ff2901c7db080fababd439
REF-0037,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,de7fd89e3b2e0319dcc0c760df866d1e773ffbe00c3d5324f17e0c3478e1229b
REF-0038,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5bd4da608703598d10311a5cd9d1088024ffe3af2b64a65976c5c0cb3123d55f
REF-0039,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2d4a5b3c65e44a36b560b08493a5e7d9b582d55c8d212de435bb4d98c90e47d5
REF-0040,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,60a16f2d0b21e78795530125c742584d41e5d9012cb0a55e2cc6365d8aaed0b6
REF-0041,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,db0053dc8656747d073909ea775b318381117273b5ebfdacfbc9adf5b87b3cc6
REF-0042,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fd1ed3ebe2d6eb90a36014a4298915b07ec77192d96348b9372492ce8526f444
REF-0043,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7a9613c3c5d49b9b73759721ab4615aa5b21549691a832c8ae727b493d1c16e0
REF-0044,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,660049ffa532a5a05dfd26b39d380107849fb7f124ea8b5ec7bed576cc8f5f98
REF-0045,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,20b1e50235d895149df6d9dabd303cd04652c10b3c02d35b12386e2ca9160291
REF-0046,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8932f86f5520505961fa903093cee2762f225ad87942642550e1d4654381d935
REF-0047,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e34176f9ab554fdd777d823b480201425cdd388bf81a0614ecd25d2cc919998b
REF-0048,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,49f039adf7ac23f5d65e9c801edcb8db692a7f63a8d928c0b6a493c909c4cb95
REF-0049,LOCKED_HOLDOUT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f73894fd028e4a85ac8e4ae590dc47f3b9038ce1ed5671b94dd7826d88c2e05c
REF-0050,DEVELOPMENT,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f29ab16036f590643ce9e03853256e091bd2518a17adb2d79494f3565a035267
