reference_project_id,project_type,delivery_method,region,gross_area_m2,length_km,capacity_units,floors,complexity_index,design_completeness,location_factor,baseline_cost_usd,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,AIRPORT_TERMINAL,DESIGN_BID_BUILD,US-NORTHEAST,64223.272,0.0,89.45,2,0.416027,0.754427,1.18,220671195.49,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,97c1a886e6970c40542923d2a2dc811f9173fd7c94f1a43efd2e73d2b347fa70
REF-0002,HIGHWAY_CORRIDOR,DESIGN_BID_BUILD,US-NORTHEAST,19949.337,18.723,46.952,6,0.48043,0.652273,1.18,195656317.53,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5a15ecfbbd92c5b7d812b3d01dda3f6706db46d82088c622fb1f9ce4124082b8
REF-0003,VERTICAL_HOSPITAL,DESIGN_BID_BUILD,US-NORTHEAST,44906.862,1.587,116.6,11,0.411374,0.951176,1.18,248710215.14,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bbfed520e92f77d25a0b7d15967e3c6e14fcb3c576829add618924f6146f0a0a
REF-0004,WATER_TREATMENT,DESIGN_BID_BUILD,US-NORTHEAST,24925.698,1.487,122.879,6,0.321805,0.668265,1.18,159804928.27,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,14e186259a755d177ac5b413f21ec22af690ecf2c7811c69ce6b8481404fad22
REF-0005,RAIL_STATION,DESIGN_BID_BUILD,US-NORTHEAST,16234.638,20.432,35.071,6,0.575846,0.91787,1.18,228158119.45,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cbae2f6fd21dc72128e503cdb0497cd8bb13eba15ba0972f8ae7f2fc17b9498c
REF-0006,DATA_CENTER,DESIGN_BID_BUILD,US-NORTHEAST,44556.752,0.0,151.955,6,0.443134,0.951609,1.18,191884929.22,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,df0ca05b9d46faba3adc64b4adbd650ff6bff268b41afe8a941a8da476f7e16e
REF-0007,AIRPORT_TERMINAL,DESIGN_BUILD,US-NORTHEAST,18352.979,0.0,86.654,6,0.671891,0.91179,1.18,195491567.74,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,217703ce98cf931633e8d34caf2c1a92367f5ea41a0b9a88f3915b33e8a0b696
REF-0008,HIGHWAY_CORRIDOR,DESIGN_BUILD,US-NORTHEAST,8187.743,13.496,52.752,4,0.302203,0.398651,1.18,125525059.63,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,92955363bb3149a015053fade385d63ad346be8f734bbe5ca776041019314a14
REF-0009,VERTICAL_HOSPITAL,DESIGN_BUILD,US-NORTHEAST,49255.337,0.278,47.974,10,0.844661,0.35,1.18,264287739.0,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cf6bff560137ac5d1a4a59ba12e472ac8ee7cf864b1f4418c8064cb5c394ffc2
REF-0010,WATER_TREATMENT,DESIGN_BUILD,US-NORTHEAST,4698.112,8.602,124.82,3,0.747359,0.988626,1.18,170619770.5,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,142c7610ac5e6b76222fc7402cbcc2bc8738c3c375b54752e76b1439b714c232
