reference_project_id,project_type,delivery_method,region,gross_area_m2,length_km,capacity_units,floors,complexity_index,design_completeness,location_factor,baseline_cost_usd,final_cost_usd,baseline_duration_days,final_duration_days,cost_overrun_pct,schedule_overrun_pct,outcome_class,known_anomaly_label,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,AIRPORT_TERMINAL,DESIGN_BID_BUILD,US-NORTHEAST,64223.272,0.0,89.45,2,0.416027,0.754427,1.18,220671195.49,269521859.71,618,744.019,0.221373,0.203914,RED,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8395b2a6b3fd1b6cfd286fccab7de8fe565e5e71ce678dab2d5a8627611f1a07
REF-0002,HIGHWAY_CORRIDOR,DESIGN_BID_BUILD,US-NORTHEAST,19949.337,18.723,46.952,6,0.48043,0.652273,1.18,195656317.53,247710186.22,536,623.235,0.266047,0.162751,RED,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c4c061ccba4bd5182eb52ecd99d109a2368333ae995c30e1705bd469c83dd762
REF-0003,VERTICAL_HOSPITAL,DESIGN_BID_BUILD,US-NORTHEAST,44906.862,1.587,116.6,11,0.411374,0.951176,1.18,248710215.14,273469374.73,631,750.956,0.09955,0.190104,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d2ddae66686e3bf734a09409c52b0381462cd4682a77cc9f974a54e43293ff98
REF-0004,WATER_TREATMENT,DESIGN_BID_BUILD,US-NORTHEAST,24925.698,1.487,122.879,6,0.321805,0.668265,1.18,159804928.27,184665577.02,473,550.347,0.155569,0.163525,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,54396ba2937c4e916cd0b074aeaee414ddb8a9d1bab5958d6548f27c22f15b75
REF-0005,RAIL_STATION,DESIGN_BID_BUILD,US-NORTHEAST,16234.638,20.432,35.071,6,0.575846,0.91787,1.18,228158119.45,254159770.27,565,645.224,0.113963,0.141989,AMBER,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,33b9d6dea8dd5c366cb83539f3637bd6e4081de7fc7310b35df588674bbc8241
REF-0006,DATA_CENTER,DESIGN_BID_BUILD,US-NORTHEAST,44556.752,0.0,151.955,6,0.443134,0.951609,1.18,191884929.22,204728503.89,591,626.576,0.066934,0.060196,GREEN,False,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b13da031cc492b881f21ccf439c2a23621850026a8d09d5d299b69267ac8fb9c
REF-0007,AIRPORT_TERMINAL,DESIGN_BUILD,US-NORTHEAST,18352.979,0.0,86.654,6,0.671891,0.91179,1.18,195491567.74,227901902.59,505,634.881,0.165789,0.25719,RED,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a09d891c85f95560e9fd48625728bcb583c7123ed063061cb2863e1b32c9cf34
REF-0008,HIGHWAY_CORRIDOR,DESIGN_BUILD,US-NORTHEAST,8187.743,13.496,52.752,4,0.302203,0.398651,1.18,125525059.63,181297261.24,522,751.501,0.444311,0.439657,RED,True,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,37a683ddb18e24771e6bc26e23de2761079233c21eebbdb45d1fba01578cceac
REF-0009,VERTICAL_HOSPITAL,DESIGN_BUILD,US-NORTHEAST,49255.337,0.278,47.974,10,0.844661,0.35,1.18,264287739.0,347436203.81,662,848.442,0.314613,0.281635,RED,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fa18992b65fb73d4320837df0c9232fd73433cb756f4fe326658dde5bf1564a5
REF-0010,WATER_TREATMENT,DESIGN_BUILD,US-NORTHEAST,4698.112,8.602,124.82,3,0.747359,0.988626,1.18,170619770.5,185164565.55,457,532.627,0.085247,0.165486,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,200dadb9c8dfaca8f9d334e02b38c9e75f1e96adf0cf3f70a6a42eebd7edb16b
REF-0011,RAIL_STATION,DESIGN_BUILD,US-NORTHEAST,17940.878,14.216,64.873,3,0.572476,0.840683,1.18,194347168.28,223788342.77,518,512.932,0.151488,-0.009784,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0bd711b32040c50a68ea0476460d63d9a2a7127c42b12e6f11ab8a9b9581872a
REF-0012,DATA_CENTER,DESIGN_BUILD,US-NORTHEAST,52134.234,0.0,117.521,2,0.349732,0.35,1.18,161225878.51,200357361.68,549,629.713,0.242712,0.147019,RED,False,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ad8c4de73f62ad04b445b3b0a71dcee3da330eb9506799fa71d0e51c2e529dfc
REF-0013,AIRPORT_TERMINAL,CMAR,US-NORTHEAST,61852.178,0.0,19.988,3,0.269658,0.499466,1.18,189208052.28,233819243.12,551,629.26,0.235779,0.142032,RED,False,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3dba870b405475b7356fda9887f86b20701e4d29a268767bf646b7539837e97e
REF-0014,HIGHWAY_CORRIDOR,CMAR,US-NORTHEAST,10078.128,23.574,81.606,1,0.568899,0.371825,1.18,192050394.03,238226786.17,510,583.13,0.240439,0.143393,RED,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,db1cd87b1d302cd96e5f3efd5874427e56ccf586f493af690448efc4dc4b2a43
REF-0015,VERTICAL_HOSPITAL,CMAR,US-NORTHEAST,28607.542,7.826,75.371,8,0.740407,0.821206,1.18,260563763.04,308901464.16,595,687.018,0.185512,0.154652,AMBER,False,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6dbeb6c4ebdd3710e80dc9e34bdbb9396770173d5589dbf90849a427b268b8cf
