reference_project_id,final_cost_usd,final_duration_days,cost_overrun_pct,schedule_overrun_pct,outcome_class,known_anomaly_label,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,269521859.71,744.019,0.221373,0.203914,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,438fb8744208fccf662d0be16a75f5f00df5d19a01f9c824d74657d433339a9e
REF-0002,247710186.22,623.235,0.266047,0.162751,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,438716cb42456c5769601100f80621b798288e8948d962057bb0144564263794
REF-0003,273469374.73,750.956,0.09955,0.190104,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8fc475d860281342429b0fd17e1a37661859754a98d11d5a73a39a0fd2876cbe
REF-0004,184665577.02,550.347,0.155569,0.163525,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f4417c8c6ab604a3e9d1083e47e2963278f648fb09510cb10de9315ccecd8547
REF-0005,254159770.27,645.224,0.113963,0.141989,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b17bbc5272cf5d098105bf63ebce425b903cf8e276b67d5fb96afa45110a29a3
REF-0006,204728503.89,626.576,0.066934,0.060196,GREEN,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7724e221ed626a8dfc06ff298fde54bd21cb4aaa42660eaa5c911bb55c7bb123
REF-0007,227901902.59,634.881,0.165789,0.25719,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bb57d979031509d70fcde01d7126e9a652b655e2b093ba060717666cdafb8e5b
REF-0008,181297261.24,751.501,0.444311,0.439657,RED,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6fa14d4f72b01578faf7a51855dc3e49fc126e816dce754b35981a5721bda4f9
REF-0009,347436203.81,848.442,0.314613,0.281635,RED,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,eb4f54d9ba21fcc468c3b520ac0ed815d95b40eac5259e1ac1fac5635c3fa4b2
REF-0010,185164565.55,532.627,0.085247,0.165486,AMBER,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B1-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a42d51aad3d3503c1b064d840c7f039622471bb3bed858f29e5c1cdd12b52621
