module_id,implementation,mutation,baseline,mutated,changed,restored_identical,source_sha256_before,source_sha256_after,result
A1.1,models.run_monte_carlo_module,"comparison operators reversed, in the helper it delegates to (3 sites, isolated copy)",status=red insufficient=False metric=P80 EAC 13452533 vs BAC 12000000 (+12.1%); 5000 iterations,status=None insufficient=True metric=No positive budget at completion is recorded to forecast against,YES,YES,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,PROVEN
A1.10,models_evm.run_regression_to_mean,"comparison operators reversed (4 sites, isolated copy)",status=None insufficient=True metric=Awaiting history (2 periods needed),status=Green insufficient=False metric=Regressed CPI: 0.909 (mean: 0.909),YES,YES,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,PROVEN
A1.11,models_evm.run_ice_ratio,"comparison operators reversed (5 sites, isolated copy)","status=Yellow insufficient=False metric=ICE ratio: 1.065 (CPI-EAC $13,201,320 vs parametric $12,400,000)","status=None insufficient=True metric=Cost performance is recorded as zero or below, which no completion for",YES,YES,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,PROVEN
A1.2,models.run_cusum_module,"every branch guard inverted, in the helper it delegates to (2 sites, isolated copy)",status=None insufficient=True metric=Awaiting history (2 periods needed),status=None insufficient=True metric=Insufficient data: upload required documents,YES,YES,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,8be8ec8b0e4f56a7935ed621e11564e5a065f5904bf9e8af557baa66ccb56b63,PROVEN
A1.3,models_evm.run_bayesian_eac,"comparison operators reversed (4 sites, isolated copy)","status=Yellow insufficient=False metric=Bayesian EAC: $12,831,120 (+6.9% BAC)","status=Green insufficient=False metric=Bayesian EAC: $12,831,120 (6.9% BAC)",YES,YES,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,PROVEN
A1.4,models_evm.run_kalman_filter,"comparison operators reversed (6 sites, isolated copy)",status=None insufficient=True metric=Awaiting history (2 periods needed),RAISED IndexError,YES,YES,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,PROVEN
A1.5,models_evm.run_arima_forecast,"comparison operators reversed (7 sites, isolated copy)",status=None insufficient=True metric=Awaiting history (3 periods needed),"status=None insufficient=True metric=The cost performance history contains a reading of zero or below, whic",YES,YES,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,PROVEN
A1.6,models_evm.run_earned_schedule,"comparison operators reversed (6 sites, isolated copy)",status=Amber insufficient=False metric=ES SPI(t): 0.889 (81 day delay implied),status=None insufficient=True metric=A reported completion percentage falls outside the range a percentage ,YES,YES,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,PROVEN
A1.7,models_evm.run_tcpi,"comparison operators reversed (9 sites, isolated copy)","status=Amber insufficient=False metric=TCPI: 1.053, the cost efficiency the remaining work must achieve to fi",status=None insufficient=True metric=No cost efficiency is measurable for the remaining work: the budget at,YES,YES,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,PROVEN
A1.8,models_evm.run_vac,"comparison operators reversed (4 sites, isolated copy)","status=Amber insufficient=False metric=VAC: $1,201,320 over budget (10%)",status=None insufficient=True metric=Awaiting a cost performance index above zero: the forecast at completi,YES,YES,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,531be53ac8ba3e06688978182942a3d9204b63a4cb13815543ef9ecec126a793,PROVEN
