canonical_id,registered_name,run27_disposition,DATA_required,METHOD_required,CAL_required,LINEAGE_required,VALIDATE_required,current_evidence_before_run29,missing_evidence_before_run29,run29_objective,run29_structure_key,remaining_run31_run33_work
A4.1,Document Risk Score,EMPIRICAL_VALIDATION_BLOCKED,yes,no,no,yes,no,"the extraction pipeline's per-document scalar document_risk_score, with no span, class, severity, confidence, coverage or classifier version",Labelled Document Corpus plus Score Construction Record,Supply the governed Document Risk Evidence structure and derive the score from it with full provenance; keep abstention when the evidence is unusable.,documentRiskEvidence,Run 33: measure extraction precision and recall against a governed labelled corpus. Run 31: Category-9 qualification.
A4.2,RFI Velocity,METHOD_PASS_CALIBRATION_PENDING,no,no,yes,yes,yes,"rfiCount, rfiPeriodDays, rfiOverdue extracted from a request register",,"Supply the governed RFI event register so revisions of a cumulative register are de-duplicated; keep the extracted-totals path, which computes the same canonical formula.",rfiEventLog,"Run 33: calibrate the per-week and overdue ladders, which remain uncited. Run 31: Category-9 qualification."
A4.3,Submittal Rejection Rate,METHOD_PASS_CALIBRATION_PENDING,no,no,yes,yes,yes,submittalsTotal/submittalsRejected or rfaTotal/rfaRejected extracted from a register,,Supply the governed submittal decision register with a governed disposition taxonomy and a period filter; keep the extracted-totals path.,submittalDecisionRegister,"Run 33: calibrate the rejection-share ladder, which remains uncited. Run 31: Category-9 qualification."
A4.4,NCR Rate,CORRECT_ABSTENTION,yes,yes,yes,yes,yes,"ncrIssued, ncrClosed, ncrOpen and an audited findings total","Document Event Denominator (period id, event type, count, exposure unit, exposure quantity)","Replace the backlog-over-audit-cohort share with nonconformances over a governed exposure; track open count, age, severity and closure separately.",ncrExposureRecord,Run 33: calibrate a rate boundary if one is wanted. Run 31: Category-9 qualification.
A4.5,Weather Day Impact,CORRECT_PROXY_ONLY,no,yes,yes,yes,yes,weatherDaysLost and a reported float figure,,"Replace the lost-days-over-float ratio with a modelled path effect after the weather allowance and the path float, from events carrying activity, path, float and causal evidence.",weatherImpactEvents,Run 33: calibrate an impact boundary. Run 31: Category-9 qualification.
A4.6,Change Order Frequency,CORRECT_PROXY_ONLY,yes,yes,yes,yes,yes,"changeOrderCount, baselineContractSum, revisedContractSum","Document Event Denominator (period start, period end, count in window, contract value exposed)","Replace the count-plus-growth composite with events over a declared exposure, and report magnitude as a separate named quantity.",changeEventRegister,Run 33: calibrate frequency and magnitude boundaries. Run 31: Category-9 qualification.
A4.7,Dispute Escalation Index,CORRECT_PROXY_ONLY,yes,yes,yes,yes,yes,"docRiskScore, rfiCount, changeOrderCount",Claim and Dispute Register,Replace the 0.3/0.3/0.4 generic KPI composite with the project's own governed escalation process and the stage each claim has reached.,claimDisputeRegister,Run 33: calibrate a stage-to-health mapping if one is wanted. Run 31: Category-9 qualification.
A4.8,Subcontractor Performance,CORRECT_PROXY_ONLY,yes,yes,yes,yes,yes,subcontractorComplianceScore,"Subcontractor Assessment Record (subcontract id, criterion, score, weight, assessor, assessment date, period covered)",Replace the opaque precomputed compliance score with a versioned weighted multi-criteria assessment carrying its evaluator and provenance.,subcontractorAssessments,Run 33: calibrate a score boundary; source the weights empirically. Run 31: Category-9 qualification.
A4.9,Procurement Lead Time Monitor,METHOD_PASS_CALIBRATION_PENDING,no,no,yes,yes,yes,"longLeadItemsTotal, longLeadAtRisk, longLeadDelayed",,"Replace the weighted count ratio with item-level slack, required on site less forecast delivery, with each item in exactly one state.",procurementItems,Run 33: calibrate a slack boundary. Run 31: Category-9 qualification.
A4.10,Specification Conflict Density,CORRECT_PROXY_ONLY,yes,yes,yes,yes,yes,docRiskScore and rfiCount,Specification Conflict Register with evidence locations,"Replace docRiskScore*sqrt(rfiCount) with verified conflicts over a declared specification exposure, each retaining two evidence locations.",specificationConflictRegister,Run 33: measure conflict-detection precision and recall; calibrate a density boundary. Run 31: Category-9 qualification.
A5.1,DSM Rework Propagation,CORRECT_ABSTENTION,yes,no,no,yes,yes,nothing: the module abstained unconditionally,DSM Dependency Matrix,"Supply the governed dependency matrix with a declared orientation, seed vector and stopping rule, and propagate R(k+1) = D R(k).",dsmDependencyModel,Run 33: calibrate a magnitude boundary if one is wanted. Run 31: Category-9 qualification.
A5.2,Sensitivity Analysis,CORRECT_PROXY_ONLY,yes,yes,yes,yes,yes,"bac, ev, ac, pv, cpi, spi, docRiskScore","Input Range Declaration (input id, low, high, basis, distribution if used)","Replace the hard-coded bac/cpi elasticity with a declared response model recomputed at each declared input's perturbation, declared LOCAL.",sensitivityModel,Run 33: calibrate a sensitivity boundary. Run 31: Category-9 qualification.
A5.3,Tornado Risk Ranking,CORRECT_PROXY_ONLY,yes,yes,yes,yes,yes,"cpi, spi, docRiskScore, actualPctComplete, plannedPctComplete",Input Range Declaration plus a named response output,"Replace the ranked present-state deviations with the swings A5.2 computed, ranked, with an explicit tie policy and derived lineage.",sensitivityModel,Run 33: calibrate a ranking presentation boundary if one is wanted. Run 31: Category-9 qualification.
A5.4,Scenario Modeling,CORRECT_ABSTENTION,yes,no,yes,yes,yes,an actions-by-scenarios payoff object,Scenario Assumption Set,Replace the action-choice decision method with named coherent multi-variable states evaluated through one governed response model; recommend nothing.,scenarioSet,Run 33: calibrate a scenario boundary. Run 31: Category-9 qualification. Owner: whether the retired decision path belongs in Category 10.
A5.5,Rework Feedback Loop,CORRECT_PROXY_ONLY,yes,yes,yes,yes,yes,"cpi, rfiCount, changeOrderCount",Rework Stock and Flow Series,Replace the weighted CPI/RFI/CO composite with a stock-and-flow rework model stepped through time with a conserved accounting identity.,systemDynamicsModel,Run 33: calibrate a backlog boundary. Run 31: Category-9 qualification.
A5.6,Queueing Theory Bottleneck,CORRECT_ABSTENTION,yes,yes,yes,yes,yes,"a queue observation log of entities, horizons and measured waits",Queue Observation Log,"Replace the occupancy observation log with an M/M/c model from declared arrival and service rates, and refuse an unstable queue.",queueModel,Run 33: calibrate a utilisation or wait boundary. Run 31: Category-9 qualification.
A5.7,Agent-Based Supply Chain,CORRECT_ABSTENTION,yes,yes,yes,yes,yes,a supplied agent state history with named but unexecuted rules,Agent / Resource Definition,"Replace the typed-in state history with agents, states, rules, interactions, an environment and time, actually stepped, seeded when stochastic.",agentSupplyChainModel,Run 33: empirical calibration of supplier behaviour. Run 31: Category-9 qualification.
