subject,expected,observed,v26_state,v27_state,v26_value,v27_value,result,why_this_subject
POPULATION,IDENTICAL,IDENTICAL,101,101,,,PASS,"Run 42 changed how provenance is recorded, not which modules exist"
MODULE_ROW_COUNTER,0,0,-,-,modules whose emitted row moved across the v26->v27 boundary,(none),PASS,all 101 registered modules executed on BOTH lines; zero must move
MERGE_FIGURES,IDENTICAL,IDENTICAL,,,"{""ac"": 440000, ""activitiesConstrained"": null, ""activitiesPlanned"": null, ""actualLaborHours"": null, ""actualPctComplete"": 40.0, ""analogousBac"": null, ""analogousFinalCost"": null, ""analogousOverrunPct"": null, ""bac"": 1000000, ""baselineContractSum"": null, ""baselineEnd"": null, ""baselineStart"": null, ""chang","{""ac"": 440000, ""activitiesConstrained"": null, ""activitiesPlanned"": null, ""actualLaborHours"": null, ""actualPctComplete"": 40.0, ""analogousBac"": null, ""analogousFinalCost"": null, ""analogousOverrunPct"": null, ""bac"": 1000000, ""baselineContractSum"": null, ""baselineEnd"": null, ""baselineStart"": null, ""chang",PASS,every signal input except the sources record must be byte-identical
MERGE_SOURCES,DIVERGED,DIVERGED,,,"{""ac"": {""docType"": ""monthly_report"", ""value"": 440000}, ""actualPctComplete"": {""docType"": ""monthly_report"", ""value"": 40.0}, ""bac"": {""docType"": ""monthly_report"", ""value"": 1000000}, ""docDate"": {""docType"": ""monthly_report"", ""value"": ""2026-06-30""}, ""ev"": {""docType"": ""monthly_report"", ""value"": 400000}, ""pl","{""ac"": {""asOf"": ""2026-06-30"", ""docType"": ""monthly_report"", ""documentId"": ""01DOCAAAAAAAAAAAAAAAAAAAAA"", ""documentVersion"": ""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"", ""value"": 440000}, ""actualPctComplete"": {""asOf"": ""2026-06-30"", ""docType"": ""monthly_report"", ""documentId"": ""01DO",PASS,the per-field source record is exactly what Run 42 repaired
MERGE_SOURCE_KEYS,"docType,value(+identity)","gained=['asOf', 'documentId', 'documentVersion'] lost=(none)",,,"docType,value","asOf,docType,documentId,documentVersion,value",PASS,nothing may be LOST from the source record; only identity may be gained
QUAL_provenance_status,IMPROVES,PARTIAL -> PASS,PARTIAL,PASS,,,PASS,the dimension was structurally pinned to PARTIAL and must now be reachable
QUAL_timeliness_status,IMPROVES,PARTIAL -> PASS,PARTIAL,PASS,,,PASS,the dimension was structurally pinned to PARTIAL and must now be reachable
QUAL_revision_resolution_status,UNCHANGED,NOT_ESTIMABLE -> NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,,,PASS,"the revision dimension is a deliberate fail-closed decision Run 42 did not overturn, so the weakest-of overall state must not improve"
QUAL_overall_qualification_state,UNCHANGED,NOT_ESTIMABLE -> NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,,,PASS,"the revision dimension is a deliberate fail-closed decision Run 42 did not overturn, so the weakest-of overall state must not improve"
QUAL_TRACED_FIELDS,0 -> all,0 -> 7 of 7,,,"{""fields_with_document_identity_and_version"": 0, ""fields_with_source_type"": 7, ""reason"": ""A document type is recorded for each sourced field. No document identity and no document version is recorded, so a field cannot be traced to the artefact that produced it.""}","{""fields_with_document_identity_and_version"": 7, ""fields_with_source_type"": 7, ""reason"": ""Every sourced field records the document type, the document identity and the document version it was read from, so each field can be traced to the artefact that produced it.""}",PASS,every field the merge sourced must now name the artefact it came from
