canonical_id,current_registered_name,category,category_name,group,scope,current_operational_status,voting_status,current_scientific_disposition,actual_computation_currently_implemented,canonical_method_required,primary_remediation_type,secondary_remediation_types,exact_missing_evidence,exact_missing_data_structure,existing_source_document_availability,existing_structured_fields_available,new_document_or_form_needed,new_structured_form_needed,new_database_or_data_contract_structure_needed,historical_series_needed,external_or_reference_dataset_needed,regulatory_authority_needed,calibration_needed,empirical_validation_needed,lineage_or_qualification_requirement,canonical_implementation_work,truthful_rename_candidate,redundancy_candidate,research_only_candidate,owner_decision_required,proposed_operational_destination,supply_mechanism,proposed_artifact,corpus_status,parsimony_class,work_package,priority,recommended_future_run,secondary_future_runs,authority_source,notes
A1.1,Monte Carlo EAC,A1,Cost & EVM Performance,A,project,ADVISORY_ONLY,non-voting,METHOD_PASS_CALIBRATION_PENDING,As registered; no proxy qualifier and no truthful-method relabel is carried.,"Monte Carlo simulation of cost at completion over declared input distributions, reporting a distribution and stated percentiles of it",DATA,LINEAGE CAL VALIDATE,cost-driver input distributions with a declared family and parameters (the module samples designed distributions rather than elicited or fitted ones); the elicitation or fitting record behind each distribution; the dependence structure between drivers; and a convergence criterion tied to the reported percentile,"Cost Driver Distribution Set (driver id, distribution family, parameters, source of the parameters, correlation matrix between drivers)","5 supported document type(s) currently reach this module: change_order, contract_value, monthly_report, pay_application, schedule_of_values",bac,Cost Driver Distribution Set,Cost Driver Distribution Set,"Cost Driver Distribution Set (driver id, distribution family, parameters, source of the parameters, correlation matrix between drivers)",,,no,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as CORRELATED; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"The shipped arithmetic performs what its name says; the work is the evidence supply above plus the band calibration, not a re-implementation.",,no,no,no,"advisory, non-voting, on the signal ledger with its published claim limit",NEW_STRUCTURED_FORM,Cost Driver Distribution Set,ABSENT,KEEP_AND_SUPPLY,PKG-CAL-BANDS,P2,Run 33,Run 28,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,The simulation itself is real and is performed as named. What is unsourced is the band ladder over its output and the provenance of the sampled spread.
A1.2,CUSUM Anomaly Monitor,A1,Cost & EVM Performance,A,project,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,"Published proxy qualifier: hard-coded transformations of two-sided CUSUM on real SPI history; k, H, sigma floor and Amber band uncalibrated",two-sided cumulative sum control chart with a reference value k and a decision interval H derived from the in-control process standard deviation and a stated shift to detect,DATA,METHOD LINEAGE CAL VALIDATE,"an in-control reference period declared as such; an estimate of the process standard deviation from that period rather than a floored constant; the shift size the chart is designed to detect; and the average-run-length target the pair (k, H) is chosen to meet","Control Chart Design Record (series id, in-control window, sigma estimate and its n, target shift, k, H, resulting in-control and out-of-control ARL)",0 supported document type(s) currently reach this module: none,none on the authoritative edge list,,,"Control Chart Design Record (series id, in-control window, sigma estimate and its n, target shift, k, H, resulting in-control and out-of-control ARL)",,,no,"the reference shift, the decision interval and the floor under the standard deviation of a two-sided cumulative sum [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as CORRELATED; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"The shipped arithmetic performs what its name says; the work is the evidence supply above plus the band calibration, not a re-implementation.",,no,no,no,"advisory, non-voting, on the signal ledger with its published claim limit",DERIVED_FROM_EXISTING_QUALIFIED_DATA,Control Chart Design Record,PARTIALLY_PRESENT,KEEP_AND_SUPPLY,PKG-HISTORY,P1,Run 28,Run 33,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"The cumulative sums run on real reported cost-index history, so the series exists; the design constants around it do not."
A1.3,Bayesian EAC,A1,Cost & EVM Performance,A,project,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,"Published proxy qualifier: Normal-normal updating with designed constant variances, not a governed Bayesian model","Bayesian updating of a completion-cost posterior from a stated prior and a stated likelihood, reporting a posterior with a credible interval",DATA,METHOD LINEAGE CAL VALIDATE,a prior distribution with its source (currently a designed constant variance); a likelihood whose variance is estimated from observed reporting error rather than designed; and the observation series the update runs over,"Bayesian Model Record (prior family and parameters with source, likelihood variance and the residual series it was estimated from, posterior summary and credible interval)","5 supported document type(s) currently reach this module: change_order, contract_value, monthly_report, pay_application, schedule_of_values","ac, bac, ev",,,"Bayesian Model Record (prior family and parameters with source, likelihood variance and the residual series it was estimated from, posterior summary and credible interval)",,,no,"the prior and observation variances of a normal-normal update [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as SAME_SOURCE_TRANSFORM; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"The shipped arithmetic performs what its name says; the work is the evidence supply above plus the band calibration, not a re-implementation.",,no,no,no,"advisory, non-voting, on the signal ledger with its published claim limit",DERIVED_FROM_EXISTING_QUALIFIED_DATA,Bayesian Model Record,PARTIALLY_PRESENT,KEEP_AND_SUPPLY,PKG-HISTORY,P1,Run 28,Run 33,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,Normal-normal updating with designed constant variances is a governed model once the two variances have an estimation basis; the reporting history is the basis available.
A1.4,Kalman Filter SPI Smoother,A1,Cost & EVM Performance,A,project,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,"Published proxy qualifier: Scalar Kalman recursion with fixed Q and R, short history, no calibrated filtering claim","Kalman filtering of the schedule performance index with process noise Q and measurement noise R estimated from data, reporting a filtered state and its variance",DATA,METHOD LINEAGE CAL VALIDATE,an estimate of measurement noise R from repeated readings of the same period (the disagreement between documents reporting one period); an estimate of process noise Q from the period-to-period movement of the index; and a history long enough for both,"Filter Noise Estimation Record (series id, R estimate with the repeated-reading pairs it came from, Q estimate with the differenced series, filtered state and variance)",0 supported document type(s) currently reach this module: none,none on the authoritative edge list,,,"Filter Noise Estimation Record (series id, R estimate with the repeated-reading pairs it came from, Q estimate with the differenced series, filtered state and variance)",,,no,"the process and observation noise of a scalar Kalman recursion, and a band ladder [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as CORRELATED; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"The shipped arithmetic performs what its name says; the work is the evidence supply above plus the band calibration, not a re-implementation.",,no,no,no,"advisory, non-voting, on the signal ledger with its published claim limit",DERIVED_FROM_EXISTING_QUALIFIED_DATA,Filter Noise Estimation Record,PARTIALLY_PRESENT,KEEP_AND_SUPPLY,PKG-HISTORY,P1,Run 28,Run 33,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"Repeated readings of one period do occur in this corpus when two document types report the same period, which is exactly what an R estimate needs."
A1.5,ARIMA CPI Forecast,A1,Cost & EVM Performance,A,project,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,"Fixed-order one-step cost index projection: fits a single autoregressive coefficient to the first differences of the reported cost performance history by the lag-one ratio, and projects one period ahead from the last reading","an identified ARIMA model: order selection, stationarity testing, residual diagnostics and a prediction interval on the forecast",DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,a reported cost-index series long enough to identify an order (the platform currently fits one autoregressive coefficient at a fixed lag with no order search); the stationarity test result; residual autocorrelation diagnostics; and the residual variance the prediction interval is built from,"Reporting History Series (per period: period id, data date, cpi, spi, ev, ac, pv, bac, percent complete, source document version)",0 supported document type(s) currently reach this module: none,none on the authoritative edge list,,,"Reporting History Series (per period: period id, data date, cpi, spi, ev, ac, pv, bac, percent complete, source document version)",,,no,"the clamp on the autoregressive coefficient, and a band ladder [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as CORRELATED; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"Implement the canonical structure once the evidence exists: an identified model order, residual diagnostics, a stationarity test and a prediction interval, none of which the computation performs or reports. Until then the truthful method label is what the interface, export and methods documentation publish.",Fixed-order one-step cost index projection,no,no,yes: whether the truthful name replaces the registered name on the participant surface is an instrument decision.,"advisory, non-voting, on the signal ledger with its published claim limit",DERIVED_FROM_EXISTING_QUALIFIED_DATA,Reporting History Series,PARTIALLY_PRESENT,KEEP_AND_SUPPLY,PKG-HISTORY,P1,Run 28,Run 33,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"History exists but its length per project is not governed; an order search needs a stated minimum series length, which is itself a decision to record."
A1.6,Earned Schedule,A1,Cost & EVM Performance,A,project,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,"Reported against planned progress ratio: divides the reported percent complete by the planned percent complete and bands the ratio, then converts it to a day count using the baseline duration where both baseline dates are reported","earned schedule: the time at which the earned value now reported would have been planned, read off a time-phased planned value curve",DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,a time-phased planned value curve: period start and end; the planned value planned to be earned in that period; the cumulative planned value at each period end; the budget at completion the curve integrates to; the baseline id and baseline approval date the curve belongs to; the units and currency,Time-Phased Baseline Curve,"7 supported document type(s) currently reach this module: change_order, contract_value, monthly_report, pay_application, schedule_of_values, schedule_update, time_phased_schedule","actualPctComplete, bac, ev, plannedPctComplete, pv",Time-Phased Schedule / Baseline S-Curve (a document type is already declared for this and emits nothing the module reads),,Time-Phased Baseline Curve,,,no,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"Implement the canonical structure once the evidence exists: a time-phased planned value curve, which is what earned schedule is measured against: the method locates the time at which the earned value would have been planned, and no such curve exists in the corpus. Until then the truthful method label is what the interface, export and methods documentation publish.",Reported against planned progress ratio,no,no,yes: whether the truthful name replaces the registered name on the participant surface is an instrument decision.,"advisory, non-voting, on the signal ledger with its published claim limit",NEW_DOCUMENT_TYPE,Time-Phased Schedule / Baseline S-Curve (a document type is already declared for this and emits nothing the module reads),PARTIALLY_PRESENT,KEEP_AND_SUPPLY,PKG-TIMEPHASED,P1,Run 28,Run 33,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"time_phased_schedule is already a declared document type in extraction_fields.py, so the supply path is an extraction contract rather than a new document class."
A1.9,Budget Execution Rate,A1,Cost & EVM Performance,A,project,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,"Published proxy qualifier: an expenditure-versus-progress control ratio, not a standardised statistical test","a standardised statistical test of expenditure against progress, with a stated null and a reference distribution",DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,"the reference distribution the ratio would be tested against, which requires a population of expenditure-versus-progress observations across projects and periods",Portfolio Reporting History (the Reporting History Series pooled across projects),"5 supported document type(s) currently reach this module: change_order, contract_value, monthly_report, pay_application, schedule_of_values","ac, actualPctComplete, bac",,,,Portfolio Reporting History,Portfolio Reporting History,no,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"The shipped arithmetic performs what its name says; the work is the evidence supply above plus the band calibration, not a re-implementation.",Expenditure against progress control ratio,no,no,yes: whether the truthful name replaces the registered name on the participant surface is an instrument decision.,"advisory, non-voting, on the signal ledger with its published claim limit",PORTFOLIO_REFERENCE_DATASET,Portfolio Reporting History,ABSENT,KEEP_AS_TRUTHFUL_PROXY,PKG-PORTFOLIO-HISTORY,P2,Run 28,Run 33,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,As a transparent ratio it is defensible now; only the word 'test' would require the reference distribution.
A1.10,Regression to Mean CPI,A1,Cost & EVM Performance,A,project,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,Fixed shrinkage toward the project's own history: shrinks the current cost index halfway toward the mean of that same project's reported history,regression to the mean: shrinkage of a project reading toward a REFERENCE POPULATION mean with a shrinkage weight estimated from the variance components,DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,a governed reference population of projects with their cost indices; the within-project and between-project variance components estimated from it; and the resulting shrinkage weight (the platform uses a fixed one half toward the project's own history),"Portfolio Reference Cohort (project id, cohort membership criteria, per-period cost index, cohort mean and variance components, vintage)",0 supported document type(s) currently reach this module: none,none on the authoritative edge list,,,,Portfolio Reference Cohort,Portfolio Reference Cohort,no,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"Implement the canonical structure once the evidence exists: a governed reference population and an estimated shrinkage coefficient. Regression to the mean is defined against a population mean, and the shrinkage weight is estimated from the variance components; here the target is the project's own history and the weight is a fixed one half. Until then the truthful method label is what the interface, export and methods documentation publish.",Fixed shrinkage toward the project's own history,no,no,yes: whether the truthful name replaces the registered name on the participant surface is an instrument decision.,"advisory, non-voting, on the signal ledger with its published claim limit",PORTFOLIO_REFERENCE_DATASET,Portfolio Reference Cohort,ABSENT,KEEP_AND_SUPPLY,PKG-PORTFOLIO-HISTORY,P1,Run 28,Run 33,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"Shrinking toward a project's own history is a different estimator from the one the name names, and no amount of calibration converts one into the other without the population."
A1.11,ICE Ratio,A1,Cost & EVM Performance,A,project,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,"Internal completion forecast divergence index: divides the budget-over-index completion forecast by the actual-cost-plus-remaining-work completion forecast, both computed here from the same reported figures, and bands the distance of the ratio from one","an independent cost estimate: an estimate prepared separately, by a different party or a different method, against the same scope, compared with the current forecast",DATA,METHOD LINEAGE CAL VALIDATE PARSIMONY,an independently prepared estimate carrying: estimator identity and independence attestation; estimate date; the scope baseline version estimated; the estimating method used; the estimate value with its confidence basis; and the WBS level of detail,Independent Cost Estimate Record,"5 supported document type(s) currently reach this module: change_order, contract_value, monthly_report, pay_application, schedule_of_values","ac, bac, ev",Independent Cost Estimate,,Independent Cost Estimate Record,,,no,"a four band ladder over the quantity the module reports [UNSUPPORTED]. No calibration set exists in this repository: no labelled corpus of project outcomes and no expert reference standard, so no boundary can be fitted or tested.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",lineage declared as SAME_SOURCE_TRANSFORM; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"Implement the canonical structure once the evidence exists: an independent cost estimate: an estimate prepared separately, by a different party or method, against the same scope. Both forecasts compared here are this platform's own arithmetic on one set of numbers. Until then the truthful method label is what the interface, export and methods documentation publish.",Internal completion forecast divergence index,no,no,yes: whether the truthful name replaces the registered name on the participant surface is an instrument decision.,"advisory, non-voting, on the signal ledger with its published claim limit",NEW_DOCUMENT_TYPE,Independent Cost Estimate,ABSENT,KEEP_AND_SUPPLY,PKG-CONTRACT,P1,Run 28,Run 33,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"Both forecasts compared today are this platform's own arithmetic on one set of numbers, so the comparison cannot be independent by construction, not by calibration."
A2.1,PERT Network Criticality,A2,Schedule Performance,A,project,ADVISORY_ONLY,non-voting,CORRECT_ABSTENTION,As registered; no proxy qualifier and no truthful-method relabel is carried.,"PERT: a network with three-point activity duration estimates, from which path criticality is computed",DATA,LINEAGE VALIDATE,"activity id; activity name; deterministic duration; predecessor and successor relationships with relationship type and lag; calendar id and working-day definition; data date / status date; baseline start and finish per activity; actual start and finish per activity; remaining duration; total float and free float per activity; constraint type and date where one is imposed; WBS parent; plus, for a sampling run: a duration distribution family and its parameters per activity (or three-point optimistic / most likely / pessimistic), the correlation or dependence structure between activity durations, and the risk-event-to-activity mapping with probability and impact",Schedule Network Data,"5 supported document type(s) currently reach this module: change_order, contract_value, monthly_report, pay_application, schedule_of_values",bac,"Schedule Network Export (activity table plus relationship table, from the scheduling tool)",,Schedule Network Data,,,no,"no tunable value: the module carries no threshold, weight or boundary of its own. Calibration status: NOT_APPLICABLE.","NOT_EMPIRICALLY_VALIDATED. No labelled holdout corpus and no expert reference standard exist for this platform, so how often this module's banding is right is unknown.",no lineage declaration is carried; the platform-wide Category-9 qualification gate is unimplemented and production discloses it: signal_package.py records SIGNAL_QUALIFICATION = 'unqualified' and CATEGORY_9_DEVIATION.,"The shipped arithmetic performs what its name says; the work is the evidence supply above plus the band calibration, not a re-implementation.",,no,no,no,"advisory, non-voting, on the signal ledger with its published claim limit",NEW_DOCUMENT_TYPE,"Schedule Network Export (activity table plus relationship table, from the scheduling tool)",ABSENT,KEEP_AND_SUPPLY,PKG-SCHEDNET,P1,Run 28,Run 33,p0-baseline/module_renumbering_map.csv; code_audit/run20_cycle12_100_reaudit.csv; server/app/simulation/method_labels.py; server/app/simulation/parameters.py; server/app/simulation/registry.py; code_audit/signal_flow_authoritative_edges.csv; research/methodology/PCEIF_100_MODULE_SUPERVISORY_METHOD_SPECIFICATION_v1.md,"The module currently abstains, which is the correct behaviour in the absence of the network; abstention is not the defect, the missing structure is."
