module,required_structure,defining_evidence,present_in_controlled_corpus,source,extracted,assembled,qualification_assessable,qualification_state,lineage_state,production_consumer,computes,abstains,reason,status
A6.1,qualityRequirementRegister,quality requirement register,YES,Quality Audit Report,YES,YES,YES,QUALIFIED_WITH_LIMITATIONS,LINEAGE_UNRESOLVED,models_cat89.run_A6_1,YES,NO,"the project's Quality Audit evidence is recorded below, but it establishes no applicable, assessed and satisfied requirement population, so no complia",PASS
A6.2,safetyPerformanceRecord,recordable cases and employee hours worked,YES,Safety Report,YES,YES,YES,QUALIFIED_WITH_LIMITATIONS,LINEAGE_UNRESOLVED,models_cat89.run_A6_2,YES,NO,"recordable incidence rate 3.0 per 200,000 employee hours",PASS
A6.3,environmentalRequirementRegister,"jurisdiction, permitting authority, register",YES,Environmental Report,YES,YES,YES,QUALIFIED_WITH_LIMITATIONS,LINEAGE_UNRESOLVED,models_cat89.run_A6_3,YES,NO,"the jurisdiction and permitting authority for this site are not established, so environmental conformance is not assessed",PASS
A6.4,contractorAssessmentRecord,official/internal assessment with factor ratings,NO,Past Performance Report,NO,NO,YES,QUALIFIED_WITH_LIMITATIONS,LINEAGE_UNRESOLVED,models_cat89.run_A6_4,NO,YES,"Awaiting a governed contractor assessment record. This measure is named for a method that cannot be carried out without it, so no reading is reported ",PASS
B3.1,abmGovernanceModel,"agents, authority matrix, action class",NO,none,NO,NO,YES,QUALIFIED_WITH_LIMITATIONS,LINEAGE_UNRESOLVED,models_cat89.run_B3_1,NO,YES,"Awaiting a governed agent, authority-matrix and interaction structure. This measure is named for a method that cannot be carried out without it, so no",PASS
B3.2,evmsApplicabilityEvidence,acquisition/agency/clause evidence,NO,none,NO,NO,YES,QUALIFIED_WITH_LIMITATIONS,LINEAGE_UNRESOLVED,models_cat89.run_B3_2,NO,YES,"Awaiting governed acquisition, agency and clause applicability evidence. This measure is named for a method that cannot be carried out without it, so ",PASS
B3.3,a11RuleRegister,configured A-11 rule register,NO,none,NO,NO,YES,QUALIFIED_WITH_LIMITATIONS,LINEAGE_UNRESOLVED,models_cat89.run_B3_3,NO,YES,"Awaiting a configured A-11 rule register. This measure is named for a method that cannot be carried out without it, so no reading is reported and no o",PASS
B3.4,evmsReportingRecord,"clause, cadence, due/received dates, artifacts",NO,none,NO,NO,YES,QUALIFIED_WITH_LIMITATIONS,LINEAGE_UNRESOLVED,models_cat89.run_B3_4,NO,YES,"Awaiting a governed EVMS reporting record. This measure is named for a method that cannot be carried out without it, so no reading is reported and no ",PASS
B3.5,contractModificationRegister,modification authority and form evidence,NO,none,NO,NO,YES,QUALIFIED_WITH_LIMITATIONS,LINEAGE_UNRESOLVED,models_cat89.run_B3_5,NO,YES,"Awaiting a governed contract modification register. This measure is named for a method that cannot be carried out without it, so no reading is reporte",PASS
C1.1,requiredInputContract,required-input contract for a module/use,NO,none,NO,NO,YES,n/a,LINEAGE_UNRESOLVED,models_cat89.run_C1_1,NO,YES,"Awaiting the required-input contract for the module or use being assessed. This measure is named for a method that cannot be carried out without it, s",PASS
C1.2,evidenceTimelinessRecord,dates plus a governed freshness rule,NO,none,NO,NO,YES,n/a,LINEAGE_UNRESOLVED,models_cat89.run_C1_2,NO,YES,"Awaiting a governed evidence date and freshness rule. This measure is named for a method that cannot be carried out without it, so no reading is repor",PASS
C1.3,sourceProvenanceRecord,provenance and verification attributes,NO,none,NO,NO,YES,n/a,LINEAGE_UNRESOLVED,models_cat89.run_C1_3,NO,YES,"Awaiting a governed source provenance record. This measure is named for a method that cannot be carried out without it, so no reading is reported and ",PASS
C1.4,auditChainRecord,versioned audit schema and present elements,NO,none,NO,NO,YES,n/a,LINEAGE_UNRESOLVED,models_cat89.run_C1_4,NO,YES,"Awaiting a governed audit chain record. This measure is named for a method that cannot be carried out without it, so no reading is reported and no oth",PASS
C1.5,informationPackageRecord,applicable required package components,NO,none,NO,NO,YES,n/a,LINEAGE_UNRESOLVED,models_cat89.run_C1_5,NO,YES,"Awaiting a governed information package definition. This measure is named for a method that cannot be carried out without it, so no reading is reporte",PASS
C1.6,crossDocumentFactSet,same governed fact across sources,NO,none,NO,NO,YES,n/a,LINEAGE_UNRESOLVED,models_cat89.run_C1_6,NO,YES,"Awaiting a governed cross-document fact set. This measure is named for a method that cannot be carried out without it, so no reading is reported and n",PASS
C1.7,reportingCadenceRecord,schedule plus report history,NO,none,NO,NO,YES,n/a,LINEAGE_UNRESOLVED,models_cat89.run_C1_7,NO,YES,"Awaiting a governed reporting cadence record and report history. This measure is named for a method that cannot be carried out without it, so no readi",PASS
