key,value,source_file,source_location,module_id,occurrence_count,duplicate,alias_or_historical,evidence,result
CUSUM,"hard-coded transformations of two-sided CUSUM on real SPI history; k, H, sigma floor and Amber band uncalibrated",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1383 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Bayesian_EAC,"Normal-normal updating with designed constant variances, not a governed Bayesian model",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1384 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Kalman_Filter,"Scalar Kalman recursion with fixed Q and R, short history, no calibrated filtering claim",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1385 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Budget_Execution_Rate,"an expenditure-versus-progress control ratio, not a standardised statistical test",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1386 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Schedule_Compression,a custom compression ratio; no network-based crashing model or calibrated bands,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1387 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
SCurve_Deviation,"a single planned versus actual snapshot, not a longitudinal S-curve analysis",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1388 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Milestone_Trend,"a simplified shift summary on real milestone history, bands uncalibrated",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1389 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Labor_Productivity,"a labour-hours ratio, not an earned-output productivity model",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1390 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Overhead_Absorption,a transparent ratio; validity depends on whether the indirect plan is total or period-to-date,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1391 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Analogous_Estimating,"an analogous-cost ratio; project selection, normalisation and adaptation ungoverned",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1392 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Inflation_Adjustment,"a material-escalation ratio with no external price index, time base or geography",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1393 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Weather_Impact,a lost-days over available-float proxy with fallback behaviour and ungoverned bands,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1394 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
CO_Frequency,contract growth plus a raw count; no time or exposure denominator,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1395 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Dispute_Escalation,an ad hoc 0.3 / 0.3 / 0.4 weighted sum; weights and dependence uncalibrated,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1396 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Subcontractor_Performance,a precomputed compliance score; provenance and construction unvalidated,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1397 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Sensitivity_Analysis,"local CPI perturbation plus deviations, not calibrated multivariate sensitivity",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1398 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Tornado_Diagram,a ranking of four present-state deviations; no outcome-response ranges estimated,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1399 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Pythagorean_Fuzzy,"hard-coded transformations of raw CPI, SPI and document risk",assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1400 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
Picture_Fuzzy,hard-coded memberships consuming raw metrics; no calibration evidenced,assets/js/knowledge.js,assets/js/knowledge.js@19a7055 line 1401 (RUN1_PROXY_QUALIFIER literal),NONE - no handbook row carries this method_class,1,NO,NO,"extracted from the pinned pre-change git object, not from the current tree",PASS
