module_id,module_name,run35_result,run36_result,run35_comparison_target,run36_comparison_target,run35_overlap_rule,run36_overlap_rule,current_lineage_authority,current_primitive_input_set,current_governed_structure,reason_for_disagreement,final_current_classification,evidence,result
A1.6,Earned Schedule,NO,YES,A2.6,A2.6,SHARED_GOVERNED_STRUCTURE (same primitive source object),SHARED_GOVERNED_STRUCTURE (same primitive source object),LINEAGE_UNRESOLVED,timePhasedBaseline,timePhasedBaseline,"R2. Run 35 counted a SHARED GOVERNED STRUCTURE as non-distinctness. Sharing the object a method is defined on is not performing the same method, and the final rule set says so explicitly.",YES,final rule SAME_STRUCTURE_DISTINCT_TRANSFORMATION; peers A2.6,PASS
A2.1,PERT Network Criticality,NO,YES,A2.4,"A2.10, A2.11, A2.4, A2.5",SHARED_GOVERNED_STRUCTURE (same primitive source object),SHARED_GOVERNED_STRUCTURE (same primitive source object),LINEAGE_UNRESOLVED,scheduleNetwork,scheduleNetwork,"R2. Run 35 counted a SHARED GOVERNED STRUCTURE as non-distinctness. Sharing the object a method is defined on is not performing the same method, and the final rule set says so explicitly.",YES,"final rule SAME_STRUCTURE_DISTINCT_TRANSFORMATION; peers A2.10, A2.11, A2.4",PASS
A5.2,Sensitivity Analysis,NO,YES,A5.3,A5.3,SHARED_GOVERNED_STRUCTURE (same primitive source object),SHARED_GOVERNED_STRUCTURE (same primitive source object),LINEAGE_ESTABLISHED_INDEPENDENT,sensitivityModel,sensitivityModel,"R2. Run 35 counted a SHARED GOVERNED STRUCTURE as non-distinctness. Sharing the object a method is defined on is not performing the same method, and the final rule set says so explicitly.",YES,final rule SAME_STRUCTURE_DISTINCT_TRANSFORMATION; peers A5.3,PASS
B2.18,MARCOS Ranking,NO,YES,B2.19,"B2.19, B4.1, B4.6",SHARED_GOVERNED_STRUCTURE (same primitive source object),SHARED_GOVERNED_STRUCTURE (same primitive source object),LINEAGE_UNRESOLVED,decisionAlternatives,decisionAlternatives,"R2. Run 35 counted a SHARED GOVERNED STRUCTURE as non-distinctness. Sharing the object a method is defined on is not performing the same method, and the final rule set says so explicitly.",YES,"final rule SAME_STRUCTURE_DISTINCT_TRANSFORMATION; peers B2.19, B4.1, B4.6",PASS
B2.9,Quantum Probability,YES,NO,none,"A3.2, B1.1, B1.3, B1.4",NONE,IDENTICAL_PRIMITIVE_SOURCE_SET,LINEAGE_NOT_APPLICABLE,none measured,none,"R3. Run 36 counted an IDENTICAL MEASURED PRIMITIVE-INPUT SET as non-distinctness. Shared inputs alone do not make a target redundant, and the final rule set says so explicitly.",YES,"final rule IDENTICAL_PRIMITIVE_INPUT_SET; peers A3.2, B1.1, B1.3",PASS
B4.4,What-If Scenario Matrix,NO,YES,B4.7,B4.7,SHARED_GOVERNED_STRUCTURE (same primitive source object),SHARED_GOVERNED_STRUCTURE (same primitive source object),LINEAGE_UNRESOLVED,actionScenarioMatrix,actionScenarioMatrix,"R2. Run 35 counted a SHARED GOVERNED STRUCTURE as non-distinctness. Sharing the object a method is defined on is not performing the same method, and the final rule set says so explicitly.",YES,final rule SAME_STRUCTURE_DISTINCT_TRANSFORMATION; peers B4.7,PASS
D1.1,Isolation Forest,NO,YES,D1.2,"D1.2, D1.4, D1.5",SHARED_GOVERNED_STRUCTURE (same primitive source object),SHARED_GOVERNED_STRUCTURE (same primitive source object),LINEAGE_UNRESOLVED,portfolioCohort,portfolioCohort,"R2. Run 35 counted a SHARED GOVERNED STRUCTURE as non-distinctness. Sharing the object a method is defined on is not performing the same method, and the final rule set says so explicitly.",YES,"final rule SAME_STRUCTURE_DISTINCT_TRANSFORMATION; peers D1.2, D1.4, D1.5",PASS
ACCEPTANCE_COUNTER,RUN-35 COUNT,-,-,-,-,-,-,-,-,-,targets Run 35 marked as adding no distinct analytical function,22,-,PASS
ACCEPTANCE_COUNTER,RUN-36 INITIAL COUNT,-,-,-,-,-,-,-,-,-,targets Run 36 marked as adding no distinct analytical function,17,-,PASS
ACCEPTANCE_COUNTER,DISCREPANCIES,-,-,-,-,-,-,-,-,-,"targets classified differently by the two runs, every one explained above",7,"A1.6, A2.1, A5.2, B2.18, B2.9, B4.4, D1.1",PASS
ACCEPTANCE_COUNTER,UNRESOLVED DISCREPANCIES,-,-,-,-,-,-,-,-,-,required = 0,0,-,PASS
ACCEPTANCE_COUNTER,FINAL RECONCILED COUNT,-,-,-,-,-,-,-,-,-,"targets ESTABLISHED as adding no distinct analytical function under the final rule set, applied uniformly to all 100",0,none,PASS
ACCEPTANCE_COUNTER,TARGETS PRODUCING A READING ON THE CONTROLLED CORPUS,-,-,-,-,-,-,-,-,-,redundancy is decidable by execution only where at least one target of a pair produces a reading,5,"A1.7, A1.8, A6.1, A6.2, A6.3",PASS
ACCEPTANCE_COUNTER,TARGETS WHOSE REDUNDANCY IS UNDECIDABLE ON THIS CORPUS,-,-,-,-,-,-,-,-,-,"both members of every candidate pair are silent, so identity of function cannot be read off two silences",95,-,PASS
ACCEPTANCE_COUNTER,STRUCTURAL OVERLAP: SAME GOVERNED STRUCTURE,-,-,-,-,-,-,-,-,-,"distinct under R2, and recorded because it is what Run 35 was counting",19,-,PASS
ACCEPTANCE_COUNTER,STRUCTURAL OVERLAP: IDENTICAL PRIMITIVE INPUT SET,-,-,-,-,-,-,-,-,-,"distinct under R3, and recorded because it is what Run 36 was counting",5,-,PASS
ACCEPTANCE_COUNTER,STRUCTURAL OVERLAP: SUBSET OR SUPERSET,-,-,-,-,-,-,-,-,-,distinct under R4,1,-,PASS
REPORTED_LIMITATION,-,-,-,-,-,-,-,-,-,-,"A final ESTABLISHED count of nought is not a claim that the instrument is free of redundancy. It is a statement that on the controlled corpus, where only five of one hundred targets leave the abstention branch at all, execution can establish redundancy for none of them -- and that neither Run 35's 22 nor Run 36's 17 was measuring established redundancy. Both were measuring STRUCTURAL OVERLAP, which is recorded above in its own counters and is not zero. The rule set's ability to fire is proved by fault 9 and fault 10 of the closure campaign, which make it declare redundancy from shared lineage alone and from unknown lineage and require it to go red.",-,-,REPORTED_LIMITATION
