manifest,manifest_role,path,expected_sha256,path_convention,present_in_repository_history,resolved_in_working_tree,claimed_as_package_content,external_reference_only,classification_authority,classification,resolution_state,status
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,README.md,91c1a44607a0e27c6dbfe78d4a5c7cbb30cafb9cc52d9e7806d229f310a9d4c1,record-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,VALIDATION_SUMMARY.md,bb263dda6449e4fbca2ea2a10d34e43ee31106d09dba4d74779d32e0ecc039ee,record-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,data_dictionary.csv,6247e783edb483c15d29c6937f282bf187d17f75bb351b8641c09fd29dd25f18,record-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,generators/generate_opus_synthetic_programme.py,758e213347b5bad32b4e1c73c89b227c22b66d48fd2d4ae410a69c693248757f,record-relative,NO,NO,YES (claimed by the manifest),"NO -- claimed, so not external-only",REPORT_2026-08-11 s3: 'Reproducibility from seed 20260811 cannot be tested at all.',GOVERNED_PACKAGE_CONTENT_UNRECOVERABLE,CLAIMED_BUT_NEVER_DELIVERED,INCOMPLETE_PACKAGE
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,module_asset_map.csv,8b714e770cd0f7a5c3a6e267adcc36761529e37ed86fe5ead3916c270dfa1946,record-relative,YES,NO,YES (claimed by the manifest),"NO -- claimed, so not external-only",REPORT_2026-08-11 s3: 'The programme-level module map is absent; three per-package maps survive and do not cover the same ground.',GOVERNED_PACKAGE_CONTENT_UNRECOVERABLE,CLAIMED_BUT_NEVER_DELIVERED,INCOMPLETE_PACKAGE
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/README.md,f8b2380671767860e6f000a08089cbf26503727a7d1fe6d702f3cf092c476f57,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/abm_ground_truth.csv,e41b9d828509296a02edeadee39cba2d8ae7b755b002619d2eee7c339328ad09,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/activity_weather_impacts.csv,cf428715738c67557e9f36562ab96ae72a279e9eed543a70d6e10d714aa13b69,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/agent_state_history.csv,5b700514145c8e6f40b250a8704f5b056b03e7e57810498dcfcf17a7cf45c9cf,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/agents.csv,3e1e7f9feaf9fcedf2c7c48b110765243fbd71b05681f59df0d780d67853a78d,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/ccpm_buffers.csv,00111c21d1c78a7c1b655c97c0711e33fd1b04dbf358e8e568b376a4b0bac9d6,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/ccpm_ground_truth.csv,38079d5d062184211ca7b271e6d5821105ddf6e17feefdd12800481db4abd9be,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/claims.csv,ced826d76fcf1e5b2493b4a060a4b131666c2b06ba5e91d755639923ff4ecfbc,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/cost_correlations.csv,3993264d50e97a688baef0fc6da05215fe680524aaebdd2ad8af9ddd3fea9f69,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/cost_elements.csv,8369bb07e26c3eb79a5bdf2743c9b9d1e4d4ffdf9abc559ca332bf3e53f63fb7,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/cost_risk_events.csv,105a47ee8dffc05e38d2b204d5eda063988258b33bd717342ec1f0e9cd825316,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/cost_risk_ground_truth.csv,a732037abc1703cc4ad8bbd37581540cd10a6204fd3490150befd1a9decd28e2,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/des_entities.csv,776cd657ee892a65bbe2bdc0d6b5e7e2d10555c6a70534e8551f8d1e114e63cd,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/des_events.csv,a73c44a871e1cfc6039726b2c99bf1f9af6ef21e4d0bdff37bb039ceddda1bf6,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/des_ground_truth.csv,470f0dc156736a0be29b371c33f27eae48374edc37349f247545202d3bb7cd90,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/dispute_events.csv,ac65e0579dc50383e8ff3021af668e74b2343605c06f6de28d55a7579e695723,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/dispute_ground_truth.csv,12a168761eb3c07d3271869a50c4d24f261568342bad2f7a8dab65e943fc73d0,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/dsm_edges.csv,9bc32bb7f18b0ea521cf0867cc87be76553ca384e88fcec4f8e2ba15b5a6e5be,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/dsm_ground_truth.csv,6d84ff26b00238acf592302832a4e4c82d6cc3d6d2c7a0f8101b48868389fd2e,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/dsm_nodes.csv,8d0bb861c647c444bd13531e167059a42ab11f6790b7ae990d85dc9542ffc995,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
research_fixtures/synthetic/OG-SYNTH-0.1/package_A/CHECKSUMS.sha256,CANONICAL,package_A_project_structures/lob_ground_truth.csv,f930db0af8e8bd1b418157e1c753bad07170cad3a4445772983020da8b1a6a99,release-root-relative,YES,YES,YES,NO,code_audit/synthetic_package_file_inventory.csv: staged in the delivered archive; file resolves under research_fixtures/synthetic/OG-SYNTH-0.1/package_A/package_A_project_structures and matches its recorded checksum,LOCALLY_PRESERVED_PACKAGE_CONTENT,RESOLVED_MATCH,PASS
