stage,component,source,what_carries_the_period,what_carries_the_project,verified_by,finding
1 upload request,POST /exec a_projectupload,server/app/documents.py,"payload['period'] (the number the person selected) and payload['period_end']",payload['id'] -> Project,run42 suite section 1 + fault F6,INTACT -- the selected period is honoured; F6 proves the check bites when it is not
2 period resolution,_resolve_period,server/app/documents.py,"research assignment when one exists, else the supplied number, else the chosen ending date",project row,run42 suite section 1,"INTACT -- upload order, filename and document date do not participate"
3 upload row,DocumentUpload,server/app/research_models.py,DocumentUpload.period + period_end,DocumentUpload.project_id,run42 suite section 1 (stored ending dates read back),INTACT
4 extraction,extract_many / StubExtractor,server/app/extraction_client.py,"none needed -- extraction is per document and period-free, so completion order cannot bind a period",none,run42 suite section 2,INTACT -- extraction completion order cannot reach the period because the period is bound before extraction runs
5 stored facts,Document.extraction + Observation,server/app/documents.py,"(project, period, document, field, entity) key",same,probe_isolation,INTACT
6 period document set,_period_documents / _superseded_document_ids,server/app/documents.py,"scoped to (project, period); superseded revisions excluded",same,run42 suite section 3,INTACT -- zero cross-period or cross-project leakage observed
7 observation emission,emit_observations,server/app/extraction_merge.py,as_of,"document_id, sha256, revision_of carried on EVERY observation",run42 suite section 5,INTACT -- the identity was present here all along
8 per-field selection,select_signal_inputs / _source_entry,server/app/extraction_merge.py,as_of -> sources[field]['asOf'],document_id/sha256 -> sources[field]['documentId'/'documentVersion'],run42 suite section 5 + faults F1/F4,"DEFECT D1 (FIXED) -- this hop dropped every identity field; repaired by _source_entry"
9 module input retrieval,run_all / registry,server/app/simulation/registry.py,period_cutoff,scenario_id,run42 disposition,INTACT
10 C1 qualification,build_qualification,server/app/simulation/qualification.py,reporting_period ('P3'),project_id,run42 suite sections 4 and 7 + faults F2/F3,"DEFECT D2 (FIXED) -- project_id read from an si key that does not exist; period was already intact"
11 category calculation,compute_project,server/app/simulation/compute.py,period,scenario_id,run42 suite section 2,INTACT -- and unchanged across the v26->v27 boundary
12 project status,fusion,server/app/simulation/fusion.py,derived from categories,derived,run42 suite section 2,INTACT -- byte-identical across the boundary
13 brief / decision,_result_view + recommendation_basis,server/app/documents.py,row.period,project.legacy_id,run42 suite sections 2 and 4,INTACT
14 longitudinal series,_earlier_live_results / _period_history / _period_snapshots,server/app/documents.py,ORDER BY ComputedResult.period with period < the period being computed,project_id,run42 suite section 2 + out-of-order equivalence,"INTACT -- ordering is by reporting-period identity, never by upload or computation time"
15 lineage,source_documents + sources,server/app/documents.py + extraction_merge.py,as_of per field,document_id + sha256 per field and per document,run42 suite section 5,"REPAIRED -- every sourced field now names an artefact that is one of THIS period's documents"
