priority,module_id,module_name,category,scientific_disposition,voting_status,operational_activation,reason_for_priority,required_action,finding_summary
P0B,3.7,Analogous Estimating Ratio,3,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,"a negative analogous overrun percent bands Green with a negative money exposure, and a negative budget at completion still reaches a Yellow band, because neither input is guarded at all","P0B. Close the domain on both inputs so an invalid budget or a negative overrun cannot reach a band. Then P3, either carry identified analogs with adaptation factors or rename the module.","Two findings, and the domain hole is the reason this is a defect rather than only a proxy. First, an overrun percent of minus fifty produces a Green band and an exposure of minus five hundred, a negative quantity of money at risk, and a budget at completion of minus one thousand reaches a Yellow band. Neither input is guarded at all: the band reads the percent alone, so an invalid budget still reaches a coloured result. This is exactly the out-of-domain banding pattern the programme has already corrected in eleven other modules and it remains open here. Second, a single preloaded overrun percent arrives with no analog selection, no comparability criteria, no normalisation and no adaptation factors, so its provenance cannot be established at all; specification 3.7 states this is only a proxy."
P0B,8.7,Safety Performance Index,8,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,"two mentions of safety in meeting minutes become an incident rate of 20.0 through an uncited multiplication by ten and band the project Red; the specification forbids meeting minutes as an incidence-rate substitute in those terms, and the zero case was closed while the non-zero case was not","P0B. Stop deriving an incident rate from meeting mentions in the non-zero case, as the zero case already does. Then P2, carry employee hours worked so the identity can be computed, and carry leading indicators separately.","One good property holds: meeting records that never mention safety abstain, because silence in a meeting is not a record of no incidents, and a negative rate is refused. But the zero case was closed and the NON-ZERO case was left open, and that is the defect. Two mentions of safety in meeting minutes become an incident rate of 20.0 through a multiplication by ten that has no source, and the project bands Red on it. Specification 8.7 forbids using incidents discussed in meeting minutes as an OSHA incidence-rate substitute in exactly these terms. The sentence discloses that the figure is estimated, which is honest, but a fabricated rate still reaches the band. Separately, employee hours worked is not an input at all, so the incidence-rate identity cannot be evaluated: the rate is taken on trust or invented. A reported rate of zero with no exposure behind it takes the module's own cap and bands Green, the best safety reading available. No leading preventive indicator is representable, so the distinction the specification requires cannot be made. The benchmark of 3.0 is uncited."
P0B,9.2,Data Timeliness Score,9,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,"a document dated after the period cutoff reports a negative age and bands Green, the freshest reading available, so a forward-dated or mistyped document buys the best possible evidence-quality result","P0B. Guard the lower bound so a future-dated document is invalid or referred for review rather than maximally fresh. Then P3, carry per-source-class freshness requirements.","The one genuinely good property here is that the reference date is the period cutoff rather than the wall clock, so the same documents give the same answer on any day, and the age arithmetic is exact and monotone. The defect is that there is no lower guard on the age at all. A document dated a year AFTER the period cutoff reports an age of minus 365 days, bands Green, which is the freshest reading the module has, and tells the reader the document is 'minus 365 days ago'. Specification 9.2 requires future-dated records to receive explicit invalid or review handling. A mistyped or forward-dated document therefore buys the best possible evidence-quality reading. Separately, one ladder of thirty, sixty and ninety days is applied to every document class, where the specification requires a governed source-class freshness requirement, and the boundaries have no source."
P0B,9.7,Reporting Frequency Index,9,IMPLEMENTATION_DEFECT,non-voting,ADVISORY_ONLY,"a project whose last upload was seventeen months before the period cutoff reports a ten day average interval and high frequency reporting, because the cutoff is never compared to the last event and cessation is invisible","P0B. Compare the last report to the period cutoff so cessation is visible. Then P2, carry a governed expected cadence per report class.","A single upload correctly abstains because one point establishes no interval, an absent log abstains, a malformed timestamp abstains, and the mean interval is exact and invariant to the order events arrive in. The defect is cessation. A project whose last upload was seventeen months before the period cutoff reports a ten day average interval, bands Green, and tells the reader it has 'high frequency reporting'. The period cutoff is never compared to the last event, so only the intervals BETWEEN observed reports are measured and the gap since the last one is invisible. The independent oracle detects exactly this case, which is how it was found. That is a favourable evidence-quality reading produced from evidence that stopped over a year ago. Separately, no governed expected cadence exists, so none of the seven cases specification 9.7 requires, missed, duplicate, late, approved extension, changed cadence, cessation and multiple report classes, is representable, and the fourteen, thirty and sixty day ladder has no source."
P0C,10.3,Constraint Satisfaction Analysis,10,CORRECT_PROXY_ONLY,non-voting,ADVISORY_ONLY,"one rule is presented to the reader as a FAR threshold and is implemented as a cost index above 0.80, with no provision cited","P0C on the FAR label: rename the rule for the performance threshold it is, or cite the provision. Then P3 on the module name.","The four rules are evaluated exactly, the satisfaction count is monotone as rules begin to fail, boundary values are handled inclusively as declared, and violated rules are reported by name rather than only counted, which is genuinely useful. But there is no variable, domain, assignment or search: specification 10.3 says a four-rule management checklist is a transparent feasibility rule set and should be classified by its actual claim, which is what this is. A separate and more serious point: one rule is presented to the reader as a FAR threshold and is implemented as a cost index above 0.80. The arithmetic is self-consistent but no provision of the Federal Acquisition Regulation states such a threshold and none is cited. Attaching a regulator's name to a performance threshold it did not set is a governance overclaim."
P0C,8.2,FAR Threshold Monitor,8,REGULATORY_VERSION_BLOCKED,non-voting,ADVISORY_ONLY,an uncited twenty-five per cent threshold is presented to the reader as a FAR Part 34 threshold and a reporting obligation is asserted with no applicability determination of any kind,"P0C. Remove or cite the FAR label on the twenty-five per cent threshold and stop asserting a reporting obligation. Then P2, carry the applicability evidence and report the four states.","The domain guards are sound: a negative cost index no longer produces a negative forecast, a negative overrun, the calmest band and a printed headroom the project does not have, and a non-positive budget is refused. The overrun arithmetic is exact and monotone. Everything else is a finding. The module does not determine whether earned value management applies; it assumes it, on every project. None of the deciding evidence, the acquisition designation, the agency, the agency procedure, the contract clauses, the award date or the rule version, is an input, and none of the four applicability states the specification requires is reported. The twenty-five per cent figure is presented to the reader as a FAR Part 34 threshold and FAR 34.201 states no numeric overrun threshold of any kind; none is cited anywhere. The boolean field asserting that reporting is required rests on no applicability determination. The independent oracle reaches all four applicability states from the deciding evidence, showing what the check requires."
P0C,8.3,OMB A-11 Check,8,REGULATORY_VERSION_BLOCKED,non-voting,ADVISORY_ONLY,"the circular is reduced to a cost index below 0.90 and a budget above ten million, which the specification forbids in terms, and the reader is told mandatory reporting is triggered","P0C. Stop asserting mandatory reporting. Then P2, represent configured requirements with sections, applicability, required evidence and the circular edition.","A cost index of exactly zero is refused rather than producing an infinite forecast, and the two trigger conditions are correctly conjunctive. That is the whole of what holds. The entire check is whether the cost index is below 0.90 and the budget is at least ten million dollars. Specification 8.3 states in terms that the circular must NOT be reduced to budget, cost-index and progress thresholds, and this is exactly that reduction. No configured requirement, rule identifier, section, applicability, required evidence or reviewer is represented, and no edition is recorded, so the reading cannot be tied to a version of the circular at all. The ten million figure is an uncited literal. The reader is told MANDATORY REPORTING TRIGGERED, which asserts a legal obligation the module has no basis to assert. The oracle demonstrates the four rule results including that absent evidence is Insufficient Evidence and never Satisfied."
P0C,8.4,EVM Reporting Threshold,8,REGULATORY_VERSION_BLOCKED,non-voting,ADVISORY_ONLY,"cost and schedule performance bands are published under a reporting compliance name, so a contractor filing every report on time on a struggling project reads as having breached a reporting threshold","P0C. The module measures performance and is named for reporting compliance; one or the other must change. Then P2, carry cadence, due date and received date.","The two breach flags are reported separately as well as together, the combined flag is correctly the conjunction, and zero denominators are refused. But not one element of reporting compliance is represented: no applicability, no contract clause, no required cadence or data item, no due date and no received date. The module reads the cost and schedule indices and reports whether each is below 0.90. Specification 8.4 states in terms that cost and schedule performance bands do not establish reporting compliance. The practical consequence is stark and was verified: a contractor submitting every required monthly report on time on a struggling project is reported as having breached a reporting threshold, and one submitting nothing at all on a healthy project is reported as within it. The 0.90 boundaries are uncited performance thresholds presented under a reporting-compliance name."
P0D,4.6,Change Order Frequency,4,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,the same change order count and contract sums are banded by both this module and the Category 8 modification governance module,P1. Carry an exposure window so the count becomes a frequency. Name the composite or band the two quantities separately. P0D on the duplication with the Category 8 module.,"The module reports a RAW COUNT of change orders and bands on it directly, with no exposure of any kind. Six changes on a six-month project and six on a six-year project produce the identical reading. Specification 4.6 states that frequency must have an exposure and works the arithmetic through. The contrast within this same category is sharp: the request velocity module requires its exposure window and abstains without it, so the instrument already knows how to do this. Second finding: the band is a JOINT ladder over the count and the scope growth together, and specification 4.6 states that magnitude is separate and must not be combined into one quantity without naming it as a composite. The two figures are reported separately, which is good, but the colour a reader sees is an unnamed composite. Third, the Category 8 modification governance module reads the same count and the same two contract sums by an almost identical ladder, so one body of evidence is banded twice."
P0D,5.3,Tornado Risk Ranking,5,METHOD_LABEL_MISMATCH,non-voting,ADVISORY_ONLY,"tornado ranking recomputes its own impacts from the same evidence the sensitivity module reads, by an incompatible definition, so a reader seeing the two agree is seeing one reading counted twice","P1 with the sensitivity module. Declare input ranges, evaluate the response at each low and high, and present the sensitivity module's results rather than recomputing. P0D on the lineage disclosure.","The domain guards are complete and all hold: a document risk score outside nought to one no longer drags the composite into the one-sided calm end of the band, indices at or below zero are refused, and progress outside nought to one hundred is refused. The ranking is correctly by absolute impact descending. But no output is evaluated at any input's low or high value, which is what a tornado impact IS. The four impacts are current deviations from nominal, no range is declared for any input, and no response function exists to evaluate. Separately, specification 5.3 states this should ordinarily present the sensitivity module's results and that independently created duplicate evidence must be flagged for lineage: it recomputes its own impacts from the same cost index, schedule index and document risk score by a different formula, so the two modules report one body of evidence twice under two incompatible definitions and a reader seeing them agree is seeing one reading counted twice."
