module_id,canonical_name,current_canonical_route,execution_state,qualification_state,required_structure,structure_supplied_on_corpus,computed,abstained,abstention_reason,calibration_status,empirical_validation_status,voting,project_status_influence,evidence_lineage_state,final_defensibility_statement,faults,result
A1.1,Monte Carlo EAC Forecast,app.simulation.models.run_monte_carlo_module,ABSTAINS,DISABLED_INSUFFICIENT_INPUT,costDriverDistributions,NO - the controlled corpus carries no governed structure,NO,YES,CANONICAL_DRIVER_DISTRIBUTION_MAPPING_NOT_GOVERNED,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"canonical execution requires the governed cost-driver distribution structure AND an authoritative rule for turning drawn driver figures into a forecast of the final cost; neither is established, so th",NONE,PASS
A1.10,CPI Shrinkage Forecast,app.simulation.models_evm.run_cpi_shrinkage,ABSTAINS,ADVISORY_ONLY,cpiReferenceClass,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A1.11,Independent EAC Reconciliation Index,app.simulation.models_evm.run_independent_eac_reconciliation,ABSTAINS,ADVISORY_ONLY,independentEacPair,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A1.2,CUSUM Anomaly Monitor,app.simulation.models.run_cusum_module,ABSTAINS,ADVISORY_ONLY,none,n/a,NO,YES,Awaiting history (2 periods needed),NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,the current production runner computes the canonical method from the governed evidence the platform already holds,NONE,PASS
A1.3,Bayesian EAC,app.simulation.models_evm.run_bayesian_eac,ABSTAINS,ADVISORY_ONLY,bayesianEacModel,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A1.4,Kalman Filter SPI Smoother,app.simulation.models_evm.run_kalman_filter,ABSTAINS,ADVISORY_ONLY,kalmanStateSpaceModel,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A1.5,ARIMA CPI Forecast,app.simulation.models_evm.run_arima_forecast,ABSTAINS,ADVISORY_ONLY,none,n/a,NO,YES,insufficient_history,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_ESTABLISHED,the current production runner computes the canonical method from the governed evidence the platform already holds,NONE,PASS
A1.6,Earned Schedule,app.simulation.models_evm.run_earned_schedule,ABSTAINS,ADVISORY_ONLY,timePhasedBaseline,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A1.7,TCPI,app.simulation.models_evm.run_tcpi,COMPUTES,ENABLED_QUALIFIED,none,n/a,YES,NO,n/a,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,YES,YES - votes on project status,LINEAGE_ESTABLISHED,the current production runner computes the canonical method from the governed evidence the platform already holds,NONE,PASS
A1.8,Variance at Completion,app.simulation.models_evm.run_vac,COMPUTES,ENABLED_QUALIFIED,none,n/a,YES,NO,n/a,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,YES,YES - votes on project status,LINEAGE_ESTABLISHED,the current production runner computes the canonical method from the governed evidence the platform already holds,NONE,PASS
A1.9,Budget Execution Rate,app.simulation.models_evm.run_budget_execution,ABSTAINS,ADVISORY_ONLY,expenditureBaseline,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.1,PERT Network Criticality,app.simulation.models.run_pert,ABSTAINS,ADVISORY_ONLY,scheduleNetwork,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.10,Schedule Risk Analysis P80,app.simulation.models_ext.run_schedule_risk,ABSTAINS,ADVISORY_ONLY,scheduleNetwork,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.11,Critical Path Index,app.simulation.models_ext.run_critical_path_index,ABSTAINS,ADVISORY_ONLY,scheduleNetwork,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.2,Line of Balance,app.simulation.models.run_lob,ABSTAINS,ADVISORY_ONLY,lobStructure,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.3,CCPM Buffer Health,app.simulation.models.run_ccpm,ABSTAINS,ADVISORY_ONLY,ccpmStructure,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
A2.4,Schedule Compression Index,app.simulation.models_ext.run_schedule_compression,ABSTAINS,ADVISORY_ONLY,scheduleNetwork,NO - the controlled corpus carries no governed structure,NO,YES,canonical_structure_absent,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard,NOT_EMPIRICALLY_FIELD_VALIDATED,NO,NO - excluded from fusion and rollup,LINEAGE_UNRESOLVED,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",NONE,PASS
