cluster,module_id,module_name,activation,preflight_required,material_primitives,material_aliases,baseline_reading,verdict
C1_bac_ev_ac_cpi,A1.11,ICE Ratio,ADVISORY_ONLY,,bac ev ac,cpi,"(('eac_cpi', 1100110), ('eac_parametric', 1040000), ('evidence_metric', 'ICE ratio: 1.058 (CPI-EAC $1,100,110 vs parametric $1,040,000)'), ('ice_ratio', 1.058), ('method_class', 'ICE_Ratio'), ('status_color', 'Yellow'))",
C1_bac_ev_ac_cpi,A1.3,Bayesian EAC,ADVISORY_ONLY,,bac ev ac,cpi,"(('delta_pct', 6.9), ('evidence_metric', 'Bayesian EAC: $1,069,260 (+6.9% BAC)'), ('method_class', 'Bayesian_EAC'), ('posterior_eac', 1069260), ('status_color', 'Yellow'))",
C1_bac_ev_ac_cpi,A3.6,Cost Risk Analysis P80,ADVISORY_ONLY,,bac ev ac,cpi,"(('evidence_metric', 'CRA P80 EAC: $1,164,180 (+16.4% BAC)'), ('method_class', 'Cost_Risk_Analysis'), ('p80_delta_pct', 16.4), ('p80_eac', 1164180), ('status_color', 'Amber'))",
C1_bac_ev_ac_cpi,B3.2,FAR Threshold Monitor,ADVISORY_ONLY,,ev ac,cpi,"(('distance_to_threshold', 15.0), ('evidence_metric', '10% forecast overrun against an internal review level of 25%, which no regulation states (15% headroom). Whether earned value management applies, and whether any report is due, is not determined here.'), ('exceeds_review_threshold', False), ('me",
C1_bac_ev_ac_cpi,B4.2,Linear Programming,DISABLED_UNSAFE,,,,NOT EXECUTED,NO_SIGNAL_NO_DECLARATION
C2_bac_two_indices,B3.4,EVM Reporting Threshold,ADVISORY_ONLY,,ev ac pv,cpi spi,"(('both_below_review_level', False), ('cpi_below_review_level', False), ('eac_delta_pct', 10.0), ('evidence_metric', 'Cost index at or above the internal review level of 0.90, schedule index below it, forecast at completion 10% over budget. No reporting cadence, due date or received date is held, so",
C2_bac_two_indices,B4.3,Constraint Satisfaction Analysis,ADVISORY_ONLY,,ev ac pv,cpi spi,"(('evidence_metric', '3 of 4 constraints satisfied; violated: Schedule constraint (SPI ≥ 0.90)'), ('method_class', 'Constraint_Satisfaction'), ('satisfaction_rate', 75), ('satisfied', 3), ('status_color', 'Yellow'), ('total', 4), ('violated_constraints', ('Schedule constraint (SPI ≥ 0.90)',)))",
C3_cpi_spi_doc,B2.10,Pythagorean Fuzzy Sets,ADVISORY_ONLY,,ev ac pv docRiskScore,cpi spi,"(('evidence_metric', 'PFS: μ=0.24 ν=0.5 π=0.88'), ('hesitancy', 0.88), ('membership', 0.24), ('method_class', 'Pythagorean_Fuzzy'), ('non_membership', 0.5), ('status_color', 'Amber'))",
C3_cpi_spi_doc,B2.11,Picture Fuzzy Sets,ADVISORY_ONLY,,ev ac pv docRiskScore,cpi spi,"(('evidence_metric', 'PicFS: +0.26 00 -0.47 r0.27'), ('method_class', 'Picture_Fuzzy'), ('negative', 0.47), ('neutral', 0.0), ('positive', 0.26), ('refusal', 0.27), ('status_color', 'Amber'))",
C3_cpi_spi_doc,B2.14,Maximum Entropy,ADVISORY_ONLY,,ev pv docRiskScore,spi,"(('entropy', 0.76), ('evidence_metric', 'MaxEnt: Amber (entropy 0.76)'), ('method_class', 'Maximum_Entropy'), ('probabilities', (('Amber', 61), ('Green', 5), ('Red', 17), ('Yellow', 18))), ('status_color', 'Amber'))",
C3_cpi_spi_doc,B2.15,Possibility Theory,ADVISORY_ONLY,,ev ac pv docRiskScore,cpi spi,"(('evidence_metric', 'Possibility: Amber (Π=0.99, N=0.69)'), ('method_class', 'Possibility_Theory'), ('necessity', (('Amber', 0.69), ('Green', 0.03), ('Red', 0.13))), ('possibility', (('Amber', 0.99), ('Green', 0.33), ('Red', 0.43))), ('status_color', 'Amber'))",
C3_cpi_spi_doc,B2.16,Spherical Fuzzy Sets,ADVISORY_ONLY,,ev ac pv docRiskScore,cpi spi,"(('evidence_metric', 'SFS: μ=0.38 ν=0.58 π=0.72'), ('method_class', 'Spherical_Fuzzy'), ('mu', 0.38), ('nu', 0.58), ('pi', 0.72), ('score', -0.2), ('status_color', 'Amber'))",
C3_cpi_spi_doc,B2.18,MARCOS Ranking,ADVISORY_ONLY,,ev ac pv docRiskScore,cpi spi,"(('evidence_metric', 'MARCOS score: 0.652 (utility vs ideal: 0.82)'), ('marcos_score', 0.652), ('method_class', 'MARCOS'), ('status_color', 'Green'), ('utility_ideal', 0.82))",
C3_cpi_spi_doc,B2.20,Hypersoft Sets,DISABLED_UNSAFE,,,,NOT EXECUTED,NO_SIGNAL_NO_DECLARATION
C3_cpi_spi_doc,B4.1,Multi-Objective Optimization,DISABLED_UNSAFE,,,,NOT EXECUTED,NO_SIGNAL_NO_DECLARATION
C3_cpi_spi_doc,B4.5,Decision Sensitivity Matrix,DISABLED_UNSAFE,,,,NOT EXECUTED,NO_SIGNAL_NO_DECLARATION
C3_cpi_spi_doc,B4.6,Pareto Frontier Analysis,DISABLED_UNSAFE,,,,NOT EXECUTED,NO_SIGNAL_NO_DECLARATION
C4_two_indices,B2.12,Hesitant Fuzzy Sets,ADVISORY_ONLY,,ev ac pv,cpi spi,"(('average_membership', 0.33), ('evidence_metric', 'HFS: avg membership 0.33, hesitancy 0.13'), ('hesitancy_degree', 0.13), ('memberships', (0.26, 0.39, 0.33)), ('method_class', 'Hesitant_Fuzzy'), ('status_color', 'Amber'))",
C4_two_indices,B2.13,Type-2 Fuzzy Sets,ADVISORY_ONLY,,ev ac pv,cpi spi,"(('centroid', 0.26), ('evidence_metric', 'T2FS: centroid 0.26, FOU 0.04'), ('footprint_of_uncertainty', 0.04), ('lower_membership', 0.24), ('method_class', 'Type2_Fuzzy'), ('status_color', 'Red'), ('upper_membership', 0.28))",
C4_two_indices,B2.17,Fermatean Fuzzy Sets,ADVISORY_ONLY,,ev ac pv,cpi spi,"(('evidence_metric', 'FFS: μ=0.44 ν=0.55 π=0.9'), ('method_class', 'Fermatean_Fuzzy'), ('mu', 0.44), ('nu', 0.55), ('pi', 0.9), ('status_color', 'Amber'))",
C5_material_cost,A3.4,Material Cost Variance,DISABLED_EVIDENCE_UNDER_REVIEW,,,,NOT EXECUTED,NO_SIGNAL_NO_DECLARATION
C5_material_cost,A3.9,Inflation Adjustment Index,ADVISORY_ONLY,,actualPctComplete materialCostBaseline materialCostCurrent,,"(('escalation_pct', 168), ('evidence_metric', 'Material escalation proxy: +168% above progress-adjusted baseline'), ('method_class', 'Inflation_Adjustment'), ('status_color', 'Red'))",
C6_contract_change_declared,A4.6,Change Order Frequency,ADVISORY_ONLY,,changeOrderCount baselineContractSum revisedContractSum,,"(('co_count', 6.0), ('evidence_metric', '6 change orders, scope growth: +7%'), ('method_class', 'CO_Frequency'), ('scope_growth_pct', 7.0), ('status_color', 'Yellow'))",
C6_contract_change_declared,B3.5,Contract Modification Frequency,ADVISORY_ONLY,,changeOrderCount baselineContractSum revisedContractSum,,"(('co_count', 6.0), ('evidence_metric', '6 contract modifications, 7% scope growth, elevated modification frequency'), ('method_class', 'Contract_Mod_Frequency'), ('scope_growth_pct', 7.0), ('status_color', 'Amber'))",
