module_id,module_name,browser_code_path,server_code_path,prior_divergence,live_browser_computation_removed,server_value_source,parity_test,result
A1.1,Monte Carlo EAC,assets/js/sim.js,server/app/simulation/models.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.2,CUSUM Anomaly Monitor,assets/js/sim.js,server/app/simulation/models.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.3,Bayesian EAC,assets/js/simulations.js:runBayesianEAC,server/app/simulation/models_evm.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.4,Kalman Filter SPI Smoother,assets/js/simulations.js:runKalmanFilter,server/app/simulation/models_evm.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.5,ARIMA CPI Forecast,none,server/app/simulation/models_evm.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.6,Earned Schedule,assets/js/simulations.js:runEarnedSchedule,server/app/simulation/models_evm.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.7,TCPI,assets/js/simulations.js:runTCPI,server/app/simulation/models_evm.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.8,Variance at Completion,none,server/app/simulation/models_evm.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.9,Budget Execution Rate,assets/js/simulations.js:runBudgetExecutionRate,server/app/simulation/models_evm.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.10,Regression to Mean CPI,assets/js/simulations.js:runRegressionToMean,server/app/simulation/models_evm.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A1.11,ICE Ratio,assets/js/simulations.js:runICERatio,server/app/simulation/models_evm.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.1,PERT Network Criticality,assets/js/simulations.js:runPERT,server/app/simulation/models.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.2,Line of Balance,none,server/app/simulation/models.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.3,CCPM Buffer Health,assets/js/simulations.js:runCCPM,server/app/simulation/models.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.4,Schedule Compression Index,assets/js/simulations.js:runScheduleCompression,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.5,Float Consumption Rate,assets/js/simulations.js:runFloatConsumption,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.6,S-Curve Deviation,assets/js/simulations.js:runSCurveDeviation,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.7,Milestone Trend Analysis,assets/js/simulations.js:runMilestoneTrend,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.8,Look-Ahead Schedule Health,none,server/app/simulation/models_ext.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.9,Resource Loading Index,assets/js/simulations.js:runResourceLoading,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.10,Schedule Risk Analysis P80,assets/js/simulations.js:runScheduleRiskAnalysis,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A2.11,Critical Path Index,assets/js/simulations.js:runCriticalPathIndex,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A3.1,Reference Class Forecasting,none,server/app/simulation/models.py,no browser implementation,n/a,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A3.2,Contingency Burn Rate,assets/js/simulations.js:runContingencyBurnRate,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A3.3,Labor Productivity Index,assets/js/simulations.js:runLaborProductivity,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A3.4,Material Cost Variance,assets/js/simulations.js:runMaterialCostVariance,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A3.5,Overhead Absorption Rate,assets/js/simulations.js:runOverheadAbsorption,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A3.6,Cost Risk Analysis P80,assets/js/simulations.js:runCostRiskAnalysis,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A3.7,Analogous Estimating Ratio,assets/js/simulations.js:runAnalogousEstimating,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A3.8,Parametric Cost Index,assets/js/simulations.js:runParametricCost,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
A3.9,Inflation Adjustment Index,assets/js/simulations.js:runInflationAdjustment,server/app/simulation/models_ext.py,yes: browser copy predates the server domain guards and re-banding,yes: no participant-route call site remains; the copy is retained on the deep-dive route as a historical test artefact behind the version guard,"stored computed_results row, read through taxonomy.js getProjectFusion / getModuleResult",server/tools/test_run11_browser_server_authority.py (no second arithmetic source on the participant route; version guard),PASS
