state,observation,value
oracle,authoritative_rows,513
oracle,authoritative_established_edges,507
oracle,authoritative_unresolved_rows,6
app,script_names,"[""admin-ops.js"", ""admin.js"", ""app.js"", ""assistant.js"", ""auditor.js"", ""auth.js"", ""charts3d.js"", ""client"", ""config.js"", ""data.js"", ""decision-ui.js"", ""decision.js"", ""detail.js"", ""disclaimers.js"", ""ds_defensibility_data.js"", ""ds_defensibility_evidence.js"", ""export.js"", ""features.js"", ""files.js"", ""globe.gl.min.js"", ""globe.js"", ""gmap.js"", ""ingest.js"", ""knowledge.js"", ""module_charts.js"", ""neural_flow.js"", ""pdf.min.js"", ""projectnet2d.js"", ""questionnaires.js"", ""recommendation_options.js"", ""signals.js"", ""store.js"", ""taxonomy.js"", ""training.js"", ""tz.js"", ""workingrobot.js"", ""workspace.js"", ""xlsx.full.min.js""]"
app,page_sections,7
registry,totalCategories,12
registry,projectCategories,11
registry,portfolioCategories,1
registry,totalModules,101
registry,projectModules,96
registry,portfolioModules,5
registry,byGroup,"{""A"": 53, ""B"": 36, ""C"": 7, ""D"": 5}"
registry,projectCatNames,"[""Cost and EVM Performance"", ""Schedule Performance"", ""Cost Risk"", ""Document-Derived Condition Signals"", ""System Dynamics and Complexity"", ""Delivery Quality Performance"", ""Signal Synthesis"", ""Evidence Combination"", ""Regulatory and Authority Thresholds"", ""Decision Optimization"", ""Data Integrity""]"
registry,projectCatIds,"[""a1"", ""a2"", ""a3"", ""a4"", ""a5"", ""a6"", ""b1"", ""b2"", ""b3"", ""b4"", ""c1""]"
palette,status_colors,"{""Amber"": ""#9a4700"", ""Complete"": ""#1060a8"", ""Green"": ""#12703a"", ""None"": ""#9aa2ae"", ""NotRelevant"": ""#5b3dd6"", ""Red"": ""#b81420"", ""Yellow"": ""#6f5200""}"
landing,count_phrases,"[""Projects Recompute every project (repair) PRJ-R26-EMPTY Run 16 empty project N/A Awaiting analysis PM Period 1 Not yet computed Manage Open \u2192 PRJ-R26-FULL Run 16 populated project N/A Red PM Period 1 Computed Manage Open \u2192 PRJ-R26-ONEDOC Run 16 one-document project N/A Amber PM Period 1 Computed Manage Open \u2192 Portfolio health Portfolio Health for each project you are PM of, read from that project's own stored result.""]"
