area,attack,reached_intended_boundary,outcome,evidence
MIME spoofing,upload text/html bytes under a .pdf name and fetch them,REACHED,REFUSED_INLINE,"status=200 content-type='application/octet-stream' disposition='attachment; filename=""quarterly.pdf""' nosniff='nosniff'"
stored XSS,same document loaded as the preview iframe would load it,REACHED,NEUTRALISED,"served as 'application/octet-stream' with 'attachment; filename=""quarterly.pdf""'; browser proof: code_audit/run41_s1_postfix_browser_proof.json records 0 attacker executions in real Chromium"
path traversal,filename '../../../../etc/passwd' through upload and serve,REACHED,NOT_APPLICABLE_CONTENT_ADDRESSED,"storage is content-addressed by sha256 in the database, so the filename never selects a path; served disposition='inline; filename="".._.._.._.._etc_passwd""' carries no traversal segment"
cross-user document access,participant B (member of a different project) fetches A's document,REACHED,REFUSED,"status=403 body='{""ok"":false,""error"":""not authorized: not a member of this project""}'"
parser partial state,truncated/corrupt PDF uploaded and served,REACHED,HANDLED_NO_PARTIAL_STATE,upload ok=True; serve status=200; bytes stored unchanged=True
AI/document injection containment,document body carrying an instruction-injection payload,REACHED,CONTAINED,extraction is confined to a per-type declared field allowlist; stored extraction contains no injected figure: 'null'
error leakage,fetch an unknown document id,REACHED,NO_INTERNALS_LEAKED,"status=404 body='{""ok"":false,""error"":""Document not found""}'"
application final-lock bypass,re-submit researchdecision after the final lock,REACHED,REFUSED,route replied ok=False error='a final decision has already been recorded for this assignment'; stored final_action unchanged=True
raw SQL final-lock mutation,direct UPDATE of final_action on a final-locked row,REACHED,REFUSED_BY_TRIGGER,"raw update succeeded=False; refusal=""IntegrityError: (sqlite3.IntegrityError) final response is locked: the substantive final judgment is immutable after final_submitted_at\n[SQL: UPDATE decisions SET final_action = 'RAW-SQL-OVERWRITE' WH""; value unchanged=True"
preliminary-lock guard (regression),direct UPDATE of pre_action after the pre lock,REACHED,REFUSED_BY_TRIGGER,the Run-41 final-lock trigger did not disturb the pre-lock guard; refusal='IntegrityError: (sqlite3.IntegrityError) pre-judgment is locked: pre_action and pre_confidence are immutable after pre_locked_at\n[SQL: UPDATE decisions SET pre_'
unauthenticated document access,fetch with an invalid session token,REACHED,REFUSED,status=403
