check,key,period,quantity,recomputed,stored,agrees
dsm_programme,PRJ-AIR,P01,total_first_order_impact,0.540515,0.540515,True
dsm_programme,PRJ-AIR,P01,total_propagated_impact_excluding_seed,0.749271,0.749271,True
dsm_programme,PRJ-AIR,P01,total_state_including_seed,1.899271,1.899271,True
dsm_programme,PRJ-AIR,P01,positive_impacted_node_count_excluding_seed,5.0,5,True
dsm_programme,PRJ-AIR,P01,positive_state_node_count_including_seed,6.0,6,True
dsm_programme,PRJ-AIR,P01,material_impacted_node_count_excluding_seed,4.0,4,True
dsm_programme,PRJ-AIR,P01,material_state_node_count_including_seed,5.0,5,True
dsm_programme,PRJ-AIR,P01,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P01,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P01,propagated_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P01,cumulative_state_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P02,total_first_order_impact,0.385369,0.385369,True
dsm_programme,PRJ-AIR,P02,total_propagated_impact_excluding_seed,0.614585,0.614585,True
dsm_programme,PRJ-AIR,P02,total_state_including_seed,1.914585,1.914585,True
dsm_programme,PRJ-AIR,P02,positive_impacted_node_count_excluding_seed,5.0,5,True
dsm_programme,PRJ-AIR,P02,positive_state_node_count_including_seed,6.0,6,True
dsm_programme,PRJ-AIR,P02,material_impacted_node_count_excluding_seed,3.0,3,True
dsm_programme,PRJ-AIR,P02,material_state_node_count_including_seed,4.0,4,True
dsm_programme,PRJ-AIR,P02,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P02,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P02,propagated_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P02,cumulative_state_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P03,total_first_order_impact,0.399797,0.399797,True
dsm_programme,PRJ-AIR,P03,total_propagated_impact_excluding_seed,0.535701,0.535701,True
dsm_programme,PRJ-AIR,P03,total_state_including_seed,1.985701,1.985701,True
dsm_programme,PRJ-AIR,P03,positive_impacted_node_count_excluding_seed,3.0,3,True
dsm_programme,PRJ-AIR,P03,positive_state_node_count_including_seed,4.0,4,True
dsm_programme,PRJ-AIR,P03,material_impacted_node_count_excluding_seed,2.0,2,True
dsm_programme,PRJ-AIR,P03,material_state_node_count_including_seed,3.0,3,True
dsm_programme,PRJ-AIR,P03,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P03,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P03,propagated_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P03,cumulative_state_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P04,total_first_order_impact,0.378269,0.378269,True
dsm_programme,PRJ-AIR,P04,total_propagated_impact_excluding_seed,0.603261,0.603261,True
dsm_programme,PRJ-AIR,P04,total_state_including_seed,2.203261,2.203261,True
dsm_programme,PRJ-AIR,P04,positive_impacted_node_count_excluding_seed,4.0,4,True
dsm_programme,PRJ-AIR,P04,positive_state_node_count_including_seed,5.0,5,True
dsm_programme,PRJ-AIR,P04,material_impacted_node_count_excluding_seed,3.0,3,True
dsm_programme,PRJ-AIR,P04,material_state_node_count_including_seed,4.0,4,True
dsm_programme,PRJ-AIR,P04,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P04,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P04,propagated_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P04,cumulative_state_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P05,total_first_order_impact,0.822523,0.822523,True
dsm_programme,PRJ-AIR,P05,total_propagated_impact_excluding_seed,1.140195,1.140195,True
dsm_programme,PRJ-AIR,P05,total_state_including_seed,2.890195,2.890195,True
dsm_programme,PRJ-AIR,P05,positive_impacted_node_count_excluding_seed,5.0,5,True
dsm_programme,PRJ-AIR,P05,positive_state_node_count_including_seed,6.0,6,True
dsm_programme,PRJ-AIR,P05,material_impacted_node_count_excluding_seed,4.0,4,True
dsm_programme,PRJ-AIR,P05,material_state_node_count_including_seed,5.0,5,True
dsm_programme,PRJ-AIR,P05,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P05,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P05,propagated_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P05,cumulative_state_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P06,total_first_order_impact,0.563232,0.563232,True
dsm_programme,PRJ-AIR,P06,total_propagated_impact_excluding_seed,0.89824,0.89824,True
dsm_programme,PRJ-AIR,P06,total_state_including_seed,2.79824,2.79824,True
dsm_programme,PRJ-AIR,P06,positive_impacted_node_count_excluding_seed,5.0,5,True
dsm_programme,PRJ-AIR,P06,positive_state_node_count_including_seed,6.0,6,True
dsm_programme,PRJ-AIR,P06,material_impacted_node_count_excluding_seed,3.0,3,True
dsm_programme,PRJ-AIR,P06,material_state_node_count_including_seed,4.0,4,True
dsm_programme,PRJ-AIR,P06,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P06,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P06,propagated_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-AIR,P06,cumulative_state_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P01,total_first_order_impact,0.549661,0.549661,True
dsm_programme,PRJ-HWY,P01,total_propagated_impact_excluding_seed,0.759358,0.759358,True
dsm_programme,PRJ-HWY,P01,total_state_including_seed,1.909358,1.909358,True
dsm_programme,PRJ-HWY,P01,positive_impacted_node_count_excluding_seed,5.0,5,True
dsm_programme,PRJ-HWY,P01,positive_state_node_count_including_seed,6.0,6,True
dsm_programme,PRJ-HWY,P01,material_impacted_node_count_excluding_seed,4.0,4,True
dsm_programme,PRJ-HWY,P01,material_state_node_count_including_seed,5.0,5,True
dsm_programme,PRJ-HWY,P01,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P01,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P01,propagated_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P01,cumulative_state_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P02,total_first_order_impact,0.366774,0.366774,True
dsm_programme,PRJ-HWY,P02,total_propagated_impact_excluding_seed,0.613269,0.613269,True
dsm_programme,PRJ-HWY,P02,total_state_including_seed,1.913269,1.913269,True
dsm_programme,PRJ-HWY,P02,positive_impacted_node_count_excluding_seed,5.0,5,True
dsm_programme,PRJ-HWY,P02,positive_state_node_count_including_seed,6.0,6,True
dsm_programme,PRJ-HWY,P02,material_impacted_node_count_excluding_seed,3.0,3,True
dsm_programme,PRJ-HWY,P02,material_state_node_count_including_seed,4.0,4,True
dsm_programme,PRJ-HWY,P02,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P02,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P02,propagated_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P02,cumulative_state_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P03,total_first_order_impact,0.371607,0.371607,True
dsm_programme,PRJ-HWY,P03,total_propagated_impact_excluding_seed,0.516063,0.516063,True
dsm_programme,PRJ-HWY,P03,total_state_including_seed,1.966063,1.966063,True
dsm_programme,PRJ-HWY,P03,positive_impacted_node_count_excluding_seed,3.0,3,True
dsm_programme,PRJ-HWY,P03,positive_state_node_count_including_seed,4.0,4,True
dsm_programme,PRJ-HWY,P03,material_impacted_node_count_excluding_seed,2.0,2,True
dsm_programme,PRJ-HWY,P03,material_state_node_count_including_seed,3.0,3,True
dsm_programme,PRJ-HWY,P03,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P03,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P03,propagated_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P03,cumulative_state_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P04,total_first_order_impact,0.418061,0.418061,True
dsm_programme,PRJ-HWY,P04,total_propagated_impact_excluding_seed,0.699023,0.699023,True
dsm_programme,PRJ-HWY,P04,total_state_including_seed,2.299023,2.299023,True
dsm_programme,PRJ-HWY,P04,positive_impacted_node_count_excluding_seed,4.0,4,True
dsm_programme,PRJ-HWY,P04,positive_state_node_count_including_seed,5.0,5,True
dsm_programme,PRJ-HWY,P04,material_impacted_node_count_excluding_seed,3.0,3,True
dsm_programme,PRJ-HWY,P04,material_state_node_count_including_seed,4.0,4,True
dsm_programme,PRJ-HWY,P04,seed_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P04,first_order_impact_vector,recomputed vector,stored vector,True
dsm_programme,PRJ-HWY,P04,propagated_impact_vector,recomputed vector,stored vector,True
