state,observation,value
server:PRJ-R16-EMPTY,live_row,False
server:PRJ-R16-FULL,live_row,True
server:PRJ-R16-FULL,modules,41
server:PRJ-R16-FULL,abstained,54
server:PRJ-R16-FULL,categories,1
server:PRJ-R16-FULL,project_status,Amber
server:PRJ-R16-ONEDOC,live_row,True
server:PRJ-R16-ONEDOC,modules,35
server:PRJ-R16-ONEDOC,abstained,60
server:PRJ-R16-ONEDOC,categories,1
server:PRJ-R16-ONEDOC,project_status,Amber
A-empty,flow_present,True
A-empty,headers,27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE
A-empty,node_fill_counts,"{""#1e2a3c"": 24, ""#5b3dd6"": 12, ""#9aa2ae"": 99}"
A-empty,project_status_node,Project Status Not estimable
A-empty,animated_paths,0
A-empty,active_marked_paths,0
A-empty,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project has no uploaded documents and no current results, so nothing on the diagram is active and the project status is not estimable."
A-empty,rail_visible,True
A-empty,rail_buttons,10
A-empty,collapse_suspects,[]
A-empty-reload,browser_reload_captured,no: no reload primitive returns in this container
A-empty-reload,server_live_row,False
B-populated,flow_present,True
B-populated,headers,27 SUPPORTED DOCUMENT TYPES | 24 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 41 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 10 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
B-populated,node_fill_counts,"{""#12703a"": 31, ""#1e2a3c"": 18, ""#5b3dd6"": 12, ""#6f5200"": 7, ""#9a4700"": 9, ""#9aa2ae"": 47, ""#a0bcd8"": 6, ""#b81420"": 5}"
B-populated,project_status_node,Project Status Amber
B-populated,animated_paths,100
B-populated,active_marked_paths,100
B-populated,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 24 uploaded documents across 6 types, 41 modules with a current result, 46 with no current result, 0 not applicable to this project and 9 disabled, and 10 estimable categories."
B-populated,rail_visible,True
B-populated,rail_buttons,10
B-populated,collapse_suspects,[]
onedoc,flow_present,True
onedoc,headers,27 SUPPORTED DOCUMENT TYPES | 1 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 35 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 9 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
onedoc,node_fill_counts,"{""#12703a"": 32, ""#1e2a3c"": 23, ""#5b3dd6"": 12, ""#6f5200"": 5, ""#9a4700"": 6, ""#9aa2ae"": 54, ""#a0bcd8"": 1, ""#b81420"": 2}"
onedoc,project_status_node,Project Status Amber
onedoc,animated_paths,71
onedoc,active_marked_paths,71
onedoc,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 1 uploaded document across 1 type, 35 modules with a current result, 52 with no current result, 0 not applicable to this project and 9 disabled, and 9 estimable categories."
onedoc,rail_visible,True
onedoc,rail_buttons,10
onedoc,collapse_suspects,[]
D-switch-1-populated,flow_present,True
D-switch-1-populated,headers,27 SUPPORTED DOCUMENT TYPES | 24 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 41 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 10 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
D-switch-1-populated,node_fill_counts,"{""#12703a"": 31, ""#1e2a3c"": 18, ""#5b3dd6"": 12, ""#6f5200"": 7, ""#9a4700"": 7, ""#9aa2ae"": 47, ""#a0bcd8"": 6, ""#b81420"": 7}"
