state,observation,value
server:PRJ-R23-EMPTY,live_row,False
server:PRJ-R23-FULL,live_row,True
server:PRJ-R23-FULL,modules,41
server:PRJ-R23-FULL,categories,1
server:PRJ-R23-FULL,project_status,Amber
server:PRJ-R23-ONEDOC,live_row,True
server:PRJ-R23-ONEDOC,modules,35
server:PRJ-R23-ONEDOC,categories,1
server:PRJ-R23-ONEDOC,project_status,Amber
A-empty,flow_present,True
A-empty,headers,27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE
A-empty,doc_glow_nodes,0
A-empty,verdict_glow_nodes,9
A-empty,bright_nodes,13
A-empty,pulse_nodes,0
A-empty,active_class_edges,0
A-empty,animated_edges,0
A-empty,static_edges,229
A-empty,node_fills,"{""#1e2a3c"": 24, ""#5b3dd6"": 12, ""#9aa2ae"": 99}"
A-empty,project_status_node,Project Status Not estimable
A-empty,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project has no uploaded documents and no current results, so nothing on the diagram is active and the project status is not estimable."
A-empty,bright_list,"[""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#9aa2ae:0.92"", ""rect:#5b3dd6:0.75"", ""rect:#5b3dd6:0.75"", ""rect:#5b3dd6:0.75""]"
B-onedoc,flow_present,True
B-onedoc,headers,27 SUPPORTED DOCUMENT TYPES | 1 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 35 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 9 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
B-onedoc,doc_glow_nodes,1
B-onedoc,verdict_glow_nodes,54
B-onedoc,bright_nodes,58
B-onedoc,pulse_nodes,2
B-onedoc,active_class_edges,71
B-onedoc,animated_edges,71
B-onedoc,static_edges,158
B-onedoc,node_fills,"{""#12703a"": 32, ""#1e2a3c"": 23, ""#5b3dd6"": 12, ""#6f5200"": 5, ""#9a4700"": 6, ""#9aa2ae"": 54, ""#a0bcd8"": 1, ""#b81420"": 2}"
B-onedoc,project_status_node,Project Status Amber
B-onedoc,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 1 uploaded document across 1 type, 35 modules with a current result, 52 with no current result, 0 not applicable to this project and 9 disabled, and 9 estimable categories."
B-onedoc,bright_list,"[""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""polygon:#9a4700:0.85"", ""polygon:#9a4700:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""polygon:#6f5200:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#12703a:0.85"", ""polygon:#6f5200:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85"", ""polygon:#9a4700:0.85"", ""circle:#12703a:0.85""]"
C-multi,flow_present,True
C-multi,headers,27 SUPPORTED DOCUMENT TYPES | 24 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 41 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 10 ESTIMABLE NOW | COST RECOVERY STATUS | CURRENT
C-multi,doc_glow_nodes,6
C-multi,verdict_glow_nodes,61
C-multi,bright_nodes,70
C-multi,pulse_nodes,5
C-multi,active_class_edges,100
C-multi,animated_edges,100
C-multi,static_edges,129
C-multi,node_fills,"{""#12703a"": 31, ""#1e2a3c"": 18, ""#5b3dd6"": 12, ""#6f5200"": 7, ""#9a4700"": 9, ""#9aa2ae"": 47, ""#a0bcd8"": 6, ""#b81420"": 5}"
C-multi,project_status_node,Project Status Amber
C-multi,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project currently has 24 uploaded documents across 6 types, 41 modules with a current result, 46 with no current result, 0 not applicable to this project and 9 disabled, and 10 estimable categories."
C-multi,bright_list,"[""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""polygon:#9a4700:0.85"", ""polygon:#9a4700:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""polygon:#6f5200:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""rect:#b81420:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""rect:#b81420:0.85"", ""polygon:#9a4700:0.85"", ""polygon:#6f5200:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""polygon:#6f5200:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#12703a:0.85"", ""circle:#5b3dd6:0.85"", ""circle:#5b3dd6:0.85""]"
F-switch-empty,flow_present,True
F-switch-empty,headers,27 SUPPORTED DOCUMENT TYPES | 0 UPLOADED ON THIS PROJECT | 96 REGISTERED PROJECT MODULES | 0 WITH A CURRENT RESULT | 11 REGISTERED CATEGORIES | 0 ESTIMABLE NOW | PROJECT STATUS | NOT ESTIMABLE
F-switch-empty,doc_glow_nodes,0
F-switch-empty,verdict_glow_nodes,9
F-switch-empty,bright_nodes,13
F-switch-empty,pulse_nodes,0
F-switch-empty,active_class_edges,0
F-switch-empty,animated_edges,0
F-switch-empty,static_edges,229
F-switch-empty,node_fills,"{""#1e2a3c"": 24, ""#5b3dd6"": 12, ""#9aa2ae"": 99}"
F-switch-empty,project_status_node,Project Status Not estimable
F-switch-empty,summary_strip,"This diagram shows the platform’s registered architecture: 27 supported document types, 96 registered project modules and 11 registered categories. It is what the platform can do, not what this project has done. This project has no uploaded documents and no current results, so nothing on the diagram is active and the project status is not estimable."
