structure,modules_served,source_documents_that_could_supply_it,required_defining_fields,fields_actually_present_in_corpus,fields_already_extracted,production_assembler_or_writer,real_corpus_populated,case,reason_if_not,verdict
agentSupplyChainModel,A5.7,procurement_log subcontractor_report,"agents with a type, a state, an executable behaviour rule and interaction links; an environment; declared time steps",long-lead item counts and scheduled or on-time delivery counts,"longLeadItemsTotal, longLeadAtRisk, longLeadDelayed",none (governed intake only),no,DEFINING_FIELDS_ABSENT,"GENUINELY ABSENT. No agent, state, rule or interaction link is extracted. The closure contract states in terms that procurement ratios cannot manufacture agents.",PASS
changeEventRegister,A4.6,change_order,"per change: identity, issue date, type, cause, value, additive or deductive direction; plus a declared exposure and the contract baseline","change_order_count, change_order_date, baseline_contract_sum, revised_contract_sum: a COUNT, one date, and the two contract sums","changeOrderCount, baselineContractSum, revisedContractSum",none (governed intake only),no,DEFINING_FIELDS_ABSENT,"DEFINING FIELDS PARTLY ABSENT. The baseline contract value and the change count are present, but no change carries a type, a cause, a value or a direction, and NO DOCUMENT DECLARES THE EXPOSURE WINDOW the frequency would be taken over. Choosing a window no document states would be inference, which the closure contract forbids, so the module abstains rather than being wired to a denominator nobody declared.",PASS
claimDisputeRegister,A4.7,correspondence_notice,"the project's governed dispute process with its ordered stages and version; per issue: identity, current stage, stage date, notice, claim value, evidence source","notice_served_by, notice_served_on, notice_claim, notice_date_served, notice_contract_form, notice_kind and notice_references are held on the document evidence record for correspondence notices; none of them reaches signalInputs",none,none (governed intake only),no,DEFINING_FIELDS_ABSENT,"GENUINELY ABSENT AT THE DECIDING POINT. Real notice evidence exists, but no governed dispute PROCESS with ordered stages and a version is present in the corpus, and the supplied contract states the ladder must be the project's own governed process and that its own S0 to S5 example is a test fixture. Ranking a notice without a declared process would be inventing the ladder.",PASS
desProcessModel,A5.8,monthly_report,"entities with arrival and service times, resources with capacity, a queue discipline, an event ordering policy and a termination condition","actual_percent_complete and planned_percent_complete, plus the two performance indices derived from the earned value figures","actualPctComplete, plannedPctComplete",none (governed intake only),no,DEFINING_FIELDS_ABSENT,"GENUINELY ABSENT. No entity, event, clock, resource or queue is extracted. The closure contract states in terms that progress percentages cannot manufacture DES events.",PASS
documentRiskEvidence,A4.1,commissioning_report correspondence_notice field_report inspection_report oac_minutes risk_register submittal_register,"per finding: source document id, document type, evidence span, risk class, extracted candidate, severity, confidence; plus coverage, aggregation rule, classifier or rule version, provenance","a single document_risk_score scalar per document, and the document type",docRiskScore,none (governed intake only),no,DEFINING_FIELDS_ABSENT,"GENUINELY ABSENT. No evidence span, no risk class, no per-finding severity or confidence, no coverage and no classifier version is extracted or extractable from the current corpus. A scalar cannot be decomposed into the findings that produced it without inventing them.",PASS
dsmDependencyModel,A5.1,none,"nodes, directed edges with strengths, a declared matrix orientation, a seed rework vector, a stopping rule",nothing,none,none (governed intake only),no,DEFINING_FIELDS_ABSENT,GENUINELY ABSENT. Dependency topology is not recoverable from any extracted field. The supplied contract states in terms that CPI and SPI may not be substituted for it.,PASS
ncrExposureRecord,A4.4,inspection_report ncr_log,"nonconformance events or a count of them, and a governed exposure unit with its quantity","ncr_issued, ncr_closed, ncr_open from the nonconformance log; items_inspected from the inspection report, which the supplied contract names as a governed exposure in its own worked example","ncrIssued, ncrClosed, ncrOpen, itemsInspected",server/app/documents.py::run_and_store assembles ncrExposureRecord in the count form,yes,WIRED_BY_THIS_CLOSURE,"WIRED BY THIS CLOSURE. Both defining figures were extracted and neither reached a module. No per-nonconformance identity, date or severity is fabricated: the count form reports the quantities that need events as absent.",PASS
procurementItems,A4.9,procurement_log,"per item: identity, required on site date, forecast delivery date, order date, status, criticality, schedule activity, available float","long_lead_items_total, on_schedule, at_risk, delayed, report_date: COUNTS of items by state","longLeadItemsTotal, longLeadAtRisk, longLeadDelayed",none (governed intake only),no,DEFINING_FIELDS_ABSENT,GENUINELY ABSENT. The defining quantity is the slack between two DATES per item and no item-level date of either kind is extracted or present. The supplied contract states that a count ratio alone is not the canonical item-level monitor.,PASS
queueModel,A5.6,lookahead_schedule schedule_update,"per queue: an arrival rate, a service rate, a server count and a queue discipline","activities_planned, activities_constrained and lookahead_weeks from the look-ahead schedule: activity COUNTS in a window","activitiesPlanned, activitiesConstrained, lookaheadWeeks",none (governed intake only),no,DEFINING_FIELDS_ABSENT,"GENUINELY ABSENT. No arrival process, service process, server count or discipline is extracted. The closure contract states in terms that activity counts cannot manufacture a queue process.",PASS
rfiEventLog,A4.2,rfi_log,"per request: identity, created date, response date, close date, status; plus the exposure span","rfi_total, rfi_open, rfi_answered, rfi_overdue, avg_response_days, rfi_period_days, oldest_open_days: TOTALS over the log, and the exposure span","rfiCount, rfiOpen, rfiOverdue, rfiAvgResponseDays, rfiPeriodDays, rfiOldestOpenDays",none (governed intake only),no,DEFINING_FIELDS_ABSENT_CANONICAL_QUANTITY_COMPUTED,"DEFINING PER-EVENT FIELDS ABSENT: the extraction yields register totals, not rows with identities and dates, so the de-duplication the structure exists for cannot be performed. The CANONICAL QUANTITY is nonetheless computed on the real corpus today by the extracted-totals path, which Run 27 recorded as a method pass.",PASS
