check,project_id,key,quantity,recomputed,stored,agrees
mc_component,PRJ-AIR,PRJ-AIR-CE-01,analytic_expected_value_usd,94196392.416667,94196392.416667,True
mc_component,PRJ-AIR,PRJ-AIR-CE-02,analytic_expected_value_usd,38076853.093333,38076853.093333,True
mc_component,PRJ-AIR,PRJ-AIR-CE-03,analytic_expected_value_usd,30192607.553333,30192607.553333,True
mc_component,PRJ-AIR,PRJ-AIR-CE-04,analytic_expected_value_usd,27722216.963333,27722216.963333,True
mc_component,PRJ-AIR,PRJ-AIR-CE-05,analytic_expected_value_usd,34362859.18,34362859.18,True
mc_component,PRJ-AIR,PRJ-AIR-CE-06,analytic_expected_value_usd,26293862.783333,26293862.783333,True
mc_component,PRJ-AIR,PRJ-AIR-CE-07,analytic_expected_value_usd,81902242.456667,81902242.456667,True
mc_component,PRJ-AIR,PRJ-AIR-CE-08,analytic_expected_value_usd,7472220.8,7472220.8,True
mc_component,PRJ-AIR,PRJ-AIR-CE-09,analytic_expected_value_usd,22226684.966667,22226684.966667,True
mc_component,PRJ-AIR,PRJ-AIR-CE-10,analytic_expected_value_usd,29285286.02,29285286.02,True
mc_component,PRJ-HWY,PRJ-HWY-CE-01,analytic_expected_value_usd,34385785.793333,34385785.793333,True
mc_component,PRJ-HWY,PRJ-HWY-CE-02,analytic_expected_value_usd,11527322.013333,11527322.013333,True
mc_component,PRJ-HWY,PRJ-HWY-CE-03,analytic_expected_value_usd,10813152.476667,10813152.476667,True
mc_component,PRJ-HWY,PRJ-HWY-CE-04,analytic_expected_value_usd,5455123.343333,5455123.343333,True
mc_component,PRJ-HWY,PRJ-HWY-CE-05,analytic_expected_value_usd,29294491.33,29294491.33,True
mc_component,PRJ-HWY,PRJ-HWY-CE-06,analytic_expected_value_usd,16101047.73,16101047.73,True
mc_component,PRJ-HWY,PRJ-HWY-CE-07,analytic_expected_value_usd,14146242.28,14146242.28,True
mc_component,PRJ-HWY,PRJ-HWY-CE-08,analytic_expected_value_usd,46336049.723333,46336049.723333,True
mc_component,PRJ-HWY,PRJ-HWY-CE-09,analytic_expected_value_usd,17949935.773333,17949935.773333,True
mc_component,PRJ-HWY,PRJ-HWY-CE-10,analytic_expected_value_usd,27465654.52,27465654.52,True
mc_component,PRJ-HSP,PRJ-HSP-CE-01,analytic_expected_value_usd,27567037.016667,27567037.016667,True
mc_component,PRJ-HSP,PRJ-HSP-CE-02,analytic_expected_value_usd,69039019.153333,69039019.153333,True
mc_component,PRJ-HSP,PRJ-HSP-CE-03,analytic_expected_value_usd,59683232.396667,59683232.396667,True
mc_component,PRJ-HSP,PRJ-HSP-CE-04,analytic_expected_value_usd,7434854.41,7434854.41,True
mc_component,PRJ-HSP,PRJ-HSP-CE-05,analytic_expected_value_usd,45686006.526667,45686006.526667,True
mc_component,PRJ-HSP,PRJ-HSP-CE-06,analytic_expected_value_usd,134332575.64,134332575.64,True
mc_component,PRJ-HSP,PRJ-HSP-CE-07,analytic_expected_value_usd,25075661.646667,25075661.646667,True
mc_component,PRJ-HSP,PRJ-HSP-CE-08,analytic_expected_value_usd,45212632.15,45212632.15,True
mc_component,PRJ-HSP,PRJ-HSP-CE-09,analytic_expected_value_usd,49025540.666667,49025540.666667,True
mc_component,PRJ-HSP,PRJ-HSP-CE-10,analytic_expected_value_usd,5385068.12,5385068.12,True
mc_component,PRJ-WTR,PRJ-WTR-CE-01,analytic_expected_value_usd,10339721.633333,10339721.633333,True
mc_component,PRJ-WTR,PRJ-WTR-CE-02,analytic_expected_value_usd,20849312.72,20849312.72,True
mc_component,PRJ-WTR,PRJ-WTR-CE-03,analytic_expected_value_usd,6762533.823333,6762533.823333,True
mc_component,PRJ-WTR,PRJ-WTR-CE-04,analytic_expected_value_usd,9765403.016667,9765403.016667,True
mc_component,PRJ-WTR,PRJ-WTR-CE-05,analytic_expected_value_usd,1225511.47,1225511.47,True
mc_component,PRJ-WTR,PRJ-WTR-CE-06,analytic_expected_value_usd,11083921.373333,11083921.373333,True
mc_component,PRJ-WTR,PRJ-WTR-CE-07,analytic_expected_value_usd,12061600.083333,12061600.083333,True
mc_component,PRJ-WTR,PRJ-WTR-CE-08,analytic_expected_value_usd,36638342.57,36638342.57,True
mc_component,PRJ-WTR,PRJ-WTR-CE-09,analytic_expected_value_usd,34735378.326667,34735378.326667,True
mc_component,PRJ-WTR,PRJ-WTR-CE-10,analytic_expected_value_usd,34354189.94,34354189.94,True
mc_component,PRJ-RAL,PRJ-RAL-CE-01,analytic_expected_value_usd,10367491.836667,10367491.836667,True
mc_component,PRJ-RAL,PRJ-RAL-CE-02,analytic_expected_value_usd,9448640.646667,9448640.646667,True
mc_component,PRJ-RAL,PRJ-RAL-CE-03,analytic_expected_value_usd,54011744.11,54011744.11,True
mc_component,PRJ-RAL,PRJ-RAL-CE-04,analytic_expected_value_usd,72064530.553333,72064530.553333,True
mc_component,PRJ-RAL,PRJ-RAL-CE-05,analytic_expected_value_usd,28222719.316667,28222719.316667,True
mc_component,PRJ-RAL,PRJ-RAL-CE-06,analytic_expected_value_usd,6905842.31,6905842.31,True
mc_component,PRJ-RAL,PRJ-RAL-CE-07,analytic_expected_value_usd,42071526.71,42071526.71,True
mc_component,PRJ-RAL,PRJ-RAL-CE-08,analytic_expected_value_usd,23407434.69,23407434.69,True
mc_component,PRJ-RAL,PRJ-RAL-CE-09,analytic_expected_value_usd,10861365.48,10861365.48,True
mc_component,PRJ-RAL,PRJ-RAL-CE-10,analytic_expected_value_usd,38207084.69,38207084.69,True
mc_component,PRJ-DCT,PRJ-DCT-CE-01,analytic_expected_value_usd,21252365.88,21252365.88,True
mc_component,PRJ-DCT,PRJ-DCT-CE-02,analytic_expected_value_usd,47087159.073333,47087159.073333,True
mc_component,PRJ-DCT,PRJ-DCT-CE-03,analytic_expected_value_usd,3433721.873333,3433721.873333,True
mc_component,PRJ-DCT,PRJ-DCT-CE-04,analytic_expected_value_usd,51636682.44,51636682.44,True
mc_component,PRJ-DCT,PRJ-DCT-CE-05,analytic_expected_value_usd,24126337.63,24126337.63,True
mc_component,PRJ-DCT,PRJ-DCT-CE-06,analytic_expected_value_usd,41130847.43,41130847.43,True
mc_component,PRJ-DCT,PRJ-DCT-CE-07,analytic_expected_value_usd,8117680.383333,8117680.383333,True
mc_component,PRJ-DCT,PRJ-DCT-CE-08,analytic_expected_value_usd,5717346.136667,5717346.136667,True
mc_component,PRJ-DCT,PRJ-DCT-CE-09,analytic_expected_value_usd,23705028.853333,23705028.853333,True
mc_component,PRJ-DCT,PRJ-DCT-CE-10,analytic_expected_value_usd,17613088.033333,17613088.033333,True
mc_component,PRJ-AIR,PRJ-AIR-CR-01,analytic_expected_value_usd,184158.333333,184158.333333,True
mc_component,PRJ-AIR,PRJ-AIR-CR-02,analytic_expected_value_usd,476116.666667,476116.666667,True
mc_component,PRJ-AIR,PRJ-AIR-CR-03,analytic_expected_value_usd,875875.0,875875.0,True
mc_component,PRJ-AIR,PRJ-AIR-CR-04,analytic_expected_value_usd,521033.333333,521033.333333,True
mc_component,PRJ-AIR,PRJ-AIR-CR-05,analytic_expected_value_usd,920791.666667,920791.666667,True
mc_component,PRJ-AIR,PRJ-AIR-CR-06,analytic_expected_value_usd,1428350.0,1428350.0,True
mc_component,PRJ-HWY,PRJ-HWY-CR-01,analytic_expected_value_usd,93100.0,93100.0,True
mc_component,PRJ-HWY,PRJ-HWY-CR-02,analytic_expected_value_usd,245000.0,245000.0,True
mc_component,PRJ-HWY,PRJ-HWY-CR-03,analytic_expected_value_usd,455700.0,455700.0,True
mc_component,PRJ-HWY,PRJ-HWY-CR-04,analytic_expected_value_usd,254800.0,254800.0,True
mc_component,PRJ-HWY,PRJ-HWY-CR-05,analytic_expected_value_usd,465500.0,465500.0,True
