canonical_id,registry_id,current_name,current_activation,current_voting,current_scientific_disposition,v5_structure_key,data_structure_requirement,method_requirement,calibration_requirement,lineage_requirement,validation_requirement,run30_objective,remaining_run31_work,remaining_run33_work
6.1,B1.1,Conservative Dominance,ADVISORY_ONLY,non-voting,SCIENTIFIC_PASS,(none: no new structure),"governed signals with state, period, lineage body and abstention state",maximum severity over eligible non-abstaining signals,none: the rule has no parameter,duplicate lineage must not change the result,field validity of the assembled signals,protect the existing scientific pass and re-express the rule on governed signals,the qualification gate that decides which signals are eligible,empirical validity of the synthesised state
6.2,B1.2,Weighted Voting,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,signalWeightPolicy,governed signals plus a weighting policy with stated authority,class-weighted voting with a declared unique-winner/tie policy,the weights themselves; no governed policy exists,a same-lineage duplicate must gain no weight,whether the weights predict anything,"class-weighted voting, weights refused rather than invented",the qualification gate,the weights and their calibration
6.3,B1.3,Majority Rules,ADVISORY_ONLY,non-voting,CORRECT_ABSTENTION,(none: no new structure),governed signals with lineage bodies,"one vote per eligible independent signal, explicit tie and quorum","the quorum is structural, not tuned",a same-lineage duplicate must cast no second vote,whether a plurality of signals predicts anything,"one vote per independent body, tie reported as conflict",the qualification gate,empirical validity of the majority
6.4,B1.4,Worst-N-of-M,ADVISORY_ONLY,non-voting,PARAMETER_PROVENANCE_BLOCKED,(none: no new structure),governed signals with lineage bodies,frozen Worst-2 mean statistic over M >= 2 independent signals,the traffic-light boundaries over MeanWorst2; none exists,a duplicate must not occupy both worst positions,whether the statistic predicts anything,replace the diluting proportional count with the frozen Worst-2 mean,the qualification gate,the boundaries and their calibration
7.1,B2.1,Dempster-Shafer,ADVISORY_ONLY,non-voting,METHOD_PASS_CALIBRATION_PENDING,evidenceMassFunctions,bodies of evidence as mass functions over a stated frame,"Bel, Pl, conflict coefficient, Dempster combination, Shafer discount",the mass assignments and reliability discounts,same-source bodies may not be combined as independent,whether the masses are right,canonical DST over real mass functions with explicit total conflict,the qualification gate,mass provenance and calibration
7.2,B2.2,Rough Sets,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,roughDecisionTable,"a decision table: universe, condition attributes, decision attribute","indiscernibility, lower and upper approximation, boundary",none for the approximation itself; discretisation would need governance,the table's own provenance travels,whether the attributes discriminate,require a real decision table; refuse one project row,the qualification gate,attribute selection and validation
7.3,B2.3,Neutrosophic Logic,ADVISORY_ONLY,non-voting,METHOD_PASS_CALIBRATION_PENDING,neutrosophicAssessment,"three independent degrees: truth, indeterminacy, falsity","the single-valued neutrosophic triple, preserved exactly",the T/I/F mapping,the assessment's provenance travels,whether the degrees mean anything about projects,keep indeterminacy independent; never derive it as 1-T-F,the qualification gate,the mapping and its validation
7.4,B2.4,Interval Fuzzy Sets,ADVISORY_ONLY,non-voting,METHOD_PASS_CALIBRATION_PENDING,intervalFuzzyAssessment,a membership stated as a range,interval membership with the min/max intersection and union,the interval bounds,the assessment's provenance travels,whether the bounds are right,canonical interval representation; refuse invalid bounds,the qualification gate,the bounds and their calibration
7.5,B2.5,Z-numbers,ADVISORY_ONLY,non-voting,METHOD_PASS_CALIBRATION_PENDING,zNumberAssessment,a restriction and an explicit reliability,"the Z representation, both parts kept explicit",the reliability terms,the assessment's provenance travels,whether the reliability is right,representation and provenance; reduction operator left blocked,the qualification gate,"the reduction operator, the terms and calibration"
7.6,B2.6,PLTS,ADVISORY_ONLY,non-voting,METHOD_PASS_CALIBRATION_PENDING,probabilisticLinguisticAssessment,named terms each carrying a probability,complete normalised probabilistic linguistic term sets,the linguistic probabilities,the assessment's provenance travels,whether the term probabilities are right,enforce completeness and normalisation; refuse rescaling,the qualification gate,the probabilities and their calibration
7.7,B2.7,Plithogenic Sets,DISABLED_UNSAFE,non-voting,FUTURE_RESEARCH_ONLY,plithogenicLabStructure,"attributes, values, appurtenance and contradiction degrees",laboratory structure only; no operator is frozen anywhere,the degrees and the operator,research-only; no project lineage,not applicable while disabled,"canonical laboratory structure, disabled state preserved",nothing: it is not on the qualification path,operator selection is an owner decision; then calibration
7.8,B2.8,Belief Rule Base,ADVISORY_ONLY,non-voting,METHOD_PASS_CALIBRATION_PENDING,beliefRuleBase,"antecedent reference states, rule and attribute weights, belief distributions",single fully activated rule exactly; multi-rule ER aggregation blocked,the rule and attribute weights,the rule base's provenance travels,whether the rules are right,canonical rule structure and admissibility; aggregation left blocked,the qualification gate,"the ER operator, the weights and calibration"
7.9,B2.9,Quantum Probability,DISABLED_UNSAFE,non-voting,FUTURE_RESEARCH_ONLY,(none: no new structure),a Hilbert-space state and a measurement model,archived; the Born rule is kept as research history only,not applicable while archived,research-only; no project lineage,restoration would require evidence of an order or context effect,create the archive record; keep it non-operational,nothing: it is not on the qualification path,restoration prerequisites are an owner decision
7.10,B2.10,Pythagorean Fuzzy Sets,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,pythagoreanFuzzyAssessment,a membership and non-membership pair,mu^2 + nu^2 <= 1 with hesitancy sqrt(1 - mu^2 - nu^2),the memberships,the assessment's provenance travels,whether the memberships are right,canonical domain enforced separately from the other six families,the qualification gate,the memberships and their calibration
7.11,B2.11,Picture Fuzzy Sets,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,pictureFuzzyAssessment,"positive, neutral and negative degrees",mu + eta + nu <= 1 with refusal 1 - mu - eta - nu,the memberships,the assessment's provenance travels,whether the memberships are right,canonical domain; neutrality kept distinct from refusal and missingness,the qualification gate,the memberships and their calibration
7.12,B2.12,Hesitant Fuzzy Sets,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,hesitantFuzzyAssessment,the set of degrees the assessors gave,hesitant fuzzy element with the declared arithmetic-mean laboratory score,the degree set,the assessment's provenance travels,whether the degrees are right,canonical set representation; the empty set is Not Estimable,the qualification gate,the degrees and the choice of score
7.13,B2.13,Type-2 Fuzzy Sets,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,type2FuzzyAssessment,a lower and an upper membership at every point considered,interval type-2 membership and footprint of uncertainty; type reduction blocked,the membership functions,the assessment's provenance travels,whether the footprint is right,genuine IT2 representation; NO midpoint averaging anywhere,the qualification gate,an exact Karnik-Mendel formulation is an owner decision; then calibration
7.14,B2.14,Maximum Entropy,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,maximumEntropyProblem,a state space and explicitly supplied constraints,constrained entropy maximisation solved through the convex dual,the constraints and their provenance,the constraints' provenance travels,whether the constraints are the right ones,"a real optimiser; remove the min(cpi,spi) dependency entirely",the qualification gate,constraint provenance and validation
7.15,B2.15,Possibility Theory,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,possibilityAssessment,a normalised possibility distribution over a state space,"Pi as a supremum, N as the dual, maxitivity",the possibility degrees,the distribution's provenance travels,whether the degrees are right,possibility as a maxitive measure; never normalised as a probability,the qualification gate,the degrees and their calibration
7.16,B2.16,Spherical Fuzzy Sets,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,sphericalFuzzyAssessment,"membership, non-membership and hesitancy","mu^2 + nu^2 + pi^2 <= 1, three distinct components",the memberships,the assessment's provenance travels,whether the memberships are right,canonical domain; no silent projection into the admissible region,the qualification gate,the memberships and their calibration
7.17,B2.17,Fermatean Fuzzy Sets,ADVISORY_ONLY,non-voting,CORRECT_PROXY_ONLY,fermateanFuzzyAssessment,a membership and non-membership pair,mu^3 + nu^3 <= 1,the memberships,the assessment's provenance travels,whether the memberships are right,canonical domain; remove the crisp-KPI proxy and the renormalisation loop,the qualification gate,the memberships and their calibration
