manifest,relative_path,expected_sha256,recomputed_sha256,result
CHECKSUMS.sha256 (programme),AUDIT_RESOLUTION_v0.2.md,e39ace266750764ae71f86ff968d049af70c5137f9f85790bf77e67c1feb8f6c,e39ace266750764ae71f86ff968d049af70c5137f9f85790bf77e67c1feb8f6c,MATCH
CHECKSUMS.sha256 (programme),BUILD_PROVENANCE.json,871d5379a4e554e69ac1172b3f0010a1cdc2b30f908405c1890455677855251c,871d5379a4e554e69ac1172b3f0010a1cdc2b30f908405c1890455677855251c,MATCH
CHECKSUMS.sha256 (programme),CLAUDE_CODE_HANDOFF_v0.2.md,99f126f9b6e27b56ebd4fdb027b93546d6c3a6f3e672a24a2c15aaaec6a0169b,99f126f9b6e27b56ebd4fdb027b93546d6c3a6f3e672a24a2c15aaaec6a0169b,MATCH
CHECKSUMS.sha256 (programme),MANIFEST.csv,680e38268dfa5969e9b115e43fbffb3bcfef5ab4e3d35ce3422fbcc046d41c93,680e38268dfa5969e9b115e43fbffb3bcfef5ab4e3d35ce3422fbcc046d41c93,MATCH
CHECKSUMS.sha256 (programme),README.md,6bb20df6f1b1d2f4346ac81d68081ea6dccd95238aac58d9d96ace7d74ae8fc3,6bb20df6f1b1d2f4346ac81d68081ea6dccd95238aac58d9d96ace7d74ae8fc3,MATCH
CHECKSUMS.sha256 (programme),VALIDATION_SUMMARY.md,90f2c58450472a74ee104fab5d545f69c108ff0987612fd6491c08b8c70bbe7b,90f2c58450472a74ee104fab5d545f69c108ff0987612fd6491c08b8c70bbe7b,MATCH
CHECKSUMS.sha256 (programme),data_dictionary.csv,193a8b297eae52a00787a7e71a22a2838d4f2b466b338681adc86dda2250ef23,193a8b297eae52a00787a7e71a22a2838d4f2b466b338681adc86dda2250ef23,MATCH
CHECKSUMS.sha256 (programme),generators/base/Opus_Gubernatio_Synthetic_Programme_v0.1.zip,fe5806b831d4ab5a32c7beb249fc66eaedbe641fa87b87db8df01491f2ec2796,fe5806b831d4ab5a32c7beb249fc66eaedbe641fa87b87db8df01491f2ec2796,MATCH
CHECKSUMS.sha256 (programme),generators/build_opus_synthetic_programme_v0_2.py,9e5479497c6824e68b4e01951341cc60065b7e85dc95f99b27300dc3ce3aaa98,9e5479497c6824e68b4e01951341cc60065b7e85dc95f99b27300dc3ce3aaa98,MATCH
CHECKSUMS.sha256 (programme),generators/validate_synthetic_programme_v0_2.py,5022c5d485f0f77bc0164d12329385a5a408555cfd531352adf517aaef4ad2a6,5022c5d485f0f77bc0164d12329385a5a408555cfd531352adf517aaef4ad2a6,MATCH
CHECKSUMS.sha256 (programme),generators/verify_synthetic_checksums_v0_2.py,dc41ff34d2b120378927c962cf3cba44e394cb6cfb27b6d015d91366d43dff2b,dc41ff34d2b120378927c962cf3cba44e394cb6cfb27b6d015d91366d43dff2b,MATCH
CHECKSUMS.sha256 (programme),module_asset_map.csv,aa6e2994f95fa909ace2ff12bd28bfbac3c031923184841c18b87b0bbd3c4b85,aa6e2994f95fa909ace2ff12bd28bfbac3c031923184841c18b87b0bbd3c4b85,MATCH
CHECKSUMS.sha256 (programme),module_id_aliases.csv,fb1674b318407490abb4f4f6112f7f406c3b13cc890190c8d19d8ea5595b0086,fb1674b318407490abb4f4f6112f7f406c3b13cc890190c8d19d8ea5595b0086,MATCH
CHECKSUMS.sha256 (programme),package_A_project_structures/PACKAGE_CHECKSUMS.sha256,0fa0c32d56e5a3475df217dbb2f63cfdc4f7c3e06700c90db0bbf46de782e5da,0fa0c32d56e5a3475df217dbb2f63cfdc4f7c3e06700c90db0bbf46de782e5da,MATCH
