canonical_id,registry_id,module,structure,structure_in_words,source_type,production_writer_or_intake,production_consumer,project_supplied_derived_historical_elicited_or_research_only,production_reachable,real_corpus_populated,parameter_provenance_present,behaviour_when_absent,pass_fail
6.1,B1.1,Conservative Dominance,the assembled governed signals,the project's governed signals,EXISTING_QUALIFIED_SIGNAL,server/app/simulation/signal_package.py build_signals + adapt (the assembled signal package),server/app/simulation/canonical_v5.py via B1.1's runner,derived,yes,True,yes,Not Estimable,PASS
6.2,B1.2,Weighted Voting,signalWeightPolicy,"a weighting policy for the project's governed signals: a weight for each signal, and the authority that set it",EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B1.2's runner,elicited,yes,False,no,"abstains, naming the missing policy",PASS
6.3,B1.3,Majority Rules,the assembled governed signals,the project's governed signals,EXISTING_QUALIFIED_SIGNAL,server/app/simulation/signal_package.py build_signals + adapt (the assembled signal package),server/app/simulation/canonical_v5.py via B1.3's runner,derived,yes,True,yes,Not Estimable,PASS
6.4,B1.4,Worst-N-of-M,the assembled governed signals,the project's governed signals,EXISTING_QUALIFIED_SIGNAL,server/app/simulation/signal_package.py build_signals + adapt (the assembled signal package),server/app/simulation/canonical_v5.py via B1.4's runner,derived,yes,True,yes,Not Estimable,PASS
7.1,B2.1,Dempster-Shafer,evidenceMassFunctions,"bodies of evidence expressed as mass over the states being distinguished, each body naming the evidence it was read from",EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.1's runner,elicited,yes,False,no,abstains,PASS
7.2,B2.2,Rough Sets,roughDecisionTable,"a decision table: the cases observed, the attributes recorded for each, and the decision recorded against them",HISTORICAL_DECISION_TABLE,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.2's runner,elicited,yes,False,no,abstains,PASS
7.3,B2.3,Neutrosophic Logic,neutrosophicAssessment,"an assessment stated as three independent degrees -- how far the statement is supported, how far it is undetermined, and how far it is contradicted",EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.3's runner,elicited,yes,False,no,abstains,PASS
7.4,B2.4,Interval Fuzzy Sets,intervalFuzzyAssessment,an assessment stated as a range of membership rather than a single degree,EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.4's runner,elicited,yes,False,no,abstains,PASS
7.5,B2.5,Z-numbers,zNumberAssessment,an assessment stated as a restriction together with an explicit statement of how reliable that restriction is,EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.5's runner,elicited,yes,False,no,abstains,PASS
7.6,B2.6,PLTS,probabilisticLinguisticAssessment,an assessment stated as named terms with a probability against each,EXPERT_ELICITATION,"server/app/writes.py saveprojectdata -> server/app/project_data.py (governed, append-only, period-effective)",server/app/simulation/canonical_v5.py via B2.6's runner,elicited,yes,False,no,abstains,PASS
