module_id,module_name,category,run19_disposition
1.1,Monte Carlo EAC,1,METHOD_PASS_CALIBRATION_PENDING
1.2,CUSUM Anomaly Monitor,1,METHOD_PASS_CALIBRATION_PENDING
1.3,Bayesian EAC,1,METHOD_PASS_CALIBRATION_PENDING
1.4,Kalman Filter SPI Smoother,1,METHOD_PASS_CALIBRATION_PENDING
1.5,ARIMA CPI Forecast,1,METHOD_LABEL_MISMATCH
1.6,Earned Schedule,1,METHOD_LABEL_MISMATCH
1.7,TCPI,1,SCIENTIFIC_PASS
1.8,Variance at Completion,1,SCIENTIFIC_PASS
1.9,Budget Execution Rate,1,CORRECT_PROXY_ONLY
1.10,Regression to Mean CPI,1,MISSING_CANONICAL_DATA_STRUCTURE
1.11,ICE Ratio,1,METHOD_LABEL_MISMATCH
2.1,PERT Network Criticality,2,CORRECT_ABSTENTION
2.2,Line of Balance,2,THRESHOLD_CALIBRATION_BLOCKED
2.3,CCPM Buffer Health,2,METHOD_PASS_CALIBRATION_PENDING
2.4,Schedule Compression Index,2,OWNER_DECISION_REQUIRED
2.5,Float Consumption Rate,2,THRESHOLD_CALIBRATION_BLOCKED
2.6,S-Curve Deviation,2,CORRECT_PROXY_ONLY
2.7,Milestone Trend Analysis,2,METHOD_LABEL_MISMATCH
2.8,Look-Ahead Schedule Health,2,THRESHOLD_CALIBRATION_BLOCKED
2.9,Resource Loading Index,2,CORRECT_PROXY_ONLY
2.10,Schedule Risk Analysis P80,2,METHOD_LABEL_MISMATCH
2.11,Critical Path Index,2,METHOD_LABEL_MISMATCH
3.1,Reference Class Forecasting,3,CORRECT_ABSTENTION
3.2,Contingency Burn Rate,3,THRESHOLD_CALIBRATION_BLOCKED
3.3,Labor Productivity Index,3,CORRECT_PROXY_ONLY
3.5,Overhead Absorption Rate,3,CORRECT_PROXY_ONLY
3.6,Cost Risk Analysis P80,3,METHOD_LABEL_MISMATCH
3.7,Analogous Estimating Ratio,3,IMPLEMENTATION_DEFECT
3.8,Parametric Cost Index,3,METHOD_LABEL_MISMATCH
3.9,Inflation Adjustment Index,3,MISSING_CANONICAL_DATA_STRUCTURE
4.1,Document Risk Score,4,MISSING_CANONICAL_DATA_STRUCTURE
4.2,RFI Velocity,4,THRESHOLD_CALIBRATION_BLOCKED
4.3,Submittal Rejection Rate,4,THRESHOLD_CALIBRATION_BLOCKED
4.4,NCR Rate,4,CORRECT_ABSTENTION
4.5,Weather Day Impact,4,CORRECT_PROXY_ONLY
4.6,Change Order Frequency,4,METHOD_LABEL_MISMATCH
4.7,Dispute Escalation Index,4,METHOD_LABEL_MISMATCH
4.8,Subcontractor Performance,4,PARAMETER_PROVENANCE_BLOCKED
4.9,Procurement Lead Time Monitor,4,CORRECT_PROXY_ONLY
4.10,Specification Conflict Density,4,METHOD_LABEL_MISMATCH
5.1,DSM Rework Propagation,5,CORRECT_ABSTENTION
5.2,Sensitivity Analysis,5,IMPLEMENTATION_DEFECT
5.3,Tornado Risk Ranking,5,METHOD_LABEL_MISMATCH
5.4,Scenario Modeling,5,OWNER_DECISION_REQUIRED
5.5,Rework Feedback Loop,5,METHOD_LABEL_MISMATCH
5.6,Queueing Theory Bottleneck,5,CORRECT_PROXY_ONLY
5.7,Agent-Based Supply Chain,5,CORRECT_PROXY_ONLY
5.8,Discrete Event Simulation,5,METHOD_LABEL_MISMATCH
8.6,Quality Compliance Index,8,CORRECT_PROXY_ONLY
8.7,Safety Performance Index,8,IMPLEMENTATION_DEFECT
8.8,Environmental Compliance Rate,8,REGULATORY_VERSION_BLOCKED
8.9,Contractor Performance Score,8,MISSING_CANONICAL_DATA_STRUCTURE
6.1,Conservative Dominance,6,IMPLEMENTATION_DEFECT
6.2,Weighted Voting,6,METHOD_LABEL_MISMATCH
6.3,Majority Rules,6,METHOD_PASS_CALIBRATION_PENDING
6.4,Worst-N-of-M,6,IMPLEMENTATION_DEFECT
7.1,Dempster-Shafer,7,METHOD_PASS_CALIBRATION_PENDING
7.2,Rough Sets,7,METHOD_LABEL_MISMATCH
7.3,Neutrosophic Logic,7,PARAMETER_PROVENANCE_BLOCKED
7.4,Interval Fuzzy Sets,7,PARAMETER_PROVENANCE_BLOCKED
7.5,Z-numbers,7,PARAMETER_PROVENANCE_BLOCKED
7.6,PLTS,7,PARAMETER_PROVENANCE_BLOCKED
7.7,Plithogenic Sets,7,FUTURE_RESEARCH_ONLY
7.8,Belief Rule Base,7,PARAMETER_PROVENANCE_BLOCKED
7.9,Quantum Probability,7,FUTURE_RESEARCH_ONLY
7.10,Pythagorean Fuzzy Sets,7,IMPLEMENTATION_DEFECT
7.11,Picture Fuzzy Sets,7,PARAMETER_PROVENANCE_BLOCKED
7.12,Hesitant Fuzzy Sets,7,PARAMETER_PROVENANCE_BLOCKED
7.13,Type-2 Fuzzy Sets,7,CORRECT_PROXY_ONLY
7.14,Maximum Entropy,7,METHOD_LABEL_MISMATCH
7.15,Possibility Theory,7,IMPLEMENTATION_DEFECT
7.16,Spherical Fuzzy Sets,7,PARAMETER_PROVENANCE_BLOCKED
7.17,Fermatean Fuzzy Sets,7,PARAMETER_PROVENANCE_BLOCKED
7.18,MARCOS Ranking,7,MISSING_CANONICAL_DATA_STRUCTURE
7.19,CRITIC-TOPSIS,7,CORRECT_ABSTENTION
7.20,Hypersoft Sets,7,FUTURE_RESEARCH_ONLY
8.1,ABM Governance Layer,8,METHOD_LABEL_MISMATCH
8.2,FAR Threshold Monitor,8,REGULATORY_VERSION_BLOCKED
8.3,OMB A-11 Check,8,REGULATORY_VERSION_BLOCKED
8.4,EVM Reporting Threshold,8,REGULATORY_VERSION_BLOCKED
8.5,Contract Modification Frequency,8,CORRECT_PROXY_ONLY
