module_id,module_name,category_number,category_name,run8_bucket,bucket_meaning,required_structure_per_run8,package,package_asset,asset_paths,complete,mismatch,recommended_later_action
A1.1,Monte Carlo EAC,1,Cost Forecasting,3,Bucket 3 synthetic project-structure corpus,cost risk quantification: three-point or distributional cost ranges per risk or work package,Package A,"Package A cost uncertainty: quantified risk register with three-point impacts, cost elements with three-point ranges and a correlation matrix",package_A/package_A_project_structures/cost_risk_events.csv|package_A/package_A_project_structures/cost_elements.csv|package_A/package_A_project_structures/cost_correlations.csv|package_A/package_A_project_structures/cost_risk_ground_truth.csv,yes,"The package module asset map has no row for this module. It maps these same files to Cost Risk Analysis P80 only. The structure Run 8 asked for as CORPUS_A1_cost_uncertainty is present under different file names, so the gap is in the map, not in the data.",Add a test-only importer for the cost uncertainty structure and a known-answer test against cost_risk_ground_truth.csv. Keep the module on its present arithmetic in production until an owner decision authorises the canonical forecast.
A2.2,Line of Balance,2,Schedule Analytics,3,Bucket 3 synthetic project-structure corpus,"locations or units, crews, quantities and production rates",Package A,"Package A line of balance: locations in sequence, crews, quantities with units, planned and actual production rates and a minimum separation",package_A/package_A_project_structures/lob_work_packages.csv|package_A/package_A_project_structures/lob_ground_truth.csv,yes,None. This is the defining canonical structure and the ground truth carries the leading and following rates and the catch-up location.,Test-only importer and a known-answer test on catch-up location and interference. No production change in this run.
A2.3,CCPM Buffer Health,2,Schedule Analytics,3,Bucket 3 synthetic project-structure corpus,a critical chain with a project buffer and feeding buffers sized from activity estimates,Package A,"Package A critical chain: project and feeding buffers with original and remaining days, chain progress and a sizing method",package_A/package_A_project_structures/ccpm_buffers.csv|package_A/package_A_project_structures/ccpm_ground_truth.csv|package_A/package_A_project_structures/schedule_activities.csv,partial,"Two gaps. Buffers carry chain_id but activities carry only a boolean critical_chain_flag and no chain_id, so a buffer cannot be traced to the activities of its chain. Project buffers are a flat fifteen per cent of baseline (SYNTHETIC_15_PERCENT_BASELINE) rather than sized from activity estimates, which is what Run 8's spec required.",Ask the generator owner for a chain_id on activities and a buffer sizing derived from the aggressive and safe estimates. Do not integrate until the chain is traceable.
A4.4,NCR Rate,4,Quality,3,Bucket 3 synthetic project-structure corpus,"an audited nonconformance cohort, that is Quality Audit Reports carrying a findings total",Package A,NONE. Package A contains no quality audit or audit finding table.,,no,"Missing outright. Run 8 required CORPUS_A4_quality_audit with quality_audits.csv and audit_findings.csv. Package A category 4 is Document and Risk Signals (weather, disputes, specification conflicts) and does not include the quality audit cohort.","Request the missing corpus. The module continues to abstain on the corpus, which Run 8 recorded as a corpus gap rather than a defect."
A5.6,Queueing Theory Bottleneck,5,Systems and Complexity,3,Bucket 3 synthetic project-structure corpus,"arrival and service processes, capacity and a queue discipline",Package A,"Package A queueing: arrivals, service start and end, service and wait durations, server identity and an explicit queue discipline",package_A/package_A_project_structures/queue_events.csv|package_A/package_A_project_structures/queue_ground_truth.csv,yes,"None. Arrivals, service, capacity by server count and discipline are all present. Mean wait reproduced independently from the event log against the stored ground truth for all six queues.","Test-only importer and a known-answer test on mean wait, p90 wait, throughput and per-server utilisation."
A5.7,Agent-Based Supply Chain,5,Systems and Complexity,3,Bucket 3 synthetic project-structure corpus,"agents, states, rules and interactions",Package A,"Package A agents: agent roster with types, capacity, lead time, reliability and a network group, plus a per-time-step state history",package_A/package_A_project_structures/agents.csv|package_A/package_A_project_structures/agent_state_history.csv|package_A/package_A_project_structures/abm_ground_truth.csv,partial,"Agents carry decision_rule_id but no table defines the rules. Run 8's spec required interaction_rules.csv. Agents, states, interactions and time are present; the rules are referenced by identifier only, so the interaction logic cannot be reconstructed from the package.",Request the interaction rule definitions. Until then the fixture supports state-history replay but not an independent agent-based simulation.
A6.3,Environmental Compliance Rate,6,"Health, Safety and Environment",3,Bucket 3 synthetic project-structure corpus,"audited permit condition compliance, that is Environmental Compliance Reports",Package A,NONE. Package A contains no environmental permit or compliance assessment table.,,no,"Missing outright. Run 8 required CORPUS_A6_environmental_audit with environmental_permits.csv, permit_conditions.csv and compliance_assessments.csv. Package A has no category 6 assets at all.","Request the missing corpus. The module continues to abstain, which Run 8 recorded as a corpus gap rather than a defect."
A5.4,Scenario Modeling,5,Systems and Complexity,4,"Bucket 4 synthetic reference, training or decision dataset",an actions-by-scenarios payoff structure with defined scenarios and probabilities,Package B,"Package B decision objects: twelve decision problems, actions, named scenarios with probabilities that sum to one, a full action-by-scenario outcome set and payoff and regret matrices",package_B/package_B_reference_training_decisions/B3_decision_optimization/decision_problems.csv|package_B/package_B_reference_training_decisions/B3_decision_optimization/actions.csv|package_B/package_B_reference_training_decisions/B3_decision_optimization/scenarios.csv|package_B/package_B_reference_training_decisions/B3_decision_optimization/action_scenario_outcomes.csv|package_B/package_B_reference_training_decisions/B3_decision_optimization/payoff_matrices.csv|package_B/package_B_reference_training_decisions/B3_decision_optimization/ground_truth_decisions.csv,yes,The package asset map does not carry a row for this module by Run 8's identifier; it maps the same objects to the what-if scenario matrix and regret modules. The structure Run 8 asked for as DATASET_B1_scenario_payoff is present. Every action-by-scenario cell is populated and every scenario probability set sums to one.,Test-only importer and a known-answer test on the scenario expectations. Do not replace the module's present three-divisor arithmetic without an owner decision.
B2.19,CRITIC-TOPSIS,7,Evidence Combination and Ranking,4,"Bucket 4 synthetic reference, training or decision dataset",an alternatives-by-criteria decision matrix; CRITIC weights are computed ACROSS alternatives,Package B,"Package B alternatives matrix: six alternatives per problem across five criteria, with criterion directions and owner weights, and stored CRITIC weights and a top action",package_B/package_B_reference_training_decisions/B3_decision_optimization/alternative_criteria_matrix.csv|package_B/package_B_reference_training_decisions/B3_decision_optimization/criteria.csv|package_B/package_B_reference_training_decisions/B3_decision_optimization/ground_truth_decisions.csv,yes,"None for the structure. Note that this fixture supplies more than one alternative, which is exactly what Run 8 identified as missing; it therefore exercises the degenerate single-alternative weighting Run 8 found but does not by itself fix it.",Test-only importer and a known-answer test on the CRITIC weights and the ranking. The degenerate single-alternative weighting stays a separate production decision.
A3.1,Reference Class Forecasting,3,Cost Risk,5,Bucket 5 optional or disabled synthetic structure,a reference class: a population of comparable completed projects with realised overruns,Package B,"Package B reference population: 360 completed comparable projects with realised cost and schedule overruns, an explicit membership rule and a locked split manifest",package_B/package_B_reference_training_decisions/B1_reference_population/reference_projects.csv|package_B/package_B_reference_training_decisions/B1_reference_population/reference_class_membership.csv|package_B/package_B_reference_training_decisions/B1_reference_population/reference_outcomes.csv|package_B/package_B_reference_training_decisions/B1_reference_population/split_manifest.csv,yes,None for the structure. The module is disabled and abstains unconditionally after Run 7. A fixture does not authorise activation.,"Remains DISABLED and abstaining. Reactivation is an owner decision, not a consequence of a fixture existing."
