priority,item,scope,description,modules,location
P0A,voting/status defect,none found,Run 18 re-proved the voting set is exactly TCPI and Variance at Completion and that no disabled module votes. No P0A item.,n/a,registry
P0B,6.1 absorbed single Red,Category-6 ensemble,"A single Red is absorbed rather than escalated, so an adverse signal can leave the project rollup unmoved. Run-17 finding, re-executed unchanged in Run 18.",6.1,server/app/simulation
P0B,6.4 benign dilution,Category-6 ensemble,"Adding benign evidence dilutes an adverse rollup, so evidence volume can move status without any change in project condition. Run-17 finding, re-executed unchanged.",6.4,server/app/simulation
P0B,PH.5 availability re-weighting,Portfolio,"Composite re-weights on availability, so a project with fewer supplied inputs is scored on a different basis than one with more. Run-17 finding, re-executed unchanged.",PH.5,server/app/simulation
P0D,Category-9 raw-input bypass,Whole system,"Category-6 ensembles consume assembled signal statuses directly, with no qualification step between raw evidence and synthesis. The deviation is declared in signal_package.py rather than prevented in code. Run-17 finding, re-executed unchanged in Run 18.",architecture,server/app/simulation/signal_package.py
P0D,evidence lineage identifier absent,Whole system,"No module result carries a lineage identifier, so an ensemble cannot distinguish one piece of evidence seen twice from two independent pieces. A second transform of the same adverse cost index raises the adverse count. Run-17 finding, re-executed unchanged.",architecture,server/app/simulation
P1,method-label mismatches,various,"Four modules carry a canonical method name their implementation does not implement. Run-17 finding, unchanged. Owner decision required on rename, proxy qualifier or rebuild.","1.5, 1.6, 1.11 and one further",server/app/simulation
P2,missing canonical data structure,one module,"One module lacks the canonical structure its declared method requires. Run-17 finding, unchanged.",see scientific_results.csv,server/app/simulation
P3,parameter provenance and calibration,many,Beta-PERT distribution parameters unsourced; CUSUM k and h and the Isolation Forest 0.576 threshold calibrated on synthetic data only; the four Category-6 ensemble bands are unversioned owner policy. Retuning requires a governed non-synthetic study.,"1.1, 1.2, PH.1, 6.x",server/app/simulation
P4,"naming, proxy disclosure and parsimony",various,"Worst-N-of-M's collapsing form makes it redundant with the primary ensemble. Proxy qualifiers to be disclosed consistently. Run-17 finding, unchanged.",6.x,server/app/simulation
P0-PREREQ,commit the supervisory method specification,AUDIT BLOCKER,"Run 18 could not assess the 79 outstanding modules because the controlling theoretical contract is not in the repository. Run 17 recorded it as SUPPLIED_IN_PROMPT; the 79 method cards are empty stubs; the only in-repository descriptions are regenerated exports of the production code. Commit the specification, or supply an independently defensible per-module contract, before any further scientific assessment. THIS IS THE SINGLE HIGHEST-VALUE ITEM IN THE QUEUE.",79 modules,server/tools/run17/method_cards.json
FUTURE,concept-only methods,8 modules,The eight concept-only methods remain operationally disabled and no incremental research value has been demonstrated for any of them. No activation is proposed.,"10.1, 10.2, 10.5, 10.6, 3.8, 7.20, 7.7, 7.9",server/app/simulation/registry.py
OWNER,Material Cost Variance disposition,1 module,"Registered, audit history retained, operationally disabled under EVIDENCE AND CONTEXT REQUIREMENT UNDER OWNER REVIEW, non-voting, excluded from the 100 result rows. Not mathematically disproved. Awaiting an owner evidence decision.",3.4,server/app/simulation/registry.py
