consumer_category,module,registry_identity,production_entry_point,actual_runner,raw_input_attempted,category9_assessment_reached,qualified_evidence_constructed,qualification_state,lineage_state,consumer_executed,raw_bypass,ledger_source,ledger_disposition,simulation_version,status
Delivery Quality Performance,A6.1,Quality Compliance Index,registry.run_module,app.simulation.models_cat89.run_A6_1,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Delivery Quality Performance,A6.2,Safety Performance Index,registry.run_module,app.simulation.models_cat89.run_A6_2,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Delivery Quality Performance,A6.3,Environmental Compliance Rate,registry.run_module,app.simulation.models_cat89.run_A6_3,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Delivery Quality Performance,A6.4,Contractor Performance Assessment Signal,registry.run_module,app.simulation.models_cat89.run_A6_4,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Signal Synthesis,B1.1,Conservative Dominance,registry.run_module,app.simulation.models_decision.run_conservative_dominance,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Signal Synthesis,B1.2,Weighted Voting,registry.run_module,app.simulation.models_gov.run_weighted_voting,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Signal Synthesis,B1.3,Majority Rules,registry.run_module,app.simulation.models_gov.run_majority_rules,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Signal Synthesis,B1.4,Worst-N-of-M,registry.run_module,app.simulation.models_gov.run_worst_n_of_m,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.1,Dempster-Shafer,registry.run_module,app.simulation.models_cat7.run_dst_evidence_combination,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.10,Pythagorean Fuzzy Sets,registry.run_module,app.simulation.models_cat7.run_pythagorean_fuzzy,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.11,Picture Fuzzy Sets,registry.run_module,app.simulation.models_cat7.run_picture_fuzzy,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.12,Hesitant Fuzzy Sets,registry.run_module,app.simulation.models_cat7.run_hesitant_fuzzy,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
Evidence Combination,B2.13,Type-2 Fuzzy Sets,registry.run_module,app.simulation.models_cat7.run_type2_fuzzy,raw evidence declared UNASSESSED,YES,YES,UNASSESSED,LINEAGE_UNRESOLVED,NO,NO,QUALIFICATION_BOUNDARY_V18,evidence_not_qualified_for_use,sim-2026.08-v19,PASS
