fault,failure_mode,injection,named_guard,guard_state,red_for_intended_reason,guard_output,restored_green,counted
1,a scientific target removed from the 100-target inventory,APPLIED,run36.fault01,RED,YES,FAIL  run36.fault01.inventory_complete  the 100-target inventory holds every scientific target derived from the registry; a target is missing  [['A2.5']],YES,COUNTED
2,a scientific target duplicated in the inventory,APPLIED,run36.fault02,RED,YES,FAIL  run36.fault02.no_duplicate_target  no scientific target appears twice; a duplicate row would inflate the population  [['A2.5']],YES,COUNTED
3,a fabricated target added to the inventory,APPLIED,run36.fault03,RED,YES,FAIL  run36.fault03.no_fake_target  every row in the inventory is a registered module; an unregistered target is fabricated  [['Z9.9']],YES,COUNTED
4,A1.1's served record claims it computes when execution says it does not,APPLIED,run36.fault04,RED,YES,"FAIL  run36.fault04.a1_1_structure_claim_truthful  A1.1's served operational state matches what it actually does without its declared structure; it claims to consume a required structure it does not consume, or claims to compute when it does not  [served='COMPUTES_FROM_AVAILABLE_EVIDENCE' executes=False]",YES,COUNTED
5,an unresolved parameter restored to authorize an output,APPLIED,run36.fault05,RED,YES,"FAIL  run36.fault05.no_unsupported_authoritative  no reachable UNSUPPORTED parameter authorizes an authoritative output  [['A6.1', 'A6.2', 'A6.3']]",YES,COUNTED
6,A1.7 banded on the rounded value again,APPLIED,run36.fault06,RED,YES,FAIL  run36.fault06.a1_7_bands_on_full_precision  A1.7 carries the canonical to-complete index at full precision and not the rounded presentation value; rounding before banding is restored  [tcpi=1.071 display=1.071],YES,COUNTED
7,A1.8's analytical value replaced by its formatted output,APPLIED,run36.fault07,RED,YES,FAIL  run36.fault07.a1_8_not_rounded  A1.8's analytical variance at completion is the full-precision identity and is not replaced by its formatted output  [vac=-100110 display=-100110],YES,COUNTED
8,a third voter added,APPLIED,run36.fault08,RED,YES,"FAIL  run36.fault08.voting_exactly_two  the voting set is exactly A1.7 and A1.8; a third voter has been added  [['A1.2', 'A1.7', 'A1.8'] / ['A1.7', 'A1.8']]",YES,COUNTED
9,the Category-9 gate name withdrawn so nothing can be refused for a missing assessment,APPLIED,run36.fault09,RED,YES,FAIL  run36.fault09.category9_gate_not_bypassed  a package carrying no Category-9 assessment cannot reach a governed downstream method; the gate is bypassed  [[]],YES,COUNTED
10,Category 9 made a contributor to project status,APPLIED,run36.fault10,RED,YES,FAIL  run36.fault10.category9_not_a_risk_vote  Category 9 is qualification and metadata and does not vote on project status; it has become a risk vote  [['C']],YES,COUNTED
11,Category-10 output made human-authoritative,APPLIED,run36.fault11,RED,YES,FAIL  run36.fault11.cat10_no_human_authority  every Category-10 result requires human authorization and exercises no approval authority of its own  [human_authorization_required not True on the envelope],YES,COUNTED
12,Category-10 output fed back as project evidence,APPLIED,run36.fault12,RED,YES,FAIL  run36.fault12.cat10_no_evidence_feedback  no Category-10 output re-enters as project-condition evidence; a feedback loop into upstream project evidence has been opened  [creates_project_evidence is not False],YES,COUNTED
13,Material Cost Variance reactivated,APPLIED,run36.fault13,RED,YES,"FAIL  run36.fault13.a3_4_not_operational  Material Cost Variance is disabled, still registered, and produces no operational reading; it has been reactivated  [disabled=False state=ABSTAINS colour=None]",YES,COUNTED
14,Plithogenic Sets reactivated,APPLIED,run36.fault14,RED,YES,"FAIL  run36.fault14.b2_7_not_operational  Plithogenic Sets is disabled, still registered, and produces no operational reading; it has been reactivated  [disabled=False state=ABSTAINS colour=None]",YES,COUNTED
15,Hypersoft Sets reactivated,APPLIED,run36.fault15,RED,YES,"FAIL  run36.fault15.b2_20_not_operational  Hypersoft Sets is disabled, still registered, and produces no operational reading; it has been reactivated  [disabled=False state=ABSTAINS colour=None]",YES,COUNTED
16,Quantum Probability made operational,APPLIED,run36.fault16,RED,YES,"FAIL  run36.fault16.b2_9_not_operational  Quantum Probability is disabled, still registered, and produces no operational reading; it has been reactivated  [disabled=False state=ABSTAINS colour=None]",YES,COUNTED
17,the PH.1 synthetic threshold declared a project-status band,APPLIED,run36.fault17,RED,YES,"FAIL  run36.fault17.ph1_threshold_schema_bound  the 0.576 threshold stays synthetic, schema-bound and not a project-status band; it has been applied on the wrong schema  [0.576 / run15-synthetic-4feature-v1 / {'threshold_basis': 'SYNTHETIC_LABORATORY', 'is_project_status_band': True, 'is_sole_trigger': False, 'field_validated': False, 'artifact': 'code_audit/run15_isolation_forest_validation.csv',",YES,COUNTED
18,a small cohort allowed to produce an authoritative flag,APPLIED,run36.fault18,RED,YES,"FAIL  run36.fault18.ph1_small_cohort_not_authoritative  a cohort below the minimum is not estimable and a small cohort carries an explicit limitation rather than an authoritative flag  [('COHORT_BELOW_MINIMUM', 'A cohort of 2 eligible project(s) supports no defensible cross-project anomaly model. Fewer than 3 projects is not a portfolio to compare within, so no reading of any kind is reported.') /",YES,COUNTED
19,PH.2 equal weights invented,APPLIED,run36.fault19,RED,YES,FAIL  run36.fault19.ph2_no_invented_weights  PH.2 emits no composite without governed weights; equal weights have been invented  [the governed-weights gate is gone],YES,COUNTED
20,PH.3 trajectory allowed from two observations,APPLIED,run36.fault20,RED,YES,FAIL  run36.fault20.ph3_min_three_observations  PH.3 fits no trend below three distinct observations; a trajectory from two observations is allowed  [2],YES,COUNTED
21,the PH.4 0.15 radius restored,APPLIED,run36.fault21,RED,YES,FAIL  run36.fault21.ph4_radius_retired  PH.4's unvalidated 0.15 radius stays retired and continuous distance only is reported; the radius has been restored  [the retirement sentence is gone],YES,COUNTED
22,PH.5 weights invented,APPLIED,run36.fault22,RED,YES,FAIL  run36.fault22.ph5_no_invented_weights  PH.5 returns a null score under PARAMETER_PROVENANCE_BLOCKED rather than a composite under invented weights  [0],YES,COUNTED
23,PH.5 duplicate lineage reinforced,APPLIED,run36.fault23,RED,YES,FAIL  run36.fault23.ph5_no_duplicate_lineage_reinforcement  PH.5 does not reinforce a project's score by counting one lineage twice  [the D1.5 provenance block is gone],YES,COUNTED
24,unknown lineage treated as independent lineage,APPLIED,run36.fault24,RED,YES,FAIL  run36.fault24.unknown_lineage_not_independent  no row claims independent lineage without an actual lineage record; unknown lineage is being treated as independent  [['A2.5']],YES,COUNTED
25,a conditional method described as unconditionally computing,APPLIED,run36.fault25,RED,YES,FAIL  run36.fault25.conditional_not_described_unconditional  no conditional method is described as unconditionally computing  [['A1.3']],YES,COUNTED
26,a disabled method described as active,APPLIED,run36.fault26,RED,YES,FAIL  run36.fault26.disabled_not_described_active  no disabled method is described as active  [['A3.8']],YES,COUNTED
27,a second taxonomy authority created,APPLIED,run36.fault27,RED,YES,FAIL  run36.fault27.one_taxonomy_authority  there is ONE authoritative taxonomy source and both client surfaces are generated mirrors of it; a second authority exists  [authority=True],YES,COUNTED
28,"a stale proxy qualifier restored, naming a disabled module",APPLIED,run36.fault28,RED,YES,"FAIL  run36.fault28.no_stale_proxy_qualifier  every surviving proxy qualifier names a live registered module; a stale qualifier has been restored  [['A1.2', 'B2.7']]",YES,COUNTED
29,the client method-class lookup broken,APPLIED,run36.fault29,RED,YES,FAIL  run36.fault29.client_method_class_lookup_intact  the client method-class lookup still dispatches; it has been broken so statuses silently never render  [the Monte_Carlo case is gone],YES,COUNTED
30,recursion introduced in the participant taxonomy path,APPLIED,run36.fault30,RED,YES,FAIL  run36.fault30.no_recursion_in_taxonomy_path  no function in the participant taxonomy path calls itself; recursion has been introduced  [a self-call was found in the taxonomy path],YES,COUNTED
31,the preliminary lock broken,APPLIED,run36.fault31,RED,YES,FAIL  run36.fault31.preliminary_lock_enforced  a locked preliminary judgment cannot be resubmitted; the lock has been broken  [the refusal is gone from research_decision.py],YES,COUNTED
