module_id,module_name,category_number,category_name,synthetic_package,primary_files,proposed_owner_action,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
3.1,Reference Class Forecasting,3,Cost Risk,B1,reference_projects.csv|reference_class_membership.csv|reference_outcomes.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,67f4187428b836498f9b8c14b6f37d8a5ab963098aee4907f3be610129694520
3.8,Parametric Cost Index,3,Cost Risk,B1/C,parametric_cost_training.csv|ground_truth_model.json|parametric_cost_benchmark.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c79dc30a5277885022726d660bb2c43345fc198cc88bd76ef7f4eee7f02a4566
3.9,Inflation Adjustment Index,3,Cost Risk,B1,inflation_index.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c8ee6dedb6991d54e9cdbf126e290cefe56dcb7c7f7bfe865784dbaa13624a22
7.2,Rough Sets,7,Evidence Combination / Epistemic Uncertainty,B1,rough_set_decision_table.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,a4b3982bceb1919f22d562e42982ff7209f000845131a5472dc38d3ce88cc0f4
7.5,Z-numbers,7,Evidence Combination / Epistemic Uncertainty,B2,z_number_assessments.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,c3375be6726d10e5807cef8226fc7a347e6f01ba0c3ab1f41c2f984cf1ee6b2c
7.6,PLTS,7,Evidence Combination / Epistemic Uncertainty,B2,plts_assessments.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,2ba2c2378729cdd2b3cb2a895742357f9e4a8bb15992618472d095a747f15215
7.8,Belief Rule Base,7,Evidence Combination / Epistemic Uncertainty,B2,belief_rules.json,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3467fcb07f81a36e9c21234d47b05ba9e30f037dbfe5c3cc4b9914a3946d9b05
7.12,Hesitant Fuzzy Sets,7,Evidence Combination / Epistemic Uncertainty,B2,fuzzy_memberships.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,64185dc5f3f465e48fee0524c0991ef4bda619ad4f15f945a3cc9504e23e82ac
7.13,Type-2 Fuzzy Sets,7,Evidence Combination / Epistemic Uncertainty,B2,fuzzy_memberships.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,73a0b103ec9fc48f71425122f1c6992421c5cf885a22379ca22b91b5149985c4
7.14,Maximum Entropy,7,Evidence Combination / Epistemic Uncertainty,B2,possibility_distributions.csv|epistemic_ground_truth.json,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,ca015da3cc6a433ac8681348f95be18448a1755d9a0deb11995d049d5d8b3271
7.18,MARCOS Ranking,7,Evidence Combination / Epistemic Uncertainty,B3,alternative_criteria_matrix.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9347f782777aaf044b013dd4e00d2d0ac5f88cbb531045f023d596b37cbd0111
7.19,CRITIC-TOPSIS,7,Evidence Combination / Epistemic Uncertainty,B3,alternative_criteria_matrix.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,7791565295aebdb95c5b89303a421b60ed47e57e27ff8f9883059c7c58115b99
10.1,Multi-Objective Optimization,10,Decision Optimization,B3/C,actions.csv|criteria.csv|action_scenario_outcomes.csv|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,598d878b443858505a7e6a7ef19283d68302fc20ede6d8ec1e714219861a29da
10.2,Linear Programming,10,Decision Optimization,B3/C,lp_models.json|ground_truth_decisions.csv,IMPLEMENT_OR_TEST_WITH_SYNTHETIC_FIXTURES,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,ROOT-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8684d0e8a872d5aaf29ac20571aaf6ec4eecfe7343659dd0c1af41f0ffc02d68
