decision_problem_id,scenario_id,scenario_name,scenario_probability,delay_shock_days,quality_shock,safety_shock,risk_shock,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4227b0ae41fff52e00c986de6581c630a1d7b5e33e402a60c538d0e570acb8c3
DP-01,DP-01-S1,PRODUCTIVITY_DROP,0.2,11.2,0.048,0.032,0.096,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6c915cc8f8011ac046c3c2f7c176cf17b09217fa0a858391fb2757634e9b16cf
DP-01,DP-01-S2,SUPPLY_DISRUPTION,0.2,14.4,0.024,0.016,0.144,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ffa7429579ea310575f5e825d69ee398b384d6899f855f49de0e3266df0422f4
DP-01,DP-01-S3,WEATHER_DELAY,0.15,9.6,0.016,0.04,0.08,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,edc3114160106943d4b2627a3fb7f3f5bad144ac4052a94bb204d25aac618671
DP-01,DP-01-S4,COMBINED_STRESS,0.1,22.4,0.072,0.064,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,72553672cfeb8043eb8baf6a770aa5901f80b262aca3685f85af7bab0e645860
DP-02,DP-02-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,78386ba0df4a2e42de92d2cb8b95ddfc16d06036314ff8ec890f370e16a42853
DP-02,DP-02-S1,PRODUCTIVITY_DROP,0.2,11.9,0.051,0.034,0.102,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ba796d2339da8b21f2fc883939777a10e380656837c55a332a310543b3ef0630
DP-02,DP-02-S2,SUPPLY_DISRUPTION,0.2,15.3,0.0255,0.017,0.153,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,13514de62a39d4ebb20ce42547047b2521d23f34e54ddaf33a5ebde0699af714
DP-02,DP-02-S3,WEATHER_DELAY,0.15,10.2,0.017,0.0425,0.085,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6eaac8caf4364f4a672295e72ad438e987ae21df9532adfc26712c20051ba3a7
DP-02,DP-02-S4,COMBINED_STRESS,0.1,23.8,0.0765,0.068,0.2125,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7556d109bbcc944a29460f2da1a0b5c35103788b5ccb69d440d2631457b92daf
DP-03,DP-03-S0,NOMINAL,0.35,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1e3a5dade133f3530e1535fd3975c454566795700143bf9b93d9e2420d93dab1
