decision_problem_id,action_id,expected_cost_delta_usd,expected_delay_days,quality_risk,safety_risk,residual_risk,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
DP-01,DP-01-A0,8470.0,9.072184,0.204,0.142,0.28,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5d4bd7b4fec6cab5d6b1e95de587ec34336752ce5a878543950157d6b3c205f5
DP-01,DP-01-A1,1288470.0,-2.107878,0.274,0.252,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2b5582df354570df31fa793cc70356625daa998a59692def3c9b861faaff57c9
DP-01,DP-01-A2,888470.0,2.296187,0.318,0.313,0.24,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bc4c3ca6bae971747906dd18af583291bca1113aa94bc48a821f600cbd1624a6
DP-01,DP-01-A3,1128470.0,-2.114471,0.242,0.199,0.18,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ba6a75752dbcff64ba19e544c356e20d52601e0ad3012d5d29935c74af187a9f
DP-01,DP-01-A4,488470.0,2.625186,0.296,0.21,0.22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,87992fe7b70fa49212daac1950229286787ea1f351978bc522e9a33a86816e8e
DP-01,DP-01-A5,-311530.0,5.91311,0.33,0.171,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,346532741d10c4563f9fbb04bf3987e668ef81988d010a49d72157b68b37ff2d
DP-02,DP-02-A0,4620.0,9.290574,0.2055,0.143375,0.285,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9251963c3c60bed9ae1c82594d01a38383a6a4e62d6b19c7fb2ada73f4103042
DP-02,DP-02-A1,1364620.0,-1.895565,0.2755,0.253375,0.205,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9259b2871997149ca101973e594faadbf12966f95b63a5543ff9d95af9e83b1d
DP-02,DP-02-A2,939620.0,2.44524,0.3195,0.314375,0.245,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e24c1ec16641a0eb61cbe884b708b3fcee470bb4222354376534d90a1df0d9f0
DP-02,DP-02-A3,1194620.0,-0.916201,0.2435,0.200375,0.185,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ecc23530e6dfe975f2a332f0a16ad40ac1e20a5135d0c0562dd8399c86e02bfd
DP-02,DP-02-A4,514620.0,3.267384,0.2975,0.211375,0.225,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1cd39cfb27d14bd503f4155afbc6f6b021eb07b915aef2adbb8d100b447b94db
DP-02,DP-02-A5,-335380.0,6.179132,0.3315,0.172375,0.255,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2710f8540e43d7ffed8a3dbd05b5111b6471c6e3446a2678dba6599043b75124
DP-03,DP-03-A0,10120.0,9.873687,0.207,0.14475,0.29,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,05f3d0285564255a7b36711ade9ce3147c6dfddf44577fc76ea2c642bcecec0c
DP-03,DP-03-A1,1450120.0,-1.784146,0.277,0.25475,0.21,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fa86c1d500d9359a6343d33eb93a11ec3c89da91ce88735b7d9801769fe9509f
DP-03,DP-03-A2,1000120.0,2.852352,0.321,0.31575,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f7d19df29946fafc33eccb96a751f2f511668d3c39fb908ce46704a98ab15973
DP-03,DP-03-A3,1270120.0,-0.318068,0.245,0.20175,0.19,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1cb0236f1072b4ce9982f2f9b9052705958d5e87c50040f87aee4b2c0447c15e
DP-03,DP-03-A4,550120.0,2.803258,0.299,0.21275,0.23,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,10c825610d81eed2b632fda04ec24d28f5eb6fa2f14da75d1c5f06c671688be3
DP-03,DP-03-A5,-349880.0,6.629852,0.333,0.17375,0.26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9dbd15686d3cec2fe84b6c6329a6f608cee4bd78b7d60ebe4e56723e5d020c2b
DP-04,DP-04-A0,3850.0,11.667101,0.2085,0.146125,0.295,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,537b34d6fdb90627a5603505287d2aeb1693d930461bb0b223f12a6a35fad404
DP-04,DP-04-A1,1523850.0,-1.529659,0.2785,0.256125,0.215,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d46a1bf5fe8f4dc5971ad83d4dbdc49133d893df9cdc066505efa1e2a03cb736
DP-04,DP-04-A2,1048850.0,2.733542,0.3225,0.317125,0.255,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c6c615b99f070f16bfaf746584432367506e651bdf72637c2eafd5c32bc85288
DP-04,DP-04-A3,1333850.0,-0.16432,0.2465,0.203125,0.195,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a651851c6892ff7999f781de50b4f0441edb041a252f4e66d0eacec4f236ce04
DP-04,DP-04-A4,573850.0,4.017726,0.3005,0.214125,0.235,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c723640bcb58fc04cd1c748a8e144458b7e10553261be05f1608d4cf90f70e63
DP-04,DP-04-A5,-376150.0,7.28112,0.3345,0.175125,0.265,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8a8f31efe7de1e4a8ec73fa6ef67117fb1f2abf7b606e67053ab8509d183b32e
DP-05,DP-05-A0,6380.0,11.211964,0.21,0.1475,0.3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f2a535a533203f436c6dbdfbadcba0e67a11f75b5afe3d5b4ff3ec963249deb9
DP-05,DP-05-A1,1606380.0,0.185394,0.28,0.2575,0.22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,89a31bcbfd019cc23091a61a82dfb3e8922a5389afbbe9b7d2c06c2183417d2d
DP-05,DP-05-A2,1106380.0,3.633288,0.324,0.3185,0.26,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3ea06c4298b9ddafa21e081495022da30c537aaaa2f1075f6c27eae8546c99d1
DP-05,DP-05-A3,1406380.0,0.324226,0.248,0.2045,0.2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,876349afba6d6b3998b08083469239cd70c2984b34f0e6612857f1b598945396
DP-05,DP-05-A4,606380.0,5.27932,0.302,0.2155,0.24,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,84e4ffe8e31c9e4d70883ec7ba5ecd6bae4d8af4d32d0db956300c99c09245c1
DP-05,DP-05-A5,-393620.0,7.614175,0.336,0.1765,0.27,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B3-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a9b334c43e324cb1791bee3427b82965cd4f6508b64bf91bf5a371f72ff22aa6
