expert_id,scenario_id,severity_score,picture_positive,picture_neutral,picture_negative,hesitant_memberships_json,type2_lower_membership,type2_upper_membership,pythagorean_membership,pythagorean_nonmembership,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.0,0.840559,0.159441,0.0,"[0.0, 0.0, 0.087937]",0.0,0.175874,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5f0702fec294bb6f8b7117d78aac0b1fe86e0c7e70206a8560bd2650be9ce9fc
EXP-01,ESC-02,0.07133,0.739174,0.204051,0.056775,"[0.0, 0.07133, 0.172602]",0.0,0.273875,0.07133,0.997453,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cc8419f9cb74fde43fc66505312bbdada635dce41d8e026f9023c1daba036b6a
EXP-01,ESC-03,0.0,0.828626,0.171374,0.0,"[0.0, 0.0, 0.091363]",0.0,0.182727,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2a33d8c0abd8815d9583f363ff8e816974290af42ddee61cd8f4c9f17d49c406
EXP-01,ESC-04,0.053356,0.795853,0.15929,0.044857,"[0.0, 0.053356, 0.14125]",0.0,0.229144,0.053356,0.998576,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,76c9baf412fbd3463a1af3d6306b3cef62615f2174ed1a43a62831a0210d8d5b
EXP-01,ESC-05,0.292981,0.567245,0.197695,0.23506,"[0.1937, 0.292981, 0.392263]",0.094418,0.491545,0.292981,0.956118,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9061ae9850a2ec349cc33c7430c2e96d4d260be3b80547b30e21ba19f8430ca7
EXP-01,ESC-06,0.164137,0.678071,0.188777,0.133152,"[0.067596, 0.164137, 0.260679]",0.0,0.35722,0.164137,0.986438,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f80fb8d983c8cd26f81908c36a74e9b8d0926fe9c7b282bb54c5d5e955bcb32b
EXP-01,ESC-07,0.167431,0.672682,0.192041,0.135278,"[0.069894, 0.167431, 0.264969]",0.0,0.362506,0.167431,0.985884,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,23a8d5a97fe7724b14336b1c47ee7bb67adc29b20e14088ba700a5540177afb6
EXP-01,ESC-08,0.289987,0.585601,0.175224,0.239175,"[0.197497, 0.289987, 0.382478]",0.105007,0.474968,0.289987,0.95703,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,af3c9f83554787d1479ba67ef44bf40c5fa8e293b5350e54d3c3d487b642861b
EXP-01,ESC-09,0.237675,0.640429,0.159901,0.19967,"[0.149608, 0.237675, 0.325742]",0.06154,0.413809,0.237675,0.971345,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,75fd991efc13afd0bd5550cf39f24e5c6f1fb8004e7ae9723f1ad8f2b359a29e
EXP-01,ESC-10,0.220847,0.631102,0.190015,0.178883,"[0.123929, 0.220847, 0.317766]",0.027011,0.414684,0.220847,0.975308,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1617d72e77cc389f491eb22a8a14614c704aad7b5ed1e3304ce3ff7c7ecfa255
