expert_id,scenario_id,poss_green,poss_yellow,poss_amber,poss_red,max_possibility,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,1.0,0.194296,0.006114,3.1e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0542306ad2f5cb35e074a0c92a79ae8bba0cd662ea029e682073564c3cb5f642
EXP-01,ESC-02,1.0,0.361007,0.024841,0.000326,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,19c37bc93a24fc7bc51283e3415d2452ba6c284d8d442ccd6b2f1b9b7e9c871f
EXP-01,ESC-03,1.0,0.202157,0.006917,4e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9d4bd30eaa26dbfd9c34276979d27b89e1f29691da6b9de96a2204fbe0af1eec
EXP-01,ESC-04,1.0,0.286436,0.013281,0.0001,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,15df07dc09e245882eba1fbf192d952c7143f098c01e4eea15c7143c02789595
EXP-01,ESC-05,0.633211,1.0,0.294205,0.016125,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5f47f1faef362518419ec16bc6c0b486606f5160b164f8fbbe1f097f905c99eb
EXP-01,ESC-06,1.0,0.659045,0.078343,0.00168,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4d4765666fec8ea16eeef4c17e6014611327cf6a2c3d71eee85ba33338928480
EXP-01,ESC-07,1.0,0.675927,0.08339,0.001878,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7e437e350ee0047bc66c614211bec83585f5c2ffd9cc718e80412968f4cb5da0
EXP-01,ESC-08,0.632494,1.0,0.271412,0.012646,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cf297aa0c97b15111f2ac52e5119d119f387c8cdc3a7ec997db3f6a7aa3d6793
EXP-01,ESC-09,0.911916,1.0,0.177906,0.005135,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,76fa74ba183b8cfca4470277def622209d019cc16e77c5abc3d193ba62ec507a
EXP-01,ESC-10,1.0,0.972024,0.171191,0.005463,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,db71a479ea3319f1b7ae0d40799b38b45fe7a32e673bae86d81f32a15cc261c3
EXP-01,ESC-11,1.0,0.967873,0.139972,0.003025,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e2c40f2b5ba4a2ff8af65c0ac56e688034337f094e4643265ae74a7d9ad3c52d
EXP-01,ESC-12,0.083115,0.732082,1.0,0.211836,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,32662219db13c41b9ca9951dd192a92476b22a42b80f53ed7c3e5b17a909a32d
EXP-01,ESC-13,0.35693,1.0,0.499688,0.044533,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3b29f2abfd3d49f4bba54474e0fbd2ffa06829f8d72710631518e777da9abc5f
EXP-01,ESC-14,0.097646,0.787298,1.0,0.200096,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8249c00e8add4c1aca33ab2934128faa929b8b26a419f5762436d5e89e848f4c
EXP-01,ESC-15,0.04987,0.56434,1.0,0.277472,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3c433916ee3bd706a213368df7e2035b8bbf70e62eefa5832e59a9d771581a24
EXP-01,ESC-16,0.106384,0.815752,1.0,0.195976,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2bbd8f07eebf0b14f2d57d0bcfd04e740a8151ab7d79910c0a48bc410fce4495
EXP-01,ESC-17,0.001984,0.09028,0.718431,1.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,566c1f941f0f0ff53b85f0f63589b8f522f7cdc14b49b4398d86d7b6cb0f72c2
EXP-01,ESC-18,0.03253,0.470681,1.0,0.311961,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,17638c1ddaed7d7a08b40ccc6b029ba3b93d5067a18046e93b03a08c3327f6eb
EXP-01,ESC-19,0.000516,0.03669,0.457436,1.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,955fe35ddafcdc0325bbb7f2d5e33c570372c20b110f811cbc83955de1d37bd3
EXP-01,ESC-20,0.024735,0.400375,1.0,0.385406,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,eb043a0ccd4d1f0354f9afb53efa19c752706289c732a4425c7eafbf7c054a73
EXP-01,ESC-21,0.000127,0.015142,0.301295,1.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bb6be6bf69673be11c7a89164ea2a210db77d38ccdc0010ffd3a72cbba8d7b6e
EXP-01,ESC-22,0.000975,0.057599,0.580798,1.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ccc8f2fd788f43fc1e2423a97a9f4170ba0c8f23acf6121f6c49dc03c4b3f9e0
EXP-01,ESC-23,0.00019,0.022012,0.382864,1.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,575d61f54a7f04242c7a7e29bf02f72fc7d0e67ef8a007f4ce94967f7b93f1df
EXP-01,ESC-24,0.037324,0.448245,1.0,0.414419,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0062d7729ca0173b2e59f7813679efccb28189693edc5f7e55464ca85df30290
EXP-02,ESC-01,1.0,0.190792,0.005777,2.8e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,15dc207c44dd0574f0f8f08df94c97b8bb0247beca549aa0617cbf5a59183dfb
EXP-02,ESC-02,1.0,0.222346,0.009301,7.3e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,B2-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,35c0586c748b9046756298fb4a367b9d7c672ede3c35bc63c5eba0ba5414cf47
