expert_id,scenario_id,assessment_low,assessment_mode,assessment_high,reliability,reliability_source,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.0,0.0,0.175874,0.578477,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fed64d83cfaf44b306ccbda3db5df183595b478fe223faf5c63dd4bc13b22cc9
EXP-01,ESC-02,0.0,0.07133,0.273875,0.430306,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,57de23d5de5a44ba19b39922f92c0dd09c9749e931c06276691e13563d72d321
EXP-01,ESC-03,0.0,0.0,0.182727,0.540406,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2a1cb8acfda0fce3cfdcc27cf932ff1538941b25ec174179c3b6fc0195ddf72a
EXP-01,ESC-04,0.0,0.053356,0.229144,0.578953,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,635293e118440b19f78df80bdb0169692781ad46c5463ad105090dec0811aee4
EXP-01,ESC-05,0.094418,0.292981,0.491545,0.452426,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bb5de267c8d3131602b2ced28aef296c401ee8f7f096a41b9e96cdf7183ae266
EXP-01,ESC-06,0.0,0.164137,0.35722,0.482873,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,46782623f9cb5dd10b59bf100b89b6d2a9bfbba9aa9f9e43a96b23bb8c1781ee
EXP-01,ESC-07,0.0,0.167431,0.362506,0.471809,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ec05bbe8e2e5c611386c1dccd324e4596fa6bae675114d2296af4cac5e888555
EXP-01,ESC-08,0.105007,0.289987,0.474968,0.527887,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b36d9eaacf5c0dce8e367890084b4a8b7e037c45e45f0bbf87dbd580eb58818a
EXP-01,ESC-09,0.06154,0.237675,0.413809,0.577031,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3fc933be9f919cdee460793c541c5e2ccd80a4dc88c6c6c1a298346b7583b7a0
EXP-01,ESC-10,0.027011,0.220847,0.414684,0.478686,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0c2452064f0be4a0559115cbf0b1750d6912ab23c556025742197330282fcbef
EXP-01,ESC-11,0.056742,0.220706,0.384669,0.644649,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cf030c451cbb39bc52188b2d0e6b084edd66b36e7f0981cadccc334bf0beebe3
EXP-01,ESC-12,0.347467,0.516831,0.686196,0.61464,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,609c61e96cf1434c49337b5d2ee23d348b2585d5cf9f2e165940b848fcf33303
EXP-01,ESC-13,0.183187,0.374394,0.565602,0.49329,EXPERT_BASE_X_EVIDENCE_COMPLETENESS,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e273f1778ffb348ccede005d1cb1d8092954f27eb4ec4236d905772b3725b87b
