expert_id,scenario_id,p_green,p_yellow,p_amber,p_red,probability_sum,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.914812,0.084632,0.000556,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d5d05f6251bbbce44cbe949446af7c7899adce761c7e9039c5bfba561b9aa9ab
EXP-01,ESC-02,0.798408,0.196625,0.004954,1.3e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f9f40345f4eb568338acd408c682d5e8032aa7d90e4ab5c25add7906066bf61a
EXP-01,ESC-03,0.90728,0.091986,0.000733,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,63470193bb517720edf4ea0981f8d0aa5b3abfd382b62e9c645375361012105a
EXP-01,ESC-04,0.8588,0.13959,0.001609,1e-06,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9984f5388b53c2e0798f3c262c7003e9baa1b36632090ea6fa500daaae5cd725
EXP-01,ESC-05,0.309048,0.582241,0.106804,0.001908,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f5302fdad67bc0f71036a262294ff96182cb9a9c517d8e7aa2567827248ec4d7
EXP-01,ESC-06,0.630593,0.351549,0.017777,8.2e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ad0f3897108235637feb931a453d4e498ea6e4d0372f3ff939a1147f52049f7a
EXP-01,ESC-07,0.62103,0.359497,0.019376,9.7e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9e8aea4fc6c8e549e39446f9b919eda7c0212daadada54baa1d58e12906dc2bc
EXP-01,ESC-08,0.310165,0.595751,0.092907,0.001176,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,31d18074547f143c1622cd53b5e43833d2aee7ed210ce8e6432818b3d0fa2ee5
EXP-01,ESC-09,0.447027,0.511073,0.041658,0.000242,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cf4558be211fc0d5d17c37a7e0d5bb0f0975e1027f7f39587a1af4743d9336f7
EXP-01,ESC-10,0.488668,0.469647,0.041351,0.000334,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cd7786f14a733ef4991702eaa5a128adeb38ec79ab276878ef41d578eb0e20b3
