expert_id,scenario_id,severity_score,picture_positive,picture_neutral,picture_negative,hesitant_memberships_json,type2_lower_membership,type2_upper_membership,pythagorean_membership,pythagorean_nonmembership,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.0,0.840559,0.159441,0.0,"[0.0, 0.0, 0.087937]",0.0,0.175874,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,98b25a335d4cf8bf638eda713c8c812626b2021fda3def50fc89d2c50c6ddc90
EXP-01,ESC-02,0.07133,0.739174,0.204051,0.056775,"[0.0, 0.07133, 0.172602]",0.0,0.273875,0.07133,0.997453,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7bd26f91651a190caaa0200917ce20a3676838c24b6ee86c54ebb83570320524
EXP-01,ESC-03,0.0,0.828626,0.171374,0.0,"[0.0, 0.0, 0.091363]",0.0,0.182727,0.0,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,85ec54d080aa17cc41b5abee0231e61ef31b080986dd84e93054cb5ad43faf00
EXP-01,ESC-04,0.053356,0.795853,0.15929,0.044857,"[0.0, 0.053356, 0.14125]",0.0,0.229144,0.053356,0.998576,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,879407bc6bffb5bc456256cc6b292260d62852ce7b03b8faf4768f43f1481d91
EXP-01,ESC-05,0.292981,0.567245,0.197695,0.23506,"[0.1937, 0.292981, 0.392263]",0.094418,0.491545,0.292981,0.956118,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,954449c554f794f461ae9f36596b38821bcfd79d1ec301062268614eacf0fc6a
EXP-01,ESC-06,0.164137,0.678071,0.188777,0.133152,"[0.067596, 0.164137, 0.260679]",0.0,0.35722,0.164137,0.986438,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,849141290d0bb3186db0cf1d92be880c1d1351604a6005ae90fb61a1f4905f7a
EXP-01,ESC-07,0.167431,0.672682,0.192041,0.135278,"[0.069894, 0.167431, 0.264969]",0.0,0.362506,0.167431,0.985884,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f6dfe74f664117c029b204497eddb7683f9ab3d31772f69e6a6faf02c15587c7
EXP-01,ESC-08,0.289987,0.585601,0.175224,0.239175,"[0.197497, 0.289987, 0.382478]",0.105007,0.474968,0.289987,0.95703,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a0bc020d620dc8617534fb6b480ff4589bb812586bda5b6e8a1fe04f8641e40d
EXP-01,ESC-09,0.237675,0.640429,0.159901,0.19967,"[0.149608, 0.237675, 0.325742]",0.06154,0.413809,0.237675,0.971345,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,04108783288655a3a0ae6f70d897839642e17cb6384f1443741d1cfef4a6b890
EXP-01,ESC-10,0.220847,0.631102,0.190015,0.178883,"[0.123929, 0.220847, 0.317766]",0.027011,0.414684,0.220847,0.975308,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,416a8b397e1d5e871bd7bb77007871bd0ea45b4b9753f297327b9d1b7c346c00
EXP-01,ESC-11,0.220706,0.671859,0.137863,0.190279,"[0.138724, 0.220706, 0.302687]",0.056742,0.384669,0.220706,0.97534,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,407fa3d7a767151c4af07d16eba7a917e0b0329c5c2909d8305aa6fd0552d515
EXP-01,ESC-12,0.516831,0.411764,0.147784,0.440452,"[0.432149, 0.516831, 0.601514]",0.347467,0.686196,0.516831,0.856087,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,03768cca702954781eeaf9aa6e5993ee2d80fd977848c7ee5a566c8913d0de87
EXP-01,ESC-13,0.374394,0.509443,0.185681,0.304877,"[0.278791, 0.374394, 0.469998]",0.183187,0.565602,0.374394,0.92727,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,822a7a310805780f8d0952185d86b50797f1a0a067308e357502a531395bdfb7
EXP-01,ESC-14,0.50735,0.417771,0.151991,0.430238,"[0.421504, 0.50735, 0.593197]",0.335657,0.679044,0.50735,0.86174,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,74efdca4aa806ecc3d4eb2f65df29f542996e2cf4b711d4084eaa4a2b5bb43bd
EXP-01,ESC-15,0.552138,0.380515,0.150375,0.469111,"[0.46674, 0.552138, 0.637536]",0.381342,0.722934,0.552138,0.833753,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,208f78e138fda2d12eafee950f832fdee16baed4dd727fe9d5a783e4080b046f
EXP-01,ESC-16,0.502769,0.419693,0.155941,0.424366,"[0.415818, 0.502769, 0.589719]",0.328868,0.676669,0.502769,0.864421,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,25f9d16671889a0570afe98b7aee3d3ed77b9a2c7087e93951ee3c07fed74788
