expert_id,scenario_id,poss_green,poss_yellow,poss_amber,poss_red,max_possibility,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,1.0,0.194296,0.006114,3.1e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5bd0b42274018b52ec2407d552aa2e6873844f364bdbc391ab77e42600e61b99
EXP-01,ESC-02,1.0,0.361007,0.024841,0.000326,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b5b44cb54723c0d4b2380a9a89410eaee04d22331b77d41196b4ff6093415f00
EXP-01,ESC-03,1.0,0.202157,0.006917,4e-05,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ff6af3c7188ba2974aa94e18e4b7c5a577d7a785b1fb9958c5f0c06841ea8c07
EXP-01,ESC-04,1.0,0.286436,0.013281,0.0001,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,946f40b7691f3b9c1b19d28fb22c453bf2790f5718ed70dd1ba47cead18a5143
EXP-01,ESC-05,0.633211,1.0,0.294205,0.016125,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6e580a020f3b488c0c5043aba822ff3c8af296b52947854e938010e9525c81e2
EXP-01,ESC-06,1.0,0.659045,0.078343,0.00168,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,be695b21b8cef181678cd0e6812b2fd13b7c4d22924c97550b97fc3f43a12d49
EXP-01,ESC-07,1.0,0.675927,0.08339,0.001878,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2de02580f95a7572b36c1dbe9c86000e71b0c7dc2f27734dbf76fdfbfe74f4a0
EXP-01,ESC-08,0.632494,1.0,0.271412,0.012646,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1a750ca17cdfad17b45f284772872eaa8927884ebd844ce044d96ef710146eaa
EXP-01,ESC-09,0.911916,1.0,0.177906,0.005135,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a73c5465ec28c81d66b491a693fdb0c82b3fd5be33ddbc65e5cef44ccbc827c5
EXP-01,ESC-10,1.0,0.972024,0.171191,0.005463,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ea0261fe7186f097b776880809e43d28d53f84fe975a368ec716fb78bc279324
EXP-01,ESC-11,1.0,0.967873,0.139972,0.003025,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bfbdb57674d5ddfa7f7a9b9ec2480d1acc3e7942b2e8e218b1cccf34feac9777
